East Franconian	East Frisian Low Saxon	probability
ˈɛː	-	1.0
ˈɘ	-	1.0
ˈɒː	ˈɒː	1.0
ˈuː_m	ˈœːy̯	1.0
ˈa	k_ˈɑː	1.0
ʦ	t	1.0
ɪ	-	1.0
ɣ	ɡ	1.0
ɡ̊_s	s	1.0
ɡ̊_n	ɣ̊	1.0
ə	ˈøːø̯_ɣ̊	1.0
ɐ_ʦ	ˈyːʏ̯	1.0
ɐ_d̥	ɐ_d̥	1.0
x	χ	1.0
v̥	p	1.0
s	z	1.0
n_ɐ	n_ɐ	1.0
n_s	s	1.0
l_ˈiː	l	1.0
l_n	ɫ	1.0
l	l	1.0
kʰ	k	1.0
j	j	1.0
h	h	1.0
eː	ɑɪ̯	1.0
d̥_ɐ	t_ɐ	1.0
b̥͡v̥	p	1.0
b̥	b	1.0
ɐ	ɐ	0.967
n	n	0.951
m	m	0.948
r	r	0.939
f	f	0.866
v	v	0.795
ˈaʊ̯	ˈuː	0.712
ɾ	-	0.703
ʃ	s	0.682
ˈɪ	ˈɪ	0.623
ɡ̊	ɡ	0.618
ˈɒ	ˈɑ	0.61
ˈeː	-	0.606
z̥	t	0.597
ɣ̊	ɣ̊	0.588
β	-	0.55
a	-	0.544
n_a	n_n	0.539
ŋ	ŋ	0.528
ˈʊ	ˈʊ	0.525
ˈaɪ̯	ˈiː	0.514
d̥	d	0.481
n_a	n	0.461
ˈaː	ˈæɪ̯	0.455
ˈoː	ˈɒː	0.452
β	v	0.45
ç	χ	0.424
ç	ɣ̊	0.416
ɣ̊	-	0.412
z̥	z̥	0.403
ˈeː	ˈeː	0.394
ˈuː	ˈɑʊ̯	0.385
ɡ̊	k	0.382
ˈɔ	ˈɔ	0.377
ŋ	ɡ_n	0.358
ˈuː	ˈoː	0.338
ˈiː	ˈæɪ̯	0.337
d̥	d̥	0.322
ˈɛ	-	0.321
a	n	0.32
ʃ	s_k	0.318
ɾ	d	0.297
ˈaː	-	0.289
ˈɛ	ˈɛ	0.262
ˈaː	ˈoː	0.255
ˈɔ	-	0.25
ˈɔ	ˈoː	0.248
ˈoː	-	0.244
ˈɛ	ˈeː	0.237
ˈaɪ̯	-	0.233
ˈʊ	-	0.23
v	w	0.205
d̥	t	0.197
ç	ɡ̊	0.16
ˈiː	ˈɪ	0.154
ˈiː	ˈœy̯	0.148
ˈiː	-	0.148
ˈɪ	-	0.145
ˈoː	ˈɑ	0.144
ˈaʊ̯	ˈuːu̯	0.144
ˈaʊ̯	-	0.144
ˈiː	ˈøː	0.139
ˈuː	-	0.137
a	m	0.136
ˈɒ	ˈɒː	0.134
ˈɔ	ˈʊ	0.126
ˈʊ	ˈœ	0.125
ˈɪ	ˈʏ	0.119
ˈaɪ̯	ˈyː	0.114
ŋ	k_n	0.114
ˈɒ	ˈɑːɑ̯	0.099
ˈaɪ̯	ˈɪ	0.096
ˈɛ	ˈɑː	0.095
ˈoː	ˈɔː	0.095
ˈuː	ˈøː	0.094
ˈɛ	ˈʏ	0.086
ˈiː	ˈæː	0.075
ˈɪ	ˈɛ	0.071
f	-	0.069
ˈʊ	ˈɔ	0.067
ˈoː	ˈɒːɒ̯	0.066
ˈɒ	ˈɔ	0.065
f	p	0.065
ˈɒ	ˈɑː	0.063
r	-	0.061
ˈʊ	ʊ	0.053
m	v_n	0.052
