German	English	probability
b	b	0.842
b	v	0.157
b_n	v	1.0
d	θ	0.513
d	ð	0.252
d	d	0.202
f	f	0.757
f	p	0.155
f	v	0.075
f_ə	p	1.0
h	h	1.0
j	j	1.0
k	k	0.653
k	-	0.209
k	f	0.117
k_ə	ʤ	1.0
kʰ	kʰ	0.558
kʰ	ʧ	0.311
kʰ	-	0.122
l	l	0.52
l	ɫ	0.404
l	-	0.074
l_ə	ɫ	1.0
m	m	1.0
m_ə	m	1.0
n	n	0.527
n	-	0.458
n_s	s	1.0
n_ɐ	n	0.489
p	f	0.633
p	-	0.254
p	p	0.079
p͡f	pʰ	0.66
p͡f	p	0.158
s	s	0.534
s	t	0.464
s_ə	t	1.0
t	d	0.576
t	t	0.216
t	θ	0.088
t	ð	0.087
t	-	0.029
t_n	d	0.489
tʰ	d	0.925
tʰ	θ	0.073
v	w	1.0
x	k	0.349
x	f	0.265
x	-	0.161
x	ʧ	0.104
x_t	t	1.0
z	s	0.934
z	-	0.065
z_ə	z	1.0
ç	-	0.609
ç	ʧ	0.216
ç	k	0.163
ç_t	t	1.0
ŋ	ŋ	1.0
ɐ	ə	0.71
ɐ	ˈɜː	0.115
ɐ	-	0.093
ɐ	ˈɔː	0.074
ɐ_n	n	1.0
ə	-	0.859
ə	ə	0.103
ə	əʊ̯	0.041
ə_l	ɫ	0.239
ɡ	-	0.512
ɡ	ɡ	0.421
ɡ	j	0.061
ɪ	ɪ	0.715
ɪ	ŋ	0.28
ʁ	ɹ	0.858
ʁ	-	0.111
ʁ	z	0.038
ʁ_ə	ə	1.0
ʃ	s	0.561
ʃ	ʃ	0.434
ʃ_v	s	1.0
ʃ_ə	ʃ	1.0
ʦ	tʰ	0.502
ʦ	t	0.374
ʦ	d	0.107
ˈa	ˈæ	0.267
ˈa	ˈeɪ̯	0.149
ˈa	ˈɑː	0.102
ˈa	ˈɒ	0.102
ˈa	ˈəʊ̯	0.094
ˈa_ɐ	ˈɑː	0.517
ˈa_ɐ	ˈɔː	0.45
ˈaɪ̯	ˈaɪ̯	0.394
ˈaɪ̯	ˈəʊ̯	0.304
ˈaɪ̯	ˈɪ	0.099
ˈaɪ̯	ˈiː	0.086
ˈaɪ̯	ˈɒ	0.057
ˈaʊ̯	ˈaʊ̯	0.436
ˈaʊ̯	ˈiː	0.359
ˈaʊ̯	ˈaɪ̯	0.143
ˈaʊ̯	ˈe	0.054
ˈaː	ˈeɪ̯	0.316
ˈaː	ˈiː	0.222
ˈaː	ˈɑː	0.178
ˈaː	ˈɛ	0.066
ˈaː	ˈuː	0.059
ˈeː	ˈəʊ̯	0.198
ˈeː	ˈɪ	0.198
ˈeː	ˈeɪ̯	0.172
ˈeː	ˈiː	0.172
ˈeː	ˈe	0.124
ˈiː	ˈiː	0.44
ˈiː	ˈɪ	0.204
ˈiː	ˈaɪ̯	0.184
ˈiː	ˈe	0.092
ˈiː	-	0.068
ˈoː	ˈe	0.252
ˈoː	ˈɐ	0.232
ˈoː	ˈaʊ̯	0.107
ˈoː	ˈeɪ̯	0.081
ˈoː	ˈaɪ̯	0.079
ˈuː	ˈʊ	0.279
ˈuː	ˈuː	0.258
ˈuː	ˈɐ	0.258
ˈuː	ˈaʊ̯	0.195
ˈyː	ˈiː	0.786
ˈyː	ˈəʊ̯	0.163
ˈøː	ˈɪ	0.517
ˈøː	ˈe	0.181
ˈøː	ˈiː	0.181
ˈœ	ˈe	0.239
ˈɔ	ˈɔː	0.387
ˈɔ	ˈəʊ̯	0.161
ˈɔ	ˈʊ	0.132
ˈɔ	ˈɒ	0.122
ˈɔ	-	0.08
ˈɔɪ̯	ˈiː	0.239
ˈɔʏ̯	ˈaɪ̯	0.509
ˈɔʏ̯	ˈɪ	0.146
ˈɔʏ̯	ˈaʊ̯	0.132
ˈɔʏ̯	j	0.057
ˈɔʏ̯	ˈe	0.057
ˈɛ	ˈe	0.536
ˈɛ	ˈɪ	0.152
ˈɛ	ˈiː	0.101
ˈɛ	-	0.076
ˈɛ	ˈɑː	0.059
ˈɛ_ɐ	ˈɔː	0.574
ˈɛ_ɐ	ˈɑː	0.281
ˈɛː	ˈiː	0.298
ˈɛː	ˈɪ	0.167
ˈɛː	ˈɛ	0.082
ˈɪ	ˈɪ	0.637
ˈɪ	ˈaɪ̯	0.234
ˈɪ	-	0.053
ˈɪ	ˈe	0.045
ˈɪ	ˈiː	0.041
ˈʊ	ˈɐ	0.498
ˈʊ	-	0.139
ˈʊ	ˈe	0.121
ˈʊ	ˈɒ	0.121
ˈʊ	ˈaʊ̯	0.085
ˈʏ	ˈɪ	0.684
ˈʏ	ˈaɪ̯	0.216
