Insular North Frisian	Mainland North Frisian	probability
ˈɛː	-	1.0
ˈɛ_ɾ	ˈɛː_d	1.0
ˈɛ_t	ˈɛ_tʲ	1.0
ˈaʊ̯	ˈɔu̯	1.0
ʃ	ʃ	1.0
ʁ̥	ʀ	1.0
ɪ	i	1.0
ɡ_ə	k_ə	1.0
ɡ	ɡ	1.0
ə_l	l	1.0
ɐ_n	ʀ_n	1.0
ŋ	ŋ	1.0
x	x	1.0
tʲ	-	1.0
tʰ	t	1.0
s_k	ʃ	1.0
r	ʀ	1.0
pʰ	p	1.0
p	p	1.0
m	m	1.0
lʲ	l	1.0
kʰ	k	1.0
k	k	1.0
h	h	1.0
e	ə	1.0
b	b	1.0
aɪ̯	ɛi̯	1.0
s	s	0.943
v	v	0.942
n	n	0.883
d	d	0.855
l	l	0.813
ə	ə	0.72
f	f	0.719
t	t	0.688
ˈoː	ˈuː	0.663
ˈøː	-	0.647
ɐ	ə	0.633
ˈɔa̯	ˈyː	0.632
j	j	0.629
ˈɪ	ˈi	0.626
ˈʊ	ˈʊ	0.621
ˈɔ	-	0.615
ˈaɪ̯	ˈɛi̯	0.603
ˈɔː	-	0.591
ˈyː	ˈœː	0.576
ˈiː	ˈiː	0.554
ɪ_ç	j	0.5
ɪ_ç	i	0.5
nʲ	n_ə	0.5
nʲ	n	0.5
ˈʏ	ˈʏ	0.47
ˈa	ˈɒ	0.454
ˈyː	-	0.424
ˈuː	ˈɔu̯	0.404
ˈaɪ̯	ˈai̯	0.397
ˈœ	ˈœ	0.387
j	ˈiː	0.371
ç	ç	0.37
ˈɔa̯	ˈuː	0.368
ɐ	ʀ	0.367
ˈœ	-	0.365
ˈøː	ˈɔː	0.352
ˈʏ	-	0.349
ˈoː	ˈɔː	0.337
ˈɔː	ˈɒː	0.293
ˈa	ˈa	0.289
ɾ	dʲ	0.285
ç	j	0.285
ˈɛ	ˈa	0.28
ə	-	0.28
ɾ	d̥	0.265
ç	x	0.257
f	v̥	0.254
ˈœ	ˈʊ	0.248
ˈuː	ˈɔ	0.245
ɾ	d	0.244
ˈiː	ˈi	0.243
ˈʊ	ˈœ	0.234
ˈuː	ˈuː	0.228
ˈeː	-	0.209
ɾ	z̥	0.207
ˈeː	ˈeː	0.205
ˈɛ	ˈeː	0.203
ˈɔ	ˈʊ	0.192
ˈɔ	ˈœ	0.192
ˈʏ	ˈœː	0.181
ˈeː	ˈiː	0.171
ˈeː	ˈaː	0.167
ˈɛ	ˈiː	0.163
ˈʊ	-	0.145
d	-	0.145
ˈiː	-	0.133
ˈeː	ˈɒː	0.128
ˈa	ˈɒː	0.128
ˈa	ˈeː	0.128
ˈuː	-	0.123
ˈeː	ˈɒ	0.121
ˈɛ	ˈɒ	0.117
n	nʲ	0.117
ˈɔː	ˈɔː	0.116
ˈɪ	ˈai̯	0.114
l	lʲ	0.114
ˈɪ	ˈʏ	0.112
t	tʲ	0.104
ˈɛ	-	0.094
ˈɪ	ˈɛ	0.092
t	d̥	0.091
ç	w	0.089
ˈɛ	ˈi	0.083
ˈiː	ˈɛː	0.07
ˈɛ	ˈɔː	0.061
t	z	0.059
v	-	0.058
t	-	0.058
s	z	0.057
ˈɪ	ˈiː	0.056
