Afrikaans	Afrikaans	probability
χ_t	ʰt	1.0
ˈɛː	-	1.0
ˈɛ	-	1.0
ˈɔː	-	1.0
ˈœu̯	-	1.0
ˈyː	-	1.0
ˈoː	ˈœːy̯	1.0
ə_ŋ	t͡n̥	1.0
ə_r	ɪ_r̥	1.0
ŋ_k	ʰk	1.0
w	ˈoːu̯_r̥	1.0
t_ə_r	ʰt͡n̥	1.0
s_#>	#>	1.0
s	s	1.0
r_s	r̥_s	1.0
r_#>	r̥_#>	1.0
n_d̥	nː	1.0
n_#>	#>	1.0
m	m	1.0
i	aːu̯	1.0
d̥_#>	d̥_#>	1.0
d_ə	ð	1.0
b	b̥	1.0
<#_χ	<#_ɡ̊	1.0
<#_ɫ	<#_l	1.0
<#_v	<#	1.0
<#_t	<#_tʰ	1.0
<#_n	<#_n	1.0
<#	<#_kʰ	1.0
t	t	0.867
ɦ	h	0.85
v	v	0.833
r	r	0.75
ˈœɪ̯	ˈuː	0.727
ˈæ	-	0.714
v̥	f	0.714
<#_k	<#_kʰ	0.7
ˈœ	ˈɪ	0.667
p	p	0.636
d̥	ð	0.625
ˈəɪ̯	ˈiː	0.6
ɫ	l	0.595
ŋ	ŋ_ɡ̊	0.583
ˈu	ˈoːu̯	0.571
<#_r	<#_r	0.571
d	d̥	0.515
ˈɪø̯	ˈɔː	0.5
ˈɪø̯	-	0.5
ˈæː	ˈa	0.5
ˈæː	-	0.5
k	k	0.5
j	ð	0.5
j	-	0.5
n	n	0.478
<#_r	<#_r̥	0.429
d	θ	0.424
#>	a_#>	0.407
ˈəɪ̯	-	0.4
ˈɔ	ˈʏ	0.391
#>	ʏ_r̥_#>	0.381
ˈə	ˈɪ	0.368
ˈɑː	-	0.348
ˈœ	-	0.333
ə	ʏ	0.333
ˈa	ˈa	0.324
ˈɪə̯	j	0.316
ˈɪə̯	-	0.316
ˈi	j	0.3
<#_k	<#	0.3
ˈʊə̯	ˈœːy̯	0.292
ˈʊə̯	-	0.292
ˈæ	ˈɛː	0.286
ˈu	ˈaːi̯	0.286
ˈœɪ̯	-	0.273
p	ʰp	0.273
k	c	0.273
ˈɔ	-	0.261
ŋ	-	0.25
ˈɑː	ˈɑːu̯	0.217
ˈɑː	ˈaː	0.217
ɫ	t͡l̥	0.216
v̥	v_ʏ	0.214
ˈɪə̯	ˈɪː	0.211
ˈə	ˈi	0.211
χ	ɟ̊	0.208
ˈʊə̯	ˈɔ	0.208
d̥	d̥_ʏ	0.208
ˈi	j_ˈoːu̯	0.2
#>	r̥_#>	0.195
ə	ɡ̊_ʏ	0.19
ə	-	0.19
ɫ	l̥	0.189
ˈa	ˈaː	0.176
ˈɔ	ˈɔ	0.174
ˈɔ	ˈu	0.174
χ	ɣ	0.167
ŋ	ŋ	0.167
ˈɪə̯	ˈɛi̯	0.158
ˈə	ˈɪː	0.158
ˈə	-	0.158
n	nː	0.152
ˈi	ˈiː	0.15
ˈi	-	0.15
ɦ	ç	0.15
ˈa	ˈɑu̯	0.147
ˈa	-	0.147
ˈu	-	0.143
ə	r	0.143
ˈɑː	ˈa	0.13
χ	ʰt	0.125
χ	a	0.125
χ	-	0.125
ˈʊə̯	ˈɛːi̯	0.125
ˈa	ˈɛ	0.118
n	-	0.109
ˈə	ˈɛ	0.105
ˈi	ˈɛː	0.1
ˈi	j_ˈuː	0.1
ə	a	0.095
r	r̥	0.091
p	pʰ	0.091
k	ʰk	0.091
k	-	0.091
ˈa	ˈœ	0.088
ˈɑː	ˈɔː	0.087
n	t͡n̥	0.087
n	n̥	0.087
χ	ˈuː_a	0.083
χ	ʏ	0.083
χ	ɡ̊	0.083
ˈʊə̯	ˈaːu̯	0.083
v	v_ˈɛ	0.083
v	-	0.083
d̥	ʏ_r̥	0.083
d̥	d̥	0.083
v̥	v_a	0.071
r	ð	0.068
t	ʰt	0.067
t	-	0.067
d	ð	0.061
