East Franconian	Old High German	probability
β	b	1.0
ˈɛː	-	1.0
ˈɔ_ɐ	ˈu_r	1.0
ˈɔ	ˈo	1.0
ˈɒː	ˈɑ	1.0
ˈɒ	ˈɑ	1.0
ˈaʊ̯	ˈuː	1.0
ˈa	k_ˈɑ	1.0
ɾ	ɛ	1.0
ɪ	ɑ	1.0
ɣ	ɡ_ɑ	1.0
ə	ɑ	1.0
ɐ_n	r_n	1.0
v̥	f_ɑ	1.0
v_ˈɔ	w_ˈɑ	1.0
v_ˈɒ	w	1.0
s_ˈɒ	s_ˈɑ	1.0
r	r	1.0
j	j	1.0
i	-	1.0
h	h	1.0
eː	ɛ_h	1.0
b̥͡v̥	p͡f	1.0
f	f	0.988
v	w	0.981
b̥	b	0.96
l	l	0.954
ˈʊ	ˈu	0.868
kʰ	kʰ	0.851
ʦ	ʦ	0.829
m	m	0.813
ɡ̊	kː	0.789
ˈɪ	ˈi	0.785
ɐ	r	0.779
x	x	0.772
d̥	t	0.705
n	n	0.7
ˈɘ	r_i	0.667
ˈaɪ̯	ˈiː	0.663
s	s	0.649
ˈaː	ˈei̯	0.63
ˈɛ	ˈɛ	0.625
z̥	s̻ː	0.607
ˈuː	ˈuo̯	0.596
l_d̥	l_t	0.574
ˈeː	ˈɛ	0.572
ˈoː	ˈɑ	0.557
ç	x	0.537
ʃ	s	0.509
ʃ	s_k	0.491
ˈoː	ˈɑː	0.443
ˈeː	-	0.428
l_d̥	l_d	0.426
ˈiː	ˈio̯	0.397
ˈɛ	ˈe	0.375
ɣ̊	ɡ	0.371
ɣ̊	xː	0.354
s	s̻	0.351
ˈaː	ˈou̯	0.338
ç	ɡ	0.337
ˈɘ	rː	0.333
ŋ	ŋ_ɡ	0.319
ˈuː	ˈoː	0.317
ˈiː	ˈi	0.282
a	ɑ	0.277
ɣ̊	ɡ_ɑ	0.274
d̥	d	0.269
ˈaɪ̯	ˈiu̯	0.264
ŋ	ŋ	0.236
ŋ	ɡ_ɑ	0.234
x	xː	0.228
a	ɑ_n	0.227
a	o	0.227
ˈɪ	ˈu	0.215
z̥	s	0.213
ɡ̊	x	0.211
ɐ	ɑ_r	0.197
z̥	s_i	0.181
ʦ	ʦː	0.171
kʰ	-	0.149
ˈiː	ˈuo̯	0.141
n	ɑ	0.138
ˈʊ	-	0.132
ç	xː	0.126
ŋ	ɡ	0.125
n	nː	0.115
a	e	0.113
a	-	0.113
ˈiː	-	0.107
ˈuː	ˈo	0.087
ŋ	ɑ_n	0.085
m	m_b	0.074
ˈaɪ̯	-	0.072
m	mː	0.057
m	b_ɑ	0.057
ˈiː	ˈeː	0.051
