Pennsylvania German	Scots	probability
b	b	1.0
d	d	0.453
d	θ	0.275
d	ð	0.208
d	t	0.059
f	f	0.791
f	p	0.119
f_ə	p	0.492
h	h	1.0
j	j	0.425
j	-	0.128
j	e	0.118
j	ˈe	0.111
k	-	0.512
k	k	0.24
k	ɡ	0.216
k_ə	k	1.0
kʰ	kʰ	0.642
kʰ	k	0.114
kʰ	ʧ	0.114
kʰ	-	0.08
l	l	0.872
l	ɫ	0.07
m	m	0.955
m	-	0.05
m_ə	m	1.0
n	n	0.782
n	-	0.205
p	f	0.627
p	p	0.127
p	-	0.11
p	d	0.078
p͡f	pʰ	0.492
s	s	0.637
s	t	0.287
s	z	0.052
s_ə	t	1.0
t	d	0.535
t	t	0.343
t	θ	0.073
v	-	0.447
v	v	0.274
v	ʍ	0.102
x	x	0.795
x	k	0.156
ç	-	0.472
ç	x	0.296
ç	k	0.217
ŋ	ŋ	0.872
ŋ	ŋ_ɡ	0.093
ɑ	ə	0.522
ɑ	r	0.438
ə	-	0.837
ə	n	0.083
ə	ə	0.072
ə_f	p	0.242
ə_m	m	1.0
ɡ	ɡ	0.83
ɡ	j	0.091
ɡ	k	0.066
ɣ	-	0.492
ɣ_l	l	1.0
ɪ	-	0.357
ɪ	əi̯	0.265
ɪ	i	0.152
ɪ	e	0.107
ɪ	ŋ	0.078
ɾ	r	0.926
ʃ	s	0.71
ʃ	ʃ	0.277
ʋ	w	0.825
ʋ	ʍ	0.078
ʋ	-	0.052
ʦ	tʰ	0.622
ʦ	t	0.278
ʦ	d	0.083
ˈa	ˈɑː	0.258
ˈa	ˈe	0.219
ˈa	ˈɑ	0.198
ˈa	ˈɪ	0.119
ˈa	ˈɔ_r	0.063
ˈa_l	ˈɑː	1.0
ˈaɪ̯	ˈəi̯	0.539
ˈaɪ̯	ˈiː	0.118
ˈaɪ̯	j	0.068
ˈaɪ̯	ˈɪ	0.068
ˈaɪ̯	ˈʉ	0.057
ˈaɪ̯	ˈɛ	0.055
ˈaʊ̯	ˈʉ	0.796
ˈaʊ̯	ˈaːɪ̯	0.129
ˈaʊ̯	ˈiː	0.068
ˈaː	ˈɔ_r	0.32
ˈaː	ˈɛ	0.278
ˈaː	ˈɑ	0.136
ˈaː	ˈɪ	0.136
ˈaː	ˈɔ	0.099
ˈeː	ˈe	0.24
ˈeː	ˈɛ	0.161
ˈeː	ˈiː	0.137
ˈeː	ˈe_n	0.126
ˈeː	ˈɑː	0.119
ˈeː	ˈei̯	0.101
ˈeː	ˈəi̯	0.058
ˈiː	ˈiː	0.44
ˈiː	ˈe	0.136
ˈiː	ˈɛ	0.103
ˈiː	ˈʌʉ̯	0.103
ˈiː	ˈɪ	0.077
ˈiː	ˈei̯	0.061
ˈiː	ˈi	0.061
ˈoː	ˈei̯	0.436
ˈoː	ˈiː	0.18
ˈoː	ˈe	0.166
ˈoː	ˈɔ	0.101
ˈoː	ˈø	0.075
ˈuː	ˈø	0.483
ˈuː	ˈɪ	0.265
ˈuː	ˈʉ	0.23
ˈɔ	ˈɔ	0.652
ˈɔ	ˈʉ	0.18
ˈɔ	ˈei̯	0.084
ˈɔ_l	ˈʌʉ̯	0.242
ˈɔɪ̯	ˈɛ	1.0
ˈɔː	ˈe	0.263
ˈɔː	ˈei̯	0.255
ˈɔː	ˈeː	0.085
ˈɔː	ˈɔ	0.076
ˈɔː	ˈiː	0.064
ˈɔː	ˈɑː	0.056
ˈɔː	ˈɛ	0.056
ˈɔː	ˈi	0.053
ˈɛ	ˈɛ	0.301
ˈɛ	ˈɪ	0.194
ˈɛ	ˈei̯	0.165
ˈɛ	ˈa	0.095
ˈɛ	ˈɑ	0.095
ˈɛ	j	0.074
ˈɛ	-	0.057
ˈɛː	ˈɛ	0.273
ˈɛː	ˈei̯	0.114
ˈɛː	ˈiː	0.114
ˈɛː	ˈoe̯	0.11
ˈɛː	ˈɪ	0.11
ˈɛː	ˈʌ	0.11
ˈɛː	-	0.078
ˈɪ	ˈɪ	0.675
ˈʊ	ˈʌ	0.294
ˈʊ	ˈʉ	0.223
ˈʊ	ˈɔ	0.097
ˈʊ	ˈø	0.095
ˈʊ	ˈəi̯	0.095
ˈʊ	ˈɪ	0.095
ˈʊ	ˈiː	0.074
