Teochew	Teochew	probability
⁵⁵	²¹	1.0
⁴⁴	⁵⁵	1.0
⁴	²	1.0
ʨʰ	ʦʰ	1.0
ʣ	j	1.0
ɡ	ŋ	1.0
ŋ̍	w_ɔː	1.0
ŋ_o	ŋ̍	1.0
¹¹	²²	1.0
³³	⁵⁵	1.0
²⁴	²¹	1.0
²¹³	³³	1.0
w_e	e_j	1.0
tʰ	tʰ	1.0
s	s	1.0
p̚	t̚	1.0
pʰ	pʰ	1.0
õ	œː	1.0
o_j	ɐ_j	1.0
n	-	1.0
m	m	1.0
j_e	iː_w	1.0
ĩ	iː_n	1.0
h_w	f	1.0
h_a	h_ɔː	1.0
e_ŋ	yː_n	1.0
b	m	1.0
ã	-	1.0
a_w	ɐ_w	1.0
<#_kʰ	<#	1.0
kʰ	h	0.778
⁵²	³⁵	0.731
³⁵	²²	0.667
k̚	k̚	0.667
k	k	0.647
l	l	0.625
ɯ	yː	0.6
p	p	0.6
h	f	0.6
<#_h	<#	0.6
²	³	0.579
ʦ	ʦ	0.545
ŋ	ŋ	0.531
ʔ	t̚	0.5
ʔ	k̚	0.5
w	w	0.5
<#	<#_ʦ	0.5
<#	<#_h	0.5
e	aː	0.471
ŋ	n	0.469
ʦʰ	ʦʰ	0.455
ʦ	s	0.455
t	t	0.455
u	ɐ	0.444
i	iː	0.429
²	⁵	0.421
j	j	0.412
ɯ	ɔː	0.4
p	f	0.4
h	h	0.4
<#_h	<#_w	0.4
l	n	0.375
ʦʰ	ʧʰ	0.364
³⁵	¹³	0.333
w	-	0.333
k̚	t̚	0.333
i	ɐ	0.333
o	ɔː	0.312
j	-	0.294
⁵²	¹³	0.269
a	ɔː	0.263
o	o_w	0.25
u	ɵ	0.222
kʰ	f	0.222
a	ʊ	0.211
a	-	0.211
o	-	0.188
ʦʰ	s	0.182
t	ʧ	0.182
t	ʦʰ	0.182
t	-	0.182
k	kʰ	0.176
k	-	0.176
j	iː	0.176
e	-	0.176
i	e_j	0.143
a	aː	0.132
o	ʊ	0.125
o	o	0.125
j	ɛː	0.118
e	ʊ	0.118
e	ɐ	0.118
e	j	0.118
u	uː	0.111
u	aː	0.111
u	-	0.111
i	j_ɐ	0.095
w	ɔː	0.083
w	uː	0.083
a	ɐ	0.079
a	o	0.053
a	j	0.053
