Venetian	Lombard	probability
#>	#>	1.0
<#	<#	0.983
a	a	0.83
b	b	1.0
d	d	0.943
d	t	0.059
d_o	t	0.758
d_o	ʧ	0.13
e	e	0.341
e	-	0.305
e	a	0.065
e_#>	#>	1.0
f	f	1.0
i	i	0.631
i	-	0.165
i	ˈi	0.102
i_ŋ	ĩ	1.0
j	j	0.824
j	-	0.071
j	e	0.064
j_ˈe	ˈe	0.922
k	k	0.981
l	l	1.0
l_#>	#>	1.0
m	m	0.982
n	n	0.907
o	-	0.426
o	l	0.213
o	u	0.199
o	o	0.05
p	p	1.0
r	r	0.948
r	-	0.052
r_#>	#>	1.0
r_o	r	1.0
s	s	0.656
s	ʧ	0.146
s	ʦ	0.111
s_o	s	0.774
s_o	ʦ	0.219
t	t	0.84
t	ʧ	0.098
t	-	0.055
t_o	t	0.738
t_o	ʧ	0.25
u	u	0.327
u	y	0.327
v	ʋ	0.768
v	f	0.116
v_e	f	1.0
v_o	f	1.0
w	w	0.585
w	-	0.217
w	ˈøː	0.189
z	ʤ	0.385
z	s	0.224
z	z	0.12
z	-	0.114
z_a	s	1.0
z_o	s	0.457
z_o	ʦ	0.302
z_o	ʧ	0.229
ŋ	-	0.422
ŋ	ũ	0.242
ŋ	m	0.158
ŋ	ɲ	0.098
ŋ_#>	#>	0.245
ɡ	ɡ	0.715
ɡ	-	0.099
ɡ	d	0.079
ɡ	k	0.075
ɡ_o	k	1.0
ɰ	l	0.947
ɰ	-	0.055
ɲ	ɲ	0.786
ɲ	ʤ	0.211
ɲ_o	ɲ	0.495
ʤ	ʤ	0.683
ʤ	ɡ	0.223
ʤ_o	j	1.0
ʧ	ʤ	0.346
ʧ	ʧ	0.301
ʧ_o	ʧ	1.0
ˈa	ˈa	0.834
ˈa	ˈaː	0.112
ˈa_ŋ	ˈãː	1.0
ˈe	ˈe	0.363
ˈe	ˈɛ	0.187
ˈe	ˈe_j	0.097
ˈe	ˈeː	0.097
ˈe	ˈa	0.066
ˈe	e	0.058
ˈe	ˈy	0.058
ˈe_ŋ	ˈẽː	0.618
ˈe_ŋ	ˈɛ̃ː	0.367
ˈi	ˈi	0.843
ˈi	ˈiː	0.064
ˈi	ˈe	0.054
ˈi_ŋ	ˈĩː	1.0
ˈo	ˈu	0.508
ˈo	ˈyː	0.15
ˈo	ˈøː	0.114
ˈo	ˈø	0.114
ˈo	ˈɔ	0.068
ˈo_ŋ	ˈũː	1.0
ˈu	ˈy	0.632
ˈu	ˈyː	0.267
ˈu	ˈu	0.084
ˈɔ	ˈɔ	0.5
ˈɔ	ˈø	0.208
ˈɔ	ˈu	0.102
ˈɔ	ˈo	0.066
ˈɛ	ˈɛ	0.759
ˈɛ	ˈe	0.141
ˈɛ	-	0.079
