Logudorese	Galician	probability
bː	-	1.0
d	d	1.0
f	f	1.0
sː	l	1.0
z	s	1.0
ŋ	n	1.0
ɖ	d	1.0
ɖː	l	1.0
ɲː	ɲ	1.0
ʦ	θ	1.0
β	β	1.0
b	ʃ	0.141
e	β_ɪ	0.061
e	ˈe	0.141
j	j	0.961
o	w	0.11
rː	r	0.491
s	s	0.911
e	-	0.052
i	i	0.092
i	-	0.382
l	-	0.062
r	-	0.132
t	w_t	0.122
ɡ	ɣ	0.072
ɡ	ɡ	0.342
ˈi	ˈi	0.682
a	ɐ	0.723
k	θ	0.263
n	n	0.563
t	t	0.703
ˈi	ˈe	0.3
a	a	0.184
b	p	0.064
m	m	0.914
o	-	0.054
p	p	0.904
ð	-	0.264
ɣ	-	0.114
ʣ	ʎ	0.844
ˈo	ˈo	0.604
ˈu	ˈu	0.554
i	ˈi	0.05
nː	ɲ	0.5
nː	n	0.5
r	ɾ	0.75
ˈe	ˈe_j	0.085
ˈe	ˈɛ	0.395
ˈu	ˈo	0.385
e	e	0.076
e	ɐ	0.146
i	e	0.456
m	ŋ	0.086
o	o	0.746
p	ʧ	0.06
r	r	0.076
s	-	0.056
t	ð	0.056
ð	ð	0.736
ɣ	ɣ	0.326
ɣ	θ	0.56
ʣ	-	0.156
ˈe	ˈe	0.476
ˈo	o	0.066
b	b	0.717
k	-	0.187
n	ɲ	0.397
u	-	0.07
u	ʊ	0.877
b	ɡ	0.058
l	l	0.938
t	j_t	0.078
ɡ	-	0.278
ˈa	ˈa	0.728
e	ɪ	0.49
k	k	0.549
o	ʊ	0.09
rː	ɾ_n	0.509
ɡ	ʃ	0.309
ˈa	ˈɑ	0.199
ˈo	ˈɔ	0.329
