Dutch	Old English	probability
ˈɪ_χ	ˈeːo̯_x	1.0
ˈɛ_b	bː	1.0
ˈɔ_n	ˈuː	1.0
ˈɑ_χ	ˈi_ç	1.0
ˈɑ_n	ˈoː	1.0
ˈøː	ˈo	1.0
ˈyː	-	1.0
ˈaː_n	ˈoː_n	1.0
ʋ	w	1.0
ɾ_χ	r_ɣ̊	1.0
ɾ_t	r_t	1.0
ɾ_n	r_n	1.0
ɪ	i	1.0
ɦ	h	1.0
ə_χ	i_j	1.0
ə_ɾ	e_r	1.0
z̥	z	1.0
v̥	v	1.0
v_ɾ	f_r	1.0
s_χ	ʃ	1.0
n_t	n_t	1.0
j	j	1.0
i	iːy̯	1.0
d̥	d	1.0
d_ˈɪ	θ_ˈi	1.0
b	b	1.0
m	m	0.948
t	t	0.938
n	n	0.919
ɾ	r	0.911
p	p	0.902
ˈɪ	ˈi	0.892
z	s	0.854
ˈœy̯	ˈuː	0.828
ŋ	ŋ_ɡ	0.826
ˈɛi̯	ˈiː	0.805
v	f	0.77
s	s	0.701
ˈʏ	ˈy	0.67
ˈi	ˈeːo̯	0.659
ˈu	ˈoː	0.631
d	d	0.622
ˈɔ	ˈu	0.621
ɫ	l	0.604
k	k	0.563
ə	ɑ	0.546
ˈɑu̯	ˈæɑ̯_ɫ	0.506
ˈɑu̯	ɫ	0.494
ˈeː	ˈɑː	0.475
ˈɛ	ˈe	0.399
ˈɑ	ˈɑ	0.382
k	ʧ	0.377
ˈu	ˈeː	0.369
ɫ	ɫ	0.367
ˈoː	ˈæːɑ̯	0.335
ˈʏ	-	0.33
d	θ	0.309
ˈeː	ˈe	0.288
χ	j	0.275
χ	ɣ	0.269
ˈoː	ˈo	0.265
ˈɑ	ˈæ	0.252
ˈɔ	ˈo	0.238
ˈɑ	ˈæɑ̯	0.23
v	v	0.23
ˈɛ	ˈeo̯	0.216
ˈaː	ˈæːɑ̯	0.216
ˈaː	ˈæː	0.216
s	ʃ	0.211
ˈaː	ˈɑ	0.201
ˈɛ	ˈi	0.197
ˈɛi̯	ˈɑː	0.195
ˈoː	ˈu	0.19
ˈɛ	-	0.188
ə	o	0.187
ŋ	ŋ	0.174
ˈœy̯	ˈyː	0.172
ə	-	0.165
χ	ʤ	0.16
ˈɔ	ˈy	0.141
ˈi	ˈiːy̯	0.114
ˈi	ˈeːo̯_w	0.114
ˈi	-	0.114
ˈoː	ˈiːy̯	0.112
ˈaː	ˈeo̯	0.112
ˈeː	ˈi	0.109
ˈɪ	-	0.108
ˈaː	-	0.104
p	pː	0.098
ˈoː	-	0.097
ˈaː	ˈæ	0.094
ˈɑ	-	0.093
s	k	0.087
χ	ç	0.085
χ	x	0.083
n	nː	0.081
ˈeː	-	0.08
z	-	0.08
z	s_w	0.066
χ	ʤː	0.063
t	tː	0.062
ə	e	0.058
ˈaː	ˈiːy̯	0.056
ɾ	e_r	0.055
m	mː	0.052
