Logudorese	Logudorese	probability
ˈɔ_ɾ	ˈɔ_ʀ	1.0
ˈɔ_n	ˈu	1.0
ˈu_ɾ	ˈy	1.0
ˈo_u	ˈɔ_w	1.0
ˈo_n	ˈu	1.0
ˈo	ˈɔ	1.0
ˈi_ʣ	ˈi_l	1.0
ˈi_ɾ	ˈi	1.0
ˈi_ɛ	ˈi	1.0
ˈi_s	ˈe_l	1.0
ˈi_n	ˈi	1.0
ˈa_ɾ_ɛ_#>	ˈa_#>	1.0
ˈa_n	ˈa	1.0
ʣ_u	l	1.0
ʣ	ʎ	1.0
ɾ_ʦ	l_s	1.0
ɾ_ɛ_#>	#>	1.0
ɾ_u	ɾ_e	1.0
ɾ_a	ɾ	1.0
ɲ	ɲ	1.0
ɣ_ɛ_#>	j_#>	1.0
ɣ_ɛ	ʦ	1.0
ɛ̆	-	1.0
ɛ_#>	#>	1.0
ɖː	l	1.0
ɔ_l	u_l	1.0
ɔ_#>	#>	1.0
ŋ	-	1.0
z_ɔ̆_#>	s_#>	1.0
z_ŭ_#>	#>	1.0
z_ă_#>	s_#>	1.0
u_#>	#>	1.0
t_a	t_ɔ	1.0
s	s	1.0
r_u_#>	ʀ_#>	1.0
p_ɾ	p_l	1.0
p_u	s	1.0
p	p	1.0
n_ˈa	n_ˈa	1.0
n_ʣ	ɲ	1.0
n_ɛ_#>	#>	1.0
n_t_ɛ_#>	n_#>	1.0
n_t_u_#>	n_#>	1.0
m_ɛ_n_ɛ_#>	m_#>	1.0
m_i	nː	1.0
m_b	ŋ_k	1.0
l_u_#>	l_#>	1.0
k_ɾ	k_l	1.0
k_i	s_i	1.0
j_z	z	1.0
j_u	ˈɛ_l	1.0
i_ɣ	ʤ	1.0
f	f	1.0
e_ɾ	ɾ	1.0
e	e	1.0
a_l	a_l	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʣ	<#_ʤ	1.0
<#_ɾ	<#_ʀ	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_k	1.0
#>	e_#>	1.0
ˈa	ˈa	0.961
m	m	0.943
t	t	0.833
n	n	0.833
<#_i	<#_e	0.833
l	l	0.818
k	k	0.804
d	d	0.765
b	b	0.756
a	ɔ	0.75
β	β	0.667
t_u	ʧ	0.667
o	u	0.667
ɔ	-	0.6
r	ʀ	0.6
nː	n	0.6
ˈe	ˈɛ	0.591
ˈɛ	ˈɛ	0.586
ɾ	ɾ	0.565
ˈu	ˈu	0.543
ˈi	ˈi	0.538
j	-	0.538
i	e	0.538
ʦ	s	0.5
ʦ	-	0.5
ɡ	ʤ	0.5
ɡ	ɣ	0.5
ɛ_ɾ	ɾ	0.5
z	s	0.5
z	-	0.5
s_k	s	0.5
s_k	j_s	0.5
ˈɔ	ˈu	0.481
ɛ	e	0.467
i	-	0.462
u	e	0.444
ˈi	ˈe	0.41
ð	ð	0.409
ð	t	0.409
ˈu	ˈy	0.4
ɔ	u	0.4
r	-	0.4
nː	n_d	0.4
ɣ	k	0.375
ˈɛ	ˈe	0.345
β	-	0.333
ɛ_ɾ	e	0.333
t_u	ʦ	0.333
o	a_w	0.333
ɣ	ɣ	0.312
ɣ	-	0.312
ɾ	ʀ	0.261
d	-	0.235
a	a	0.226
u	w	0.222
u	u	0.222
k	s	0.196
ˈe	ˈe	0.182
ð	-	0.182
l	-	0.182
ɛ_ɾ	ɾ_e	0.167
t	ʧ	0.167
<#_i	<#	0.167
j	ˈɛ	0.154
j	l	0.154
j	j	0.154
ˈɔ	ˈɔ	0.148
ˈɔ	ɥ_ˈɛ	0.148
ˈe	j_ˈɛ	0.136
ɛ	ˈi	0.133
ɛ	w	0.133
ˈɔ	ɥ	0.111
ˈɔ	-	0.111
u	y	0.111
b	ʤ	0.111
ɛ	j	0.1
ɛ	-	0.1
n	-	0.1
ˈe	j	0.091
b	ɡ	0.089
ˈɛ	-	0.069
ɛ	ˈi_w	0.067
n	ˈa	0.067
ɾ	l	0.065
ɾ	-	0.065
ˈu	-	0.057
m	m_b	0.057
ˈi	-	0.051
