Proto-Slavic	Bulgarian	probability
a	ɐ	1.0
aˀ	ˈa	1.0
ǎ	ˈa	1.0
ê	ˈɛ	1.0
ě	ˈɛ	1.0
ĭˀ	ˈɤ	1.0
ĭ̂	ˈɤ	1.0
ǐ	ˈi	1.0
j	-	1.0
n	n	1.0
ôː	ˈɔ	1.0
õː	ɐ	1.0
p	p	1.0
ŭ̂	-	1.0
x	x	1.0
z	z	1.0
ɛ	-	1.0
ɛˀ	ˈa	1.0
ɛː	ɛ	1.0
ɛ̂ː	ˈa	1.0
ɛ̌	ˈa	1.0
ɨˀ	ˈi	1.0
ʧ	ʧ	1.0
b	b	0.881
e	ˈɛ	0.121
l	l	0.371
l	ɫ	0.431
ɡ	ɡ	0.91
ʒ	ʒ	0.841
m	mʲ	0.062
m	ɛ_m	0.072
ǒ	ˈɔ	0.762
ẽ	ɛ	0.613
i	ɐ	0.683
ĭ	ˈɤ	0.403
o	ˈɔ	0.243
k	k	0.804
ô	ˈɔ	0.524
ŭ	ɐ	0.524
v	v	0.874
l	lʲ	0.145
s	s	0.975
m	m	0.866
ô	o	0.476
r	r	0.976
t	j	0.326
ŭ	-	0.476
v	vʲ	0.086
ẽ	ˈɛ	0.387
i	ˈi	0.317
ĭ	ɐ	0.597
k	-	0.147
o	o	0.757
t	-	0.127
d	d	0.968
ǒ	o	0.238
t	t	0.548
b	p	0.119
e	ɛ	0.879
ɡ	-	0.09
ʒ	-	0.159
