Old Prussian	Standard Serbian	probability
ɡ_i	ɡ	1.0
ɡ	ʒ	1.0
ŋ	-	1.0
z	z	1.0
w	ʋ	1.0
v	ʋ	1.0
u_s	x	1.0
t	t	1.0
oːu̯	i	1.0
o_n	i	1.0
n_t	t	1.0
n_a	n	1.0
m_e	m_eː	1.0
k_t	ʨ	1.0
k_a	ʃ	1.0
k	k	1.0
j	-	1.0
iː	eː	1.0
i_r	r̩	1.0
eː	ʎ	1.0
b_i	ʧ	1.0
b	b	1.0
aːi̯	-	1.0
aː	-	1.0
ai̯	j_e	1.0
a_l	oː	1.0
r	r	0.937
m	m	0.813
d	d	0.714
i	-	0.686
l	-	0.665
o	a	0.633
s	s	0.574
au̯	ʋ	0.555
p	p	0.54
n	n	0.462
p	-	0.46
au̯	uː	0.445
u	i_̂	0.425
n	-	0.406
a	-	0.371
u	-	0.368
o	-	0.367
l	l	0.335
d	-	0.286
s	-	0.273
e	-	0.247
e	a	0.227
e	e_̂	0.225
u	k	0.207
a	o	0.205
e	e_̌	0.191
m	-	0.187
i	eː_̂	0.182
a	oː	0.177
a	a	0.174
s	t	0.152
n	d	0.132
i	uː_̂	0.132
e	e	0.11
a	a_̂	0.073
r	r̩ː	0.063
