Swiss German	Middle English	probability
ˈɒ_n	ˈoː	1.0
ˈøː	ˈeː	1.0
ˈæi̯	ˈɔː	1.0
ˈæ_ɡ̊	ˈæi̯	1.0
ˈyə̯	ˈeː	1.0
ˈu_r	ˈu_r	1.0
ˈau̯	ˈɛː	1.0
ʦ	t	1.0
ʒ̊_t	s_t	1.0
ʃː	ʃ	1.0
ʃ_t	s_t	1.0
ɡ̊ː	ʤ	1.0
ə_r	r_ə	1.0
æ	eː	1.0
z̥	s	1.0
v̥	f	1.0
tː	d	1.0
t_ˈyː	d_ˈeː	1.0
t_r	d_r	1.0
r_ˈy	r	1.0
p͡f	p	1.0
n_d̥	n_d	1.0
m	m	1.0
lː	ɫ	1.0
k͡χ	k	1.0
j	j	1.0
i	iː	1.0
h	h	1.0
fː	p	1.0
ʋ	w	0.931
r	r	0.929
n	n	0.864
ˈiː	ˈiː	0.825
ˈuə̯	ˈoː	0.817
t	d	0.791
ˈuː	ˈuː	0.78
b̥	b	0.78
sː	t	0.711
s	s	0.667
l	l	0.664
ˈeː	-	0.658
ɣ̊	k	0.64
ŋ	ŋ	0.64
ˈæ	ˈɛ	0.628
d̥	θ	0.619
ˈæː	ˈɛ	0.61
ˈyː	ˈiː	0.6
ˈø	ˈu	0.593
ˈu	ˈu	0.591
ˈi	ˈi	0.591
f	p	0.58
ˈy	ˈi	0.572
χ	ç	0.55
ɡ̊	ɡ	0.543
χː	k	0.541
ə	ə	0.524
ˈo	ˈɔ	0.515
ʒ̊	s	0.504
ʒ̊	ʃ	0.496
ˈe	-	0.494
ˈoː	ˈɛː	0.485
ˈiə̯	ˈeː	0.443
f	v	0.42
ˈø	-	0.407
ˈɒː	ˈɛː	0.406
ˈæː	-	0.39
ˈɒ	ˈa	0.388
ɣ̊	ʧ	0.36
χ	k	0.343
ˈeː	ˈɔu̯	0.342
ˈe	ˈɛ	0.338
ə	ə_n	0.336
s	z	0.333
ˈiə̯	-	0.328
ˈɒː	ˈa	0.325
ˈi	ˈiː	0.315
sː	t_ə	0.289
l	ɫ	0.287
ˈɒ	ˈɔː	0.285
ˈyː	ˈeː	0.274
χː	ʧ	0.271
ˈoː	ˈu	0.236
ɡ̊	ə	0.234
ˈiə̯	ˈiː	0.229
ˈuː	ˈu	0.22
ˈy	ˈeː	0.217
ˈy	-	0.211
d̥	ð	0.21
t	t	0.209
b̥	v	0.205
ˈoː	-	0.192
ˈo	ˈu	0.192
χː	-	0.188
ˈɒ	ˈaː	0.188
ŋ	n_d	0.185
ˈɒː	ˈaː	0.183
ˈuə̯	ˈuː	0.183
ˈu	ˈɔ	0.176
ˈiː	ˈi	0.175
ŋ	n_ɡ	0.175
d̥	d	0.171
ˈe	ɛ	0.169
ˈæ	ˈɛː	0.162
ˈo	-	0.153
ˈo	ˈoː	0.14
ɡ̊	x	0.139
n	ə	0.136
ˈyː	ˈiu̯	0.126
ˈæ	ˈi	0.108
χ	x	0.107
ˈæ	-	0.103
ˈu	ˈuː	0.097
ˈi	-	0.094
ˈoː	ˈɔː	0.087
ˈɒː	ˈæi̯	0.086
ɡ̊	ˈæi̯	0.084
ə	-	0.079
ʋ	ʍ	0.069
ˈu	ˈi	0.068
ˈu	ˈeː	0.068
ə	n	0.061
ˈɒ	-	0.058
ˈɒ	ˈi	0.054
