Elfdalian	Elfdalian	probability
ˈʉ̃ːə̯	-	1.0
ˈɪ̃ː	-	1.0
ˈɪː_ɣ	ˈe_k	1.0
ˈɔ	ˈɑ	1.0
ˈɑː	ˈɑ	1.0
ˈɑ	ˈɑ	1.0
ˈœː	ˈɑu̯	1.0
ˈœ	ˈe	1.0
ˈyːœ̯	ˈɔː	1.0
ˈyœ̯	-	1.0
ʨː	-	1.0
ʨ	k	1.0
ʥː	ɣ	1.0
ʥ	ɣ	1.0
ʏ	e	1.0
ɪ	-	1.0
ɡ_#>	ɡ_ɑ_z_#>	1.0
ɛ_ɽ	l_ɑ	1.0
ɔ̃	-	1.0
ɑ̃	i	1.0
tʰ	θ	1.0
t	t	1.0
sː	n_s	1.0
rː	s_u	1.0
r_#>	r_#>	1.0
pː	-	1.0
pʰ	p	1.0
p	p	1.0
mː	mː	1.0
m	m	1.0
l̥	s_l	1.0
l	l	1.0
kʰ	kʷ	1.0
j_ˈʉːə̯	ˈeu̯	1.0
f	ɸ	1.0
d_#>	z_#>	1.0
d	d	1.0
b	b	1.0
<#_ɽ	<#_l	1.0
<#_ɡ	<#_ɣ	1.0
<#_tʰ	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_kʰ	<#_k	1.0
<#_j	<#_x	1.0
ˈɪ	ˈi	0.947
s	s	0.933
ˈʉ	ˈu	0.9
w	w	0.864
ɡ	ɡ	0.857
ˈɑːu̯	ˈuː	0.8
ˈɑːi̯	ˈiː	0.8
ɡː	ɣ_j	0.8
r	r	0.793
ŋ	ŋ	0.786
<#	<#_x	0.783
ɽ	l	0.778
ɛ	-	0.769
ˈæ	ˈe	0.75
ɔ	ɑ_n	0.75
v	β	0.733
n	n	0.7
ˈʏ	ˈu	0.667
ˈʉːə̯	ˈɔː	0.667
ˈæː	ɑ	0.667
ˈiːe̯	ˈɑi̯	0.667
ð	ð	0.667
ɑ	ɑ_n	0.643
j	ˈe	0.643
ˈʏː	-	0.6
ˈɛː	-	0.6
ɛ_n	n	0.6
lː	lː	0.6
ɣ	ɣ	0.571
ˈɪː	ˈi	0.556
ˈʉə̯	ˈu	0.5
ˈɔ̃ː	ˈɑ	0.5
ˈɔ̃ː	-	0.5
ˈo	ˈɑ	0.5
ˈo	-	0.5
ɑ_#>	n_ɑ̃_#>	0.5
ɑ_#>	#>	0.5
tː	x_t	0.5
tː	t	0.5
kː	ŋ_k	0.5
kː	k	0.5
ˈʉː	ˈu	0.455
ˈʉː	-	0.455
nː	nː	0.455
ˈɛ	ˈɑ	0.444
ʉ	-	0.444
ˈoː	-	0.429
ɣ	ɣ_ɑ	0.429
#>	ɑ̃_#>	0.421
ˈʏː	ˈiu̯	0.4
ˈɛː	ˈe	0.4
ɛ_n	n_ɑ	0.4
lː	-	0.4
k	k	0.4
ˈʏ	-	0.333
ˈæː	ˈeː	0.333
ˈiːe̯	x_ˈɑi̯	0.333
ʉ	u	0.333
ð	θ	0.333
ˈoː	ˈɑu̯	0.286
ˈoː	x_ˈɑu̯	0.286
#>	z_#>	0.284
ˈɔː	ˈɛː	0.273
nː	r_n	0.273
nː	n_θ	0.273
v	ɸ	0.267
ˈʉə̯	ˈu_r	0.25
ˈʉə̯	w_ˈu	0.25
ˈæ	-	0.25
ɔ	ɑ	0.25
ɛ	ɛː	0.231
ˈɪː	ˈiː	0.222
ˈɪː	ˈe_w	0.222
ʉ	ɔ̃ː	0.222
ɽ	l_ɑ	0.222
<#	<#_w	0.217
ŋ	-	0.214
j	ˈɑi̯_w	0.214
ˈʉːə̯	l	0.2
ˈɑːu̯	-	0.2
ˈɑːi̯	-	0.2
ɡː	jː	0.2
k	k_ɑ	0.2
#>	ɑ_z_#>	0.2
ˈɔː	ˈɑi̯	0.182
ˈɔː	ˈɑ_x	0.182
ˈɔː	ˈɑ_l	0.182
ˈɔː	-	0.182
ˈɛ	ˈɑi̯	0.167
ˈɛ	-	0.167
k	x	0.15
k	k_s	0.15
ɡ	ɡʷ	0.143
ɑ	ɔ̃ː	0.143
j	-	0.143
w	xʷ	0.136
ˈʉːə̯	ˈeu̯	0.133
n	n_i	0.133
ˈɛ	ˈu	0.111
ˈɛ	ˈe	0.111
r	-	0.103
ˈʉ	-	0.1
n	-	0.1
k	ɑ	0.1
ˈʉː	ɑi̯	0.091
ɑ	ɔːː	0.071
ɑ	j_ɔ̃ː	0.071
r	r_ɑ	0.069
s	s_w	0.067
n	ɑ	0.067
ˈɪ	ˈĩː	0.053
