Elfdalian	Middle High German	probability
ˈʉə̯_rː	rː	1.0
ˈɪ̃ː	ˈi_r	1.0
ˈɪ	ˈi	1.0
ˈɛ_tː	ɛ	1.0
ˈɔ	ˈɑ	1.0
ˈɑːi̯	ˈiː	1.0
ˈɑː	ˈɑ	1.0
ˈɑ_r	ˈɑ_r	1.0
ˈɑ_n	ˈɑ_n	1.0
ˈɑ	ˈɑ	1.0
ˈœ	ˈi	1.0
ˈæː	-	1.0
ˈæ	ˈɛ	1.0
ˈyːœ̯	ˈyə̯	1.0
ˈyœ̯	-	1.0
ˈiːe̯	ˈei̯	1.0
ʥː	kː	1.0
ʥ	ɡ	1.0
ʏ	ˈy_b	1.0
ʉ	ə	1.0
ɽ	l	1.0
ɪ_n	i	1.0
ɡ_r	ɡ_r	1.0
ɡ	ɡ	1.0
ɛ	ə	1.0
ɔ̃	-	1.0
ɑ̃	ə	1.0
sː	n_s	1.0
s_ʨ	ʃ	1.0
s_k	ʃː	1.0
pʰ	-	1.0
mː	mː	1.0
m	m	1.0
l̥	ʃ_l	1.0
l	l	1.0
kː	ə	1.0
kʰ	kʰ	1.0
j_ˈʉːə̯	ˈiə̯	1.0
f	v	1.0
b	b	1.0
a	ˈøː_r	1.0
w	w	0.917
n	n	0.892
ɔ	ə	0.889
r	r	0.876
ð	t	0.815
ˈo	-	0.783
ˈɑːu̯	ˈuː	0.753
p	f	0.729
ŋ	ŋ	0.684
ˈʉː	-	0.665
ˈɛː	-	0.662
lː	l	0.662
s	s	0.661
ˈɔ̃ː	-	0.648
ˈʏː	ˈyː	0.642
ʨ	-	0.637
k	x	0.628
ˈʉə̯	ˈo	0.619
ˈʏ	ˈy	0.6
ɑ	ə_n	0.595
tʰ	d	0.595
tː	x_t	0.513
ˈoː	-	0.51
ɡː	kː	0.5
ɡː	-	0.5
tː	-	0.487
nː	n	0.482
ˈʉːə̯	ˈuə̯	0.478
ɣ	ɡ	0.476
v	b	0.452
ˈʉ	ˈu	0.444
t	s̻	0.44
ˈɔː	ˈɑː	0.437
ˈɪː	ˈi	0.43
ˈʉːə̯	-	0.421
d	t	0.409
tʰ	ʦ	0.405
ˈʏ	-	0.4
ˈœː	ˈou̯	0.397
t	t	0.39
ˈʉə̯	ˈu	0.381
j	-	0.366
d	d	0.364
ʨ	xː	0.363
ˈʏː	-	0.358
ˈɔ̃ː	ˈɑ	0.352
s	ʃ	0.339
ˈɛː	ˈɛ	0.338
lː	lː	0.338
ˈoː	h	0.322
ˈɛ	ˈe	0.32
ŋ	-	0.316
ɑ	ə	0.312
ˈœː	ˈoː	0.309
ɣ	ɡ̊	0.309
ˈœː	-	0.294
ˈɪː	-	0.286
ˈɪː	ˈiː	0.284
j	ˈɛ	0.284
v	b̥	0.276
v	f	0.272
ˈʉ	ˈo	0.267
nː	nː	0.261
nː	r_n	0.257
ˈɑːu̯	-	0.247
ˈɔː	-	0.237
d	d̥	0.227
ˈo	ˈɑ	0.217
ɣ	x	0.215
k	xː	0.209
ˈɛ	ˈei̯	0.204
ˈɛ	ˈɛ	0.194
j	ˈeː	0.189
ˈʉ	ˈy	0.181
ˈɛ	ˈy	0.181
ˈɔː	ˈɑ_l	0.177
p	p	0.175
ˈʉː	ˈo	0.173
ˈoː	ˈoː	0.168
k	-	0.163
ˈʉː	ˈuː	0.162
j	ˈi	0.161
ˈɔː	ɑː	0.148
ð	d̥	0.126
t	s̻ː	0.124
ɔ	ɑ	0.111
ˈʉ	w	0.108
n	-	0.108
ˈʉːə̯	ˈiə̯	0.101
ˈɛ	-	0.1
p	fː	0.096
w	w_ˈei̯	0.083
ɑ	n	0.079
r	-	0.074
ð	tː	0.059
