West Frisian	West Frisian	probability
χ_t	ç	1.0
ˈɪə̯_l	ˈaː_f	1.0
ˈɪə̯_#>	ˈaʊ̯_d_#>	1.0
ˈɪ_r	ˈɔː	1.0
ˈɛi̯	-	1.0
ˈɛ_r	ˈaː	1.0
ˈɛ_j	ˈiː	1.0
ˈɔu̯	-	1.0
ˈøə̯	ˈʏ	1.0
ˈø	-	1.0
ˈyː_t	d	1.0
ˈy	ˈʏ	1.0
ˈu̯o	ˈɔʏ̯	1.0
ˈoː	ˈaʊ̯	1.0
ˈi_t	ˈɪ_d	1.0
ʦ_j	d	1.0
ʦ	kʰ	1.0
ʋ	v	1.0
ɪ	aɪ̯	1.0
ɣ_ə	ç	1.0
ɣ_j	ɡ	1.0
ɣ	ɡ	1.0
ə_χ	i	1.0
ə_r	ɐ	1.0
ə_#>	#>	1.0
ɕ	z	1.0
ŋ	ŋ	1.0
z	-	1.0
v_ə	m	1.0
v	v	1.0
t_ə	d_n	1.0
s_t	s	1.0
s_k	ʃ	1.0
s_#>	z̥_#>	1.0
r_ˈuː	r	1.0
p_ə	b_m	1.0
n_d	n	1.0
m	m	1.0
l	l	1.0
k_ə	ɡ	1.0
j_ˈɪ	ˈaɪ̯	1.0
j_ˈuə̯	ˈyː	1.0
j_ə	n	1.0
h	h	1.0
d̥	d	1.0
d_ə	d_n	1.0
d	d	1.0
<#_t	<#_tʰ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_k	<#_kʰ	1.0
<#_j	<#_ʒ	1.0
#>	f_#>	1.0
f	f	0.966
ɡ	ɡ	0.909
b	b	0.909
ˈuː	ˈuː	0.8
k	ɡ	0.769
ˈɛ	-	0.75
n	n	0.744
p	b	0.714
ˈa	ˈa	0.706
j	-	0.692
t	d	0.686
ˈuə̯	ˈaʊ̯	0.667
ˈɛː	ˈa	0.6
ˈɔː	ˈa	0.6
ˈu	ˈʊ	0.6
ˈi	ˈiː	0.6
ˈeː	-	0.6
ə	n	0.556
χ	x	0.5
n_ə	n_n	0.5
n_ə	n	0.5
r	ɐ	0.486
ˈɪ	ˈɪ	0.483
ˈɪə̯	ˈaʊ̯	0.467
ˈiː	ˈiː	0.462
s	z	0.457
ˈɛː	ˈʏ	0.4
ˈɔː	-	0.4
ˈu	-	0.4
ˈi	ˈɪ	0.4
ˈeː	ˈaɪ̯	0.4
r	r	0.4
ˈiː	-	0.385
ˈɔ	ˈʊ	0.368
ˈiə̯	ˈaɪ̯	0.368
χ	ç	0.357
s	ʃ	0.343
ˈaː	ˈoː	0.333
ˈiə̯	ˈoː	0.316
t	t	0.314
ˈoə̯	ˈaʊ̯_ɐ	0.3
ˈoə̯	-	0.3
p	pʰ	0.286
ˈɪə̯	ˈoː	0.267
ˈɪə̯	ˈaɪ̯	0.267
ˈɔ	ˈɔ	0.263
ˈɛ	ˈœ	0.25
ˈaː	ˈaɪ̯	0.25
ˈaː	ˈa	0.25
ˈɪ	-	0.241
k	k	0.231
ˈiə̯	ˈɔʏ̯	0.211
ˈuː	ˈʊ	0.2
ˈoə̯	ˈɔ	0.2
ˈoə̯	ˈoː	0.2
s	s	0.2
n	n_d	0.179
ˈa	-	0.176
ˈuə̯	ˈuː	0.167
ˈuə̯	ˈaʊ̯_d	0.167
ˈaː	-	0.167
ə	ɐ	0.167
ə	-	0.167
ˈɔ	-	0.158
ˈiː	ˈɪ	0.154
j	ˈiː	0.154
j	ˈaɪ̯	0.154
χ	-	0.143
ˈɪ	ˈʏ	0.138
ˈa	ˈoː	0.118
r	-	0.114
ə	ɪ	0.111
ˈɔ	ˈɪ	0.105
ˈɔ	ˈɛ	0.105
ˈiə̯	ˈeː	0.105
ɡ	j	0.091
b	-	0.091
n	-	0.077
ˈɪ	ˈeː	0.069
ˈɪ	ˈaɪ̯	0.069
