Westphalian	Mecklenburgisch-Vorpommersch	probability
ˈʏ	ˈʏ	1.0
ˈɪ	ˈɪ	1.0
ˈɛː	-	1.0
ˈɔ	ˈɔ	1.0
ˈɒː	ˈɒː	1.0
ˈœː	-	1.0
ˈøː	ˈɔʏ̯	1.0
ˈø	ˈʏ	1.0
ˈyːœ̯	ˈœː	1.0
ˈyː	ˈyː	1.0
ˈyə̯	ˈœː	1.0
ˈuː	ˈuː	1.0
ˈoː	ˈaʊ̯	1.0
ˈiː	ˈiː	1.0
ˈeː	ˈae̯	1.0
ˈa_ɐ	ˈaː	1.0
ʃ	ʃ	1.0
ɪ	ɪ	1.0
ɣ	ɣ	1.0
ɡ_ə	ç	1.0
ɡ_n	ŋ	1.0
ɡ	ɡ	1.0
ə	-	1.0
ŋ	ŋ	1.0
ç	ç	1.0
z̥	z̥	1.0
z_ə	z̥	1.0
z	z	1.0
v̥	v̥	1.0
v_n	m	1.0
t	t	1.0
r	r	1.0
p	p	1.0
n_n	n_n	1.0
m_n	m	1.0
m	m	1.0
l	l	1.0
j	j	1.0
h	h	1.0
f	f	1.0
b	b	1.0
aɪ̯	ae̯	1.0
n	n	0.965
v	v	0.947
d̥	d̥	0.923
ˈa	ˈa	0.891
ˈaʊ̯	ˈaʊ̯	0.874
d	d	0.866
ˈaɪ̯	ˈae̯	0.815
ɐ	æ	0.792
ˈuːə̯	-	0.771
ˈɔː	ˈɒː	0.746
ˈʊ	ˈʊ	0.712
ˈɛ	ˈɛ	0.687
s	z	0.662
ˈɪə̯	ˈɛː	0.6
ˈiɛ̯	-	0.6
ˈuə̯	ˈɒː	0.593
k	k	0.566
ˈaː	ˈɒː	0.511
ˈaː	ˈaː	0.489
ˈɪɛ̯	ˈɛ	0.451
ʋ	w	0.42
ʋ	v	0.42
x	ɡ	0.415
ˈuə̯	-	0.407
ˈɪə̯	-	0.4
ˈiɛ̯	ˈɛː	0.4
x	x	0.349
s	s	0.338
k	kʰ	0.327
ˈɪɛ̯	ˈɛː	0.275
ˈɪɛ̯	ˈaː	0.275
ˈuːə̯	ˈɔ	0.229
x	j	0.162
ʋ	v̥	0.159
ˈɛ	ˈɪ	0.157
ˈɛ	-	0.157
ˈʊ	ˈuː	0.149
ˈɔː	ˈoː	0.149
ˈaɪ̯	-	0.142
ˈʊ	-	0.139
d	ɾ	0.134
ˈaʊ̯	-	0.126
ˈa	-	0.109
k	-	0.107
ˈɔː	-	0.104
d̥	-	0.077
ɐ	ɾ_æ	0.075
x	ɣ̊	0.074
ɐ	ˈiː_æ	0.072
ɐ	-	0.061
v	m	0.053
