Westphalian	Eastphalian	probability
b	b	1.0
d	d	0.785
d	t	0.122
d	-	0.081
f	f	1.0
h	h	1.0
j	j	1.0
k	k	1.0
l	l	0.987
m	m	0.876
m	ɐ_m	0.122
n	n	0.948
p	p	0.893
p	b	0.097
r	r	1.0
s	z	0.58
s	s	0.384
t	t	0.916
t	d	0.08
v	v	0.935
v	m	0.057
w	v	0.819
w	w	0.178
x	ɣ	0.449
x	x	0.422
x	j	0.118
z	z	1.0
ç	ç	0.861
ç	ɣ	0.139
ŋ	ŋ	0.918
ŋ	-	0.079
ɐ	ɐ	0.972
ə	ə	1.0
ɡ	j	0.644
ɡ	ɣ	0.242
ɣ	ɣ	1.0
ɪ	ɪ	1.0
ʃ	s	0.599
ʃ	ʃ	0.4
ʃ_k	ʃ	1.0
ˈa	ˈa	0.871
ˈaɪ̯	ˈɛɪ̯	0.926
ˈaɪ̯	ˈøː	0.073
ˈaʊ̯	ˈeo̯	0.693
ˈaʊ̯	ˈaʊ̯	0.149
ˈaʊ̯	ˈuː	0.085
ˈaʊ̯	ˈoː	0.067
ˈaː	ˈɒː	0.478
ˈaː	ˈaː	0.375
ˈaː	ˈɛː	0.091
ˈeː	ˈɛɪ̯	1.0
ˈiə̯	ˈɛ	0.121
ˈiɛ̯	ˈœ	0.245
ˈiː	ˈiː	0.942
ˈiː	ˈɛɪ̯	0.06
ˈoː	ˈaʊ̯	0.793
ˈoː	ˈʊ	0.175
ˈuə̯	ˈuː	0.327
ˈuə̯	ˈʊ	0.327
ˈuː	ˈuː	0.843
ˈuː	ˈʏ	0.079
ˈuː	ˈʊ	0.057
ˈuːə̯	ˈɔ	0.49
ˈuːə̯	ˈoː	0.451
ˈyə̯	ˈœ	0.245
ˈyː	ˈyː	0.562
ˈyː	ˈøː	0.275
ˈyː	ˈʏ	0.102
ˈyːœ̯	ˈoː	0.495
ˈø	ˈʏ	1.0
ˈøː	ˈɔʏ̯	0.752
ˈøː	ˈøː	0.242
ˈœː	ˈoː	0.278
ˈœː	ˈɒː	0.242
ˈœː	ˈɔʏ̯	0.137
ˈɒː	ˈɒː	1.0
ˈɔ	ˈɔ	1.0
ˈɔː	ˈɒː	0.679
ˈɔː	ɐ	0.114
ˈɔː	ˈaː	0.114
ˈɔː	ˈeo̯	0.087
ˈɛ	ˈɛ	0.511
ˈɛ	ˈɪ	0.318
ˈɛ	ˈa	0.077
ˈɛ	ˈœ	0.077
ˈɛː	ˈaː	0.435
ˈɛː	ˈeː	0.284
ˈɛː	ˈɛː	0.07
ˈɪ	ˈɪ	0.954
ˈɪ	ˈɛ	0.05
ˈɪə̯	ˈeː	0.699
ˈɪə̯	ˈɛː	0.21
ˈɪɛ̯	ˈeː	0.307
ˈɪɛ̯	ˈɛː	0.283
ˈɪɛ̯	ˈɛ	0.182
ˈɪɛ̯	ˈa	0.153
ˈʊ	ˈʊ	0.754
ˈʊ	ˈuː	0.213
ˈʏ	ˈʏ	0.608
ˈʏ	ˈɔ	0.173
ˈʏ	w	0.107
