Campidanese	Dalmatian	probability
<#_a_r	<#_r	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_ʧ	<#_ʧ	1.0
<#_ˈi	<#_j	1.0
<#_ˈɔ	<#_w	1.0
a_#>	a_#>	1.0
a_n	a_n	1.0
d	-	1.0
ĭ	-	1.0
k	k	1.0
l	l	1.0
m	m	1.0
m_i	m_j	1.0
nː	ŋ	1.0
p	p	1.0
r	r	1.0
s_t	s_t	1.0
t	t	1.0
t_i_#>	t_#>	1.0
t_u	t	1.0
t_ɛ	ˈo	1.0
u_z_ŭ_#>	j_#>	1.0
ŭ_#>	#>	1.0
z	-	1.0
z_ă_#>	e_#>	1.0
ð	t	1.0
ŋ	ŋ	1.0
ŋ_ɡ	ŋ_ɡ	1.0
ɔ	o	1.0
ɔ_z_ɔ̆	i	1.0
ɖː	ˈa_l	1.0
ɡ_w	ɡ	1.0
ɾ_i_#>	r_#>	1.0
ʃ	s	1.0
ʒ	k	1.0
ʧ	k	1.0
ˈa_n	ˈu_ŋ	1.0
ˈi_ɭː	ˈe_ʎ	1.0
ˈo_u	ˈu_f	1.0
ˈu_ʒ	w_k	1.0
ˈɔ_i_#>	ˈu_#>	1.0
ˈɔ_n	ˈu_n	1.0
ˈɔ_z	ˈo	1.0
ˈɛ_n	ˈa_n	1.0
β	-	1.0
u_#>	o_#>	0.111
ɾ	l	0.171
ɾ	r	0.571
ˈa	ˈa_w	0.071
ˈa	-	0.071
ˈi	j_ˈa	0.111
ˈu	ˈu	0.111
ˈɛ	ˈa	0.111
ˈɛ	e	0.111
ˈɛ	j	0.111
<#	<#_j	0.812
i_#>	r_#>	0.152
ɾ	-	0.2
ˈe	ˈi	0.2
ˈo	ˈo	0.2
ˈo	ˈu	0.2
ˈɛ	j_ˈa	0.222
<#_k	<#_k	0.913
n	ŋ	0.393
n	n	0.393
u	o	0.333
ˈe	ˈe	0.3
ˈi	ˈa_j	0.333
ˈo	w_ˈa	0.333
ˈu	ˈo	0.333
ˈɔ	ˈa_w	0.353
a	-	0.4
n	-	0.214
o	o_r	0.4
s	ˈa_l	0.4
ɣ	k	0.714
ˈa	ˈa	0.214
ˈa	ˈu	0.214
ˈi	-	0.074
<#_b	<#_b	0.375
<#_b	<#_v	0.625
ɭː	ʎ	0.5
ɭː	l	0.5
ˈa	w_ˈa	0.25
ˈe	j_ˈa	0.5
ˈi	ˈe	0.185
ˈɔ	w	0.235
ˈɛ	ˈa_j	0.185
a	a	0.6
o	-	0.6
s	ˈa_s	0.6
ɣ	k_l	0.286
ˈi	ˈa	0.296
ˈɔ	ˈu	0.176
<#_k	<#_ʧ	0.087
i	i	0.167
i	d	0.167
i	-	0.667
u	-	0.667
ɾ	ˈa_r	0.057
ˈo	w	0.267
ˈu	w_ˈa	0.167
<#	<#_k	0.188
ˈɔ	ˈo	0.118
ˈɔ	w_ˈɔ	0.118
i_#>	o_#>	0.109
i_#>	#>	0.739
u_#>	#>	0.889
ˈa	w_ˈɔ	0.179
ˈu	ˈo_j	0.389
ˈɛ	ˈi	0.259
