Swedish	Swedish	probability
ˈœː	ˈyː	1.0
ˈøː_#>	ˈiː_#>	1.0
ˈæː	-	1.0
ˈæ	ˈɛ	1.0
ˈoː_n	n	1.0
ˈoː_#>	#>	1.0
ʊ	ŋ	1.0
ʈː	ʦ	1.0
ʈ	-	1.0
ʂ	ʃ	1.0
ɵ	-	1.0
ɳ	n	1.0
ɡː_#>	k_#>	1.0
ɡː	-	1.0
ɡ_ˈʉː	j	1.0
ɡ_#>	ɕ_#>	1.0
ɛ_r	ɐ	1.0
ɖ	d̥	1.0
ɔ	e	1.0
ŋː	ŋ	1.0
ŋ	-	1.0
v_ɛ	v	1.0
v_#>	v̥_#>	1.0
tː_#>	ɕ_#>	1.0
t_#>	#>	1.0
sː	z̥	1.0
s_k	ʃ	1.0
s_#>	z̥_#>	1.0
rː	ˈyː_ɕ	1.0
r_a	ɐ	1.0
r_#>	#>	1.0
pː	-	1.0
nː	n	1.0
n_d	ŋ	1.0
n_#>	#>	1.0
mː	m	1.0
m	m	1.0
lː	ɫ	1.0
l_#>	ɫ_#>	1.0
kʰ	k	1.0
jː	ɣ	1.0
h	h	1.0
f	f	1.0
b	b	1.0
a_#>	#>	1.0
<#_ˈɵ	<#	1.0
<#_ˈa	<#_ˈɛ	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
<#_d	<#_d	1.0
a	ə	0.944
ˈoː	ˈoː	0.8
<#	<#_ʋ	0.75
ˈɔ	-	0.7
ˈa	ˈa	0.7
ɛ	-	0.667
v	ʋ	0.667
tʰ	d	0.667
t	s	0.647
ˈuː	ˈoː	0.643
ˈœ	-	0.636
ˈiː	ˈiː	0.636
ˈʏ	ˈœ	0.625
ˈɪ	ˈe	0.615
ˈʊ	ˈo	0.6
p	p	0.6
n	n	0.583
ɡ	j	0.562
l	l	0.56
d	d̥	0.519
s	z	0.516
ˈɛː	-	0.5
ɧ	z	0.5
ɕ	k	0.5
ɕ	d	0.5
k	ɕ	0.467
l	ɫ	0.44
r	ʀ	0.436
r	ɐ	0.436
ˈɑː	ˈaː	0.417
ˈɑː	ˈa	0.417
n	ŋ	0.417
ˈʊ	-	0.4
ˈyː	ˈyː	0.4
ˈyː	ˈeː	0.4
tː	s	0.4
p	-	0.4
s	ʃ	0.387
ˈɵ	ˈo	0.385
ˈɪ	ˈɪ	0.385
ˈeː	ˈeː	0.385
ˈʏ	-	0.375
t	t	0.353
ˈøː	ˈuː	0.333
ɛ	ə	0.333
tʰ	ʦ	0.333
kː	ŋ_k	0.333
kː	k	0.333
kː	-	0.333
j	l	0.333
ˈɛ	ˈɛ	0.318
ˈʉː	ˈuː	0.316
ˈʉː	ˈeː	0.316
ˈɵ	ˈɔ	0.308
ˈɔ	ˈɔ	0.3
ɧ	ʃ	0.3
tː	ʦ	0.3
tː	x	0.3
d	ɡ̊	0.296
#>	n_#>	0.278
#>	d̥_#>	0.278
ˈøː	-	0.267
k	x	0.267
k	k	0.267
ˈɛː	ˈɛː	0.25
ˈɛː	ˈaː	0.25
ɡ	-	0.25
<#	<#_j	0.25
ˈeː	ˈɛ	0.231
ˈeː	ˈeɪ̯	0.231
j	ɕ	0.222
j	h	0.222
j	-	0.222
#>	ə_#>	0.222
ˈuː	ˈɔː	0.214
ˈʉː	-	0.211
ˈøː	ˈɔʊ̯	0.2
ˈøː	ˈøː	0.2
ˈyː	ˈøʏ̯	0.2
ˈoː	-	0.2
ˈa	ˈaː	0.2
ɧ	ʃ_ˈe	0.2
ɡ	ɣ̊	0.188
d	d	0.185
ˈœ	ˈøː	0.182
ˈœ	ˈoː	0.182
ˈiː	ˈɪ	0.182
ˈiː	-	0.182
ˈɑː	-	0.167
ˈʉː	ˈɔʊ̯	0.158
ˈɵ	ˈœ	0.154
ˈɵ	-	0.154
ˈeː	ˈe	0.154
v	f	0.148
ˈuː	-	0.143
ˈɛ	ˈɛː	0.136
ˈɛ	ˈeɪ̯	0.136
ˈɛ	-	0.136
v	v	0.111
#>	ɡ̊_#>	0.111
#>	ɐ_#>	0.111
ˈa	ˈɛ	0.1
s	s	0.097
ˈɛ	ˈɪ	0.091
ˈɛ	ˈœ	0.091
ˈɛ	ˈeː	0.091
r	d_ɐ	0.077
v	-	0.074
a	-	0.056
r	-	0.051
