Slovak	Belarusian	probability
ˈɫ̩	ˈo_w	1.0
ˈæ	ˈæ	1.0
ˈr̩	r	1.0
ˈaː	ˈo	1.0
ˈa_#>	ˈa_#>	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʒ	ʐ	1.0
ʎ	lʲ	1.0
ʋ_#>	w_#>	1.0
ʊ̯ˈɔ	ˈo	1.0
ʃ	ʂ	1.0
ɲ	nʲ	1.0
ɫ	ɫ	1.0
ɪ̯ɛ	e	1.0
ɦ	ɣ	1.0
ɟ	ʣʲ	1.0
ɔ_#>	ˈo_#>	1.0
v	v	1.0
r	r	1.0
n	n	1.0
j	j	1.0
i	ɨ	1.0
f	p	1.0
d_ɫ	ɫ	1.0
d	d	1.0
#>	a_#>	1.0
c	ʦʲ	0.905
t	t	0.889
ɔ	a	0.846
k	k	0.826
x	x	0.8
b	b	0.667
a	ˈa	0.667
iː	ɨ	0.643
ʋ	vʲ	0.625
ˈu	ˈu	0.6
ˈi	ˈɨ	0.6
s	s	0.6
m	m	0.6
l	lʲ	0.6
p	p	0.583
ˈɛ	ˈe	0.545
ˈɔ	ˈo	0.5
ɪ̯ˈɛ	ˈe	0.5
ɛ	a	0.5
z	zʲ	0.5
z	z	0.5
p	pʲ	0.417
ˈu	u	0.4
ˈi	ˈi	0.4
ˈa	ˈo	0.4
s	sʲ	0.4
m	mʲ	0.4
l	ɫ	0.4
ʋ	v	0.375
ˈɔ	a	0.364
iː	i	0.357
b	bʲ	0.333
a	a	0.333
ɛ	ˈe	0.3
ˈa	a	0.267
ɪ̯ˈɛ	æ	0.25
ɪ̯ˈɛ	a	0.25
ˈa	ˈa	0.2
ɛ	e	0.2
x	xʲ	0.2
ˈɛ	æ	0.182
k	kʲ	0.174
ɔ	e	0.154
ˈɔ	v_ˈo	0.136
ˈa	ˈæ	0.133
t	ʦʲ	0.111
c	ʧ	0.095
ˈɛ	ˈɵ	0.091
ˈɛ	ˈɛ	0.091
ˈɛ	a	0.091
