Scots	Scots	probability
ˈʌu̯	-	1.0
ˈɑː_l	ˈɑu̯	1.0
ˈøː	ˈuːə̯	1.0
ˈuː	ˈɔ_ɫ	1.0
ˈoː	-	1.0
ˈiː_#>	ˈi_#>	1.0
ˈe_d	ˈʊə̯_d̥	1.0
ˈaːɪ̯	ˈyː	1.0
ˈaː	ˈɪ_k	1.0
ˈaɪ̯	-	1.0
ʧ	k	1.0
ʤ	x	1.0
ʍ	ʋ	1.0
ɛ	ə	1.0
ə_r	ɾ	1.0
ŋ	ŋ	1.0
ð	-	1.0
ç	x	1.0
z	z_ə	1.0
x	x	1.0
w	ʋ	1.0
v	v_ə	1.0
t	t	1.0
pʰ	p	1.0
p	p	1.0
m	m	1.0
j	j	1.0
i	iː	1.0
e	i_ŋ	1.0
b	b	1.0
<#_ɡ	<#_x	1.0
<#_tʰ	<#_t	1.0
<#_r	<#_ɾ	1.0
<#_kʰ	<#_k	1.0
<#_h_ˈeː	<#_ˈɛː	1.0
<#_h	<#	1.0
l	ɫ	0.943
r	ɾ	0.934
n	n	0.898
f	v	0.792
ˈu	ˈyː	0.75
ə	ə	0.739
k	k	0.733
θ	d	0.688
ˈɑː	ˈɑ	0.667
ʃ	s_x	0.625
s	z	0.548
d	d̥	0.514
ˈo	ˈʊə̯	0.5
ˈo	ˈɔ	0.5
ˈiː	ˈiː	0.5
ˈa	ˈɑ	0.5
ˈa	-	0.5
ˈʌ	ˈɔ	0.462
ˈəi̯	ˈi	0.455
d	d	0.432
ˈɛ	-	0.429
ˈø	-	0.429
ˈeː	-	0.417
ˈe	ˈɪə̯	0.4
ʃ	s	0.375
ˈəi̯	-	0.364
ˈɑː	-	0.333
ˈe	ˈɛː	0.333
s	s	0.333
#>	x_#>	0.333
ˈɪ	ˈɪ	0.317
θ	d̥	0.312
ˈɛ	ˈɑ	0.286
ˈɛ	ˈæ	0.286
ˈø	ˈɑ_n	0.286
ˈø	ˈuː	0.286
k	k_ə	0.267
#>	x_ə_#>	0.267
ˈu	-	0.25
ˈi	ˈʊə̯	0.25
ˈeː	ˈæ	0.25
ˈʌ	ˈu	0.231
ˈiː	ˈʊə̯	0.214
ˈiː	ˈɛː	0.214
ˈi	ˈɛː	0.208
f	v̥	0.208
ˈəi̯	ˈyː	0.182
ə	d_ə	0.174
ˈɪ	-	0.171
ˈi	ˈiː	0.167
ˈi	-	0.167
ˈeː	ˈɪə̯	0.167
ˈeː	ˈɛː_n	0.167
ˈʌ	ˈɛː	0.154
ˈʌ	-	0.154
ˈɪ	ˈi	0.146
ˈe	ˈɑ	0.133
ˈe	ˈæi̯	0.133
#>	z̥_#>	0.133
#>	v̥_#>	0.133
#>	d̥_#>	0.133
ˈi	ˈuː	0.125
s	z̥	0.119
ˈɪ	ˈʏ	0.098
ˈɪ	ˈøː	0.098
ə	ˈiː	0.087
ˈi	ˈeː	0.083
ˈɪ	ˈɑ	0.073
ˈiː	ˈiːə̯	0.071
r	-	0.066
n	ə_n	0.061
l	l	0.057
d	-	0.054
