Bokmål Norwegian	Faroese	probability
b	b̥	1.0
d	d̥	0.609
d	ʤ̊	0.117
d	ʰt	0.067
d	tː	0.055
d	tʰ	0.055
e	a	0.484
f	f	0.932
f	d̥	0.068
h	h	1.0
i	a	0.484
j	j	0.518
j	-	0.289
j	ʧ	0.078
j	ʊ	0.06
j	ˈaːi̯	0.044
k	k	0.795
k	ʧ	0.114
k	ʰʧ	0.084
kʰ	kʰ	1.0
kː	ʰkː	1.0
l	l	0.71
l	l̥	0.122
l	l_ʊ	0.122
l	ʎ	0.032
l	j	0.03
lː	l	0.367
lː	l_d̥	0.218
lː	t_l̥	0.151
lː	l̥_ʊ	0.139
m	m	0.717
m	m_ʊ	0.281
mː	m	1.0
n	n	0.839
n	n̥	0.08
n	-	0.04
n	nː	0.04
nː	nː	0.499
nː	n_d̥	0.232
nː	n	0.183
nː	-	0.046
nː	n̥	0.044
p	p	0.571
p	ʰp	0.409
s	s	0.934
s	s_ʊ	0.041
s	ʃ	0.031
s_k	ʃ	1.0
sː	sː	0.66
sː	s	0.154
t	t	0.702
t	t_ʊ	0.195
t	ʰt	0.095
tʰ	tʰ	0.938
tʰ	ʧʰ	0.062
tː	ʰtː	0.674
tː	t	0.194
tː	ʰt	0.105
ç	ʧʰ	1.0
ŋ	ŋ_ɡ̊	1.0
ŋː	ŋ	0.909
ŋː	ɲ	0.072
ə	a	0.61
ə	ɪ	0.155
ə	-	0.065
ə	ʊ	0.051
ə	ɡ̊_a	0.037
ɡ	ɡ̊	0.833
ɡ	w	0.102
ɡ	ʤ̊	0.06
ɡː	ɡ̊	0.784
ɡː	ʤ̊	0.121
ɪ	ɛ	0.366
ɪ	ɪ	0.177
ɳ	t_n̥	0.699
ɳ	t	0.206
ɾ	ɹ	0.815
ɾ	ʊ_ɹ	0.077
ɾ	ɪ_ɹ	0.055
ɾ	ɹ_ʊ	0.034
ʂ	ʃ	0.484
ʃ	ʃ	1.0
ʈ	ʈ	0.484
ʈː	ʈ	1.0
ʋ	v	0.816
ʋ	-	0.101
ʋ	w	0.073
ˈeː	ˈɛːa̯	0.213
ˈeː	ˈiː	0.171
ˈeː	ˈai̯	0.098
ˈeː	ˈøː	0.098
ˈeː	ˈeː	0.098
ˈiː	ˈʊ̯iː	0.474
ˈiː	ˈiː	0.239
ˈiː	ˈʊ	0.138
ˈiː	ʊ̯ˈiː	0.08
ˈiː	ˈɛːa̯	0.063
ˈoː	ˈɔ̯aː	0.773
ˈoː	ˈiː	0.096
ˈoː	ˈoː	0.07
ˈoː	ˈɔ	0.055
ˈuː	ˈɔːu̯	0.297
ˈuː	ˈɔːu̯_w	0.226
ˈuː	ˈoː	0.149
ˈuː	ˈœ	0.096
ˈuː	ˈɔ	0.061
ˈyː	ˈɔːu̯	0.337
ˈyː	ˈʊ̯iː	0.277
ˈyː	ʊ	0.135
ˈyː	ˈʉːu̯	0.097
ˈyː	ˈʏ	0.068
ˈæ	ˈeː	1.0
ˈæɪ̯	ˈaːi̯	0.284
ˈæɪ̯	ˈeː	0.247
ˈæɪ̯	ˈai̯	0.171
ˈæɪ̯	ˈa	0.109
ˈæɪ̯	ˈɛ	0.075
ˈæː	ˈeː	0.53
ˈæː	ˈœ	0.183
ˈæː	ˈøː	0.169
ˈøː	ˈɛːi̯	0.495
ˈøː	ˈɔːi̯	0.201
ˈøː	ˈøː	0.152
ˈøː	ˈœ	0.075
ˈøː	ˈɔ̯aː	0.058
ˈœ	ˈøː	0.314
ˈœ	ˈɪ	0.307
ˈœ	ˈɔ	0.094
ˈœ	ɹː	0.088
ˈœ	ˈɔːi̯	0.066
ˈœʏ̯	ˈɔːi̯	0.484
ˈɑ	ˈa	0.651
ˈɑ	ˈɔ	0.158
ˈɑ	ˈœ	0.069
ˈɑ	ˈɛːa̯	0.064
ˈɑ	ˈɛ	0.047
ˈɑː	ˈɛːa̯	0.907
ˈɑː	ˈa	0.075
ˈɑː_d	ˈɛːa̯	1.0
ˈɔ	ˈɔ	0.79
ˈɔ	ˈœ	0.209
ˈɛ	ˈɛ	0.373
ˈɛ	ˈa	0.175
ˈɛ	ˈœ	0.12
ˈɛ	ˈɛːa̯	0.104
ˈɛ	ˈɪ	0.069
ˈɛː	ˈøː	1.0
ˈɪ	ˈɪ	0.635
ˈɪ	ˈɛ	0.21
ˈɪ	ˈoː	0.089
ˈɪ	ˈiː	0.056
ˈʉ	ˈʊ	0.797
ˈʉ	ˈʏ	0.184
ˈʉː	ˈʉːu̯	0.549
ˈʉː	ˈuː	0.188
ˈʉː	ˈʊ̯iː	0.069
ˈʉː	ˈɛːi̯	0.068
ˈʉː	ˈɪ	0.066
ˈʊ	ˈʊ	0.514
ˈʊ	ˈɔ	0.324
ˈʊ	ˈuː	0.124
ˈʏ	ˈœ	0.284
ˈʏ	ˈɪ	0.226
ˈʏ	ˈʊ	0.171
ˈʏ	ˈʏ	0.103
