Bulgarian	Bulgarian	probability
ʧ_ɛ	ʧ_a	1.0
ʧ	ʧ	1.0
ʦʲ	ʦ	1.0
ʦ_ɛ	ʦ_a	1.0
ʦ	-	1.0
ʒ̊	ʐ̊	1.0
ʃ_t	ʧ	1.0
ʃ	ʂ	1.0
ɡ̊_#>	x_#>	1.0
ɡ	ɣ	1.0
ɛ_n	n_ɨ	1.0
ɐ_ɫ	ɫ_ɨ	1.0
ɐ_ɡ̊	ɣʲ	1.0
z̥	-	1.0
vʲ	vʲ	1.0
tʲ	ʦʲ	1.0
t_ɔ	t_o	1.0
s_i	s_ɨ	1.0
s_#>	s_#>	1.0
rʲ	k	1.0
r_a	a_r	1.0
r	r	1.0
pʲ	pʲ	1.0
o_#>	a_#>	1.0
nʲ	-	1.0
lʲ	lʲ	1.0
l	lʲ	1.0
j_ɐ	ʦʲ	1.0
j	j	1.0
i_ˈ	i	1.0
dʲ	ʣʲ	1.0
d_ɐ	d̥ʲ	1.0
d_a	d_a	1.0
b̥	b̥	1.0
bʲ	bʲ	1.0
<#_v	<#_vʲ	1.0
<#_t	<#_ʦʲ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_lʲ	<#_lʲ	1.0
ˈ	ˈ	0.866
k	k	0.852
ɛ_ˈ	e_ˈ	0.833
d̥	d̥	0.8
ˈ_#>	ˈ_#>	0.75
ɫ	ɫ	0.737
ʒ	ʐ	0.714
r_#>	r_#>	0.714
o	a	0.714
ɔ	o	0.706
x	x	0.7
v	v	0.667
u	u	0.667
r_ɛ	r_a	0.667
p	p	0.667
s	s	0.645
n	n	0.643
b	b	0.636
m	m	0.611
d	d	0.611
t	t	0.6
f	v_ɨ	0.6
a_ˈ	a	0.6
a	a	0.595
ɐ_#>	a_#>	0.583
ɫ_#>	ɫ_#>	0.571
i	ɨ	0.562
ɛ	æ	0.531
z	zʲ	0.5
z	z	0.5
<#_ɔ	<#_v_o	0.5
<#_ɔ	<#_a	0.5
<#	<#_v	0.5
<#	<#_j	0.5
#>	ˈ_#>	0.5
#>	i_#>	0.5
ɤ	o	0.476
i	i	0.438
ɫ_#>	lʲ_#>	0.429
ɐ_#>	#>	0.417
t	ʦʲ	0.4
f	w	0.4
a_ˈ	æ	0.4
m	mʲ	0.389
d	ʣʲ	0.389
b	bʲ	0.364
n	nʲ	0.357
s	sʲ	0.355
ɤ	u	0.333
ɐ	a	0.333
u	ʉ	0.333
r_ɛ	r_o	0.333
p	pʲ	0.333
x	xʲ	0.3
ɔ	a	0.294
ʒ	-	0.286
r_#>	#>	0.286
o	o_ˈ	0.286
a	e	0.286
ˈ_#>	#>	0.25
ɐ	-	0.25
v	vʲ	0.222
d̥	ʤ̥	0.2
ɛ_ˈ	ˈ	0.167
ɐ	e	0.167
ɫ	w	0.158
ɛ	-	0.125
v	w	0.111
ɫ	ɫ_ɨ	0.105
ɤ	ɵ	0.095
ɤ	e	0.095
ɛ	ɵ	0.094
ɛ	o	0.094
ɛ	e	0.094
ɐ	ɨ	0.083
ɐ	u	0.083
ɐ	o	0.083
ˈ	-	0.082
k	kʲ	0.074
k	-	0.074
a	æ	0.071
ɛ	a	0.062
