Northern Low Saxon	Northern Low Saxon	probability
ˈɛː	ˈeː_s	1.0
ˈɛɪ̯	-	1.0
ˈɔʏ̯_d	ˈiɐ̯_s	1.0
ˈœː	ˈe	1.0
ˈœ	-	1.0
ˈø	-	1.0
ˈyː	ˈai̯	1.0
ˈaː	-	1.0
ˈaʊ̯_#>	ˈuɐ̯_#>	1.0
ʃ	ʃ	1.0
ɡ_#>	#>	1.0
ə	a	1.0
ɐ_#>	#>	1.0
z̥	s	1.0
z	s	1.0
v̥	-	1.0
v_ˈɪ	ʋ	1.0
tʰ	ʦ	1.0
r_ˈɔʏ̯	r	1.0
r	r	1.0
pʰ	b̥͡v̥	1.0
p	-	1.0
n_n	n_a	1.0
n_#>	#>	1.0
l_ˈaʊ̯	l	1.0
l_d	j_d̥	1.0
kʰ	kʰ	1.0
j	ɡ̊	1.0
i	ɡ̊_ə	1.0
h	h	1.0
f_#>	b̥_#>	1.0
f	f	1.0
d_ˈuː	d̥	1.0
b_m	f_a	1.0
b_#>	f_#>	1.0
aɪ̯	ˈai̯_ʦ	1.0
<#_ˈaʊ̯	<#_ˈo	1.0
<#_ʒ	<#_j	1.0
<#_z	<#_s	1.0
#>	n_#>	1.0
v	ʋ	0.905
b	b̥	0.905
m	m	0.893
ˈuː	ˈau̯	0.8
n	n	0.774
d	d̥	0.767
ˈɪ	ˈi	0.75
ˈiː	ˈai̯	0.733
ç_#>	ɡ̊_#>	0.667
x	x	0.667
ˈɛ	-	0.625
ŋ	ŋ	0.615
ˈøː	-	0.6
ɡ	ɡ̊	0.583
l	l	0.564
ˈʏ	ˈu	0.545
t	d̥	0.545
ˈʊ	ˈu	0.538
ɐ	a	0.514
ˈeː	ˈe	0.5
ˈeɪ̯	ˈeː	0.5
ˈeɪ̯	-	0.5
ɡ_n	ɡ̊_a	0.5
ɡ_n	ŋ	0.5
ç	ɡ̊_a	0.5
ç	x_d̥	0.5
s	ʃ	0.5
ˈʊ	ˈo	0.462
ˈɔ	ˈo	0.444
ˈaɪ̯	ˈiɐ̯	0.435
ˈøː	ˈi	0.4
ˈaɪ̯	ˈoɐ̯	0.391
l	j	0.385
ˈɛ	ˈe	0.375
ˈa	ˈɑ	0.35
ˈɔʏ̯	ˈuɐ̯	0.333
ˈɔʏ̯	ˈeː	0.333
ˈɔʏ̯	-	0.333
ˈɔ	ˈu	0.333
ɡ	x	0.333
ç_#>	#>	0.333
x	ɡ̊	0.333
ɐ	ɐ	0.314
ˈʏ	-	0.273
t	s	0.273
ˈaʊ̯	ˈuɐ̯	0.261
ˈeː	ˈeː	0.25
ˈeː	n	0.25
ˈa	ˈɒː	0.25
s	ɡ̊_s	0.25
s	s	0.25
ˈoː	ˈɒː	0.238
ŋ	ŋ_ɡ̊	0.231
ˈɔ	-	0.222
ˈaʊ̯	ˈou̯	0.217
ˈaʊ̯	ˈo	0.217
ˈuː	-	0.2
ˈa	ˈo	0.2
ˈa	-	0.2
ˈoː	ˈɑː	0.19
ˈoː	ˈoː	0.19
ˈoː	-	0.19
ˈʏ	ˈi	0.182
t	-	0.182
d	s	0.178
ˈaʊ̯	-	0.174
ˈaɪ̯	ˈeː	0.174
ŋ	ŋ_a	0.154
ˈɪ	ˈoɐ̯	0.15
ˈiː	ˈi_m	0.133
ˈiː	ˈi	0.133
ˈaʊ̯	ˈaː	0.13
ɐ	d̥_a	0.114
m	m_a	0.107
ˈɪ	ˈiː	0.1
ˈoː	ˈɑ	0.095
ˈoː	ˈe	0.095
v	ʋ_ˈi	0.095
b	b̥͡v̥	0.095
ɡ	ç	0.083
n	ŋ	0.065
n	a	0.065
ɐ	r	0.057
d	ʦ	0.055
l	d̥	0.051
