Bulgarian	Bulgarian	probability
ˈ_#>	ˈ_#>	1.0
ʦʲ	ʦʲ	1.0
ʒ̊	-	1.0
ʃ	ʃʲ	1.0
ɡ̊_#>	#>	1.0
ɡ_l	ɦʲ	1.0
ɛ_n	n_e	1.0
ɔ_ˈ	ɔ	1.0
z̥	-	1.0
x	x	1.0
vʲ	ʋʲ	1.0
u_ˈ	ʊ	1.0
u	u	1.0
tʲ	tʲ	1.0
t_#>	t_#>	1.0
s_#>	s_#>	1.0
r_a	r_ɔ	1.0
r_#>	r_#>	1.0
pʲ	-	1.0
o_#>	ɔ_#>	1.0
o	ɔ	1.0
nʲ	nʲ	1.0
mʲ	-	1.0
lʲ	lʲ	1.0
j_ɐ	t_e	1.0
d̥_#>	d_#>	1.0
dʲ	dʲ	1.0
d	d	1.0
b̥_#>	b_#>	1.0
bʲ	bʲ	1.0
b	b	1.0
a_ˈ	ɐ	1.0
<#_ɛ	<#_ɔ	1.0
<#_x	<#_x	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_o	<#_ɔ	1.0
<#_n	<#_nʲ	1.0
<#_k	<#_k	1.0
<#_j	<#_j	1.0
<#_d	<#_d	1.0
<#	<#_j	1.0
#>	ˈ_#>	1.0
i	ɪ	0.913
p	p	0.9
m	m	0.895
k	k	0.895
ˈ	ˈ	0.857
r	r	0.852
ɫ	ɫ	0.818
ɤ_ˈ	ɔ_ˈ	0.818
ɛ_ˈ	ɛ_ˈ	0.818
ɐ_#>	ɐ_#>	0.818
z	z	0.8
ɡ	ɦ	0.786
s	s	0.765
n	n	0.765
l	ɫ	0.714
ɔ	i	0.688
ʧ	ʧ	0.667
v	ʋ	0.625
ɫ_#>	ɫ_#>	0.571
a	ɑ	0.571
t	t	0.524
ʦ	ʦ	0.5
ʦ	-	0.5
ʒ	ʒ	0.5
f	ʋ_e	0.5
f	w	0.5
t	tʲ	0.476
ɤ	u	0.462
ɫ_#>	lʲ_#>	0.429
ɛ	i	0.381
ɐ	-	0.37
a	i	0.357
ʧ	ʧʲ	0.333
ʒ	-	0.333
ɔ	ɔ	0.312
ɤ	ɛ	0.308
l	lʲ	0.286
ɐ	ɔ	0.259
s	sʲ	0.235
n	nʲ	0.235
ɤ	-	0.231
ɡ	ɦ_ɔ	0.214
v	w	0.208
z	zʲ	0.2
ɤ_ˈ	ˈ	0.182
ɛ_ˈ	ɛ	0.182
ɐ_#>	#>	0.182
ʒ	ʒʲ	0.167
v	ʋʲ	0.167
r	rʲ	0.148
ˈ	-	0.121
ɛ	ɛ	0.119
ɛ	ɐ	0.119
ɐ	ɛ_ˈ	0.111
ɐ	t_e	0.111
m	-	0.105
k	kʲ	0.105
p	ʤ	0.1
ɛ	ɔ	0.095
ɫ	ʍ	0.091
ɫ	-	0.091
i	-	0.087
ɐ	ʊ	0.074
ɐ	e	0.074
ɛ	j_ɑ	0.071
ɛ	e	0.071
a	ɔ	0.071
