Mainland North Frisian	Hessian	probability
ˈɛi̯_n	ˈĩː	1.0
ˈɛ	-	1.0
ˈɔ	ˈɔ	1.0
ˈœi̯	ˈuː	1.0
ˈyː_j	ˈoĩ̯	1.0
ˈuː_n	ˈẽː	1.0
ˈi_n	ˈɑ̃i̯	1.0
ˈaː_n	ˈõː	1.0
ˈaː	-	1.0
ʀ_ˈɔu̯	ʀ	1.0
ʀ_ˈa	ʀ_ˈai̯	1.0
ɛi̯	ɛː	1.0
ə_ʀ	æ̆	1.0
ə_v̥	v_æ̆	1.0
ŋ_ə	ˈɛ̃ː	1.0
z̥	-	1.0
z	-	1.0
x_t	ʃ_t	1.0
x	x	1.0
w	ʒ̊	1.0
v_ˈʊ	v	1.0
v_ə	f	1.0
tʲ	s	1.0
s_t	ʃ_d̥	1.0
m	m	1.0
lʲ	l	1.0
l_ə	l	1.0
l	l	1.0
j_ə	ɣ̊	1.0
j	-	1.0
i	i	1.0
h	h	1.0
d̥	d̥	1.0
dʲ	d̥	1.0
d_ˈiː	d̥_ˈiː	1.0
f	f	0.94
v	v	0.923
s	s	0.87
ʃ	ʃ	0.824
ɡ	ɡ̊	0.778
ŋ	ŋ	0.765
ˈa	-	0.717
p	f	0.716
v̥	b̥	0.691
ə	ə	0.685
b	b̥	0.673
ˈyː	ˈoː	0.667
ˈai̯	ˈi	0.66
n	n	0.658
ˈɔu̯	ˈoː	0.646
d	d̥	0.643
nʲ	n_d̥	0.6
ˈœ	-	0.502
ˈi	ˈi	0.5
ˈuː	ˈaː	0.48
ˈɒ	-	0.468
ˈɛi̯	ˈɑː	0.436
ˈʏ	ˈau̯	0.43
ˈʊ	ˈu	0.419
ˈɛː	-	0.412
nʲ	j	0.4
ˈɒː	ˈa	0.397
ˈɒː	-	0.394
k	kʰ	0.386
ˈʏ	-	0.369
ˈɔː	ˈɑ	0.369
ˈiː	-	0.368
ˈœː	ˈau̯	0.358
ʀ	ʀ	0.358
ˈɔu̯	-	0.354
ˈi	ˈai̯	0.348
ˈœː	ˈoi̯	0.346
ˈai̯	-	0.34
ˈɛi̯	-	0.333
ˈyː	oː	0.333
b	p	0.327
ˈɒ	ˈa	0.325
ˈɛː	ˈɑː	0.324
t	ʦ	0.324
ˈɔː	ˈi	0.315
ˈɔː	-	0.315
ə	-	0.315
v̥	f	0.309
ˈœː	-	0.296
p	v̥	0.284
ˈa	ˈi	0.283
ˈeː	ˈɑː	0.281
d	t	0.274
ˈɛː	ˈɛ	0.264
ˈœ	ˈɑ	0.263
ˈeː	ˈɛ	0.263
ˈiː	ˈiː	0.239
t	d̥	0.239
ˈœ	ˈuː	0.236
ŋ	ʃ	0.235
ˈuː	-	0.232
ˈɛi̯	ˈiː	0.231
ˈiː	ˈaː	0.226
k	k	0.223
ɡ	k	0.222
ˈɒː	ˈɑː	0.209
ˈɒ	ˈɑ	0.207
t	t	0.207
ˈʏ	ˈoi̯	0.201
n	-	0.198
ˈeː	ˈi	0.19
ˈʊ	ˈi	0.184
ʃ	-	0.176
ˈiː	ˈeː	0.168
ʀ	ɐ	0.166
ˈuː	ˈoː	0.164
ˈi	-	0.152
k	ɡ̊	0.15
n	n_d̥	0.144
t	s	0.14
k	x	0.137
ˈeː	ˈa	0.133
ˈeː	-	0.133
ʀ	-	0.131
ˈʊ	-	0.127
ˈuː	ˈa	0.124
ˈʊ	ˈɑ	0.119
k	ɣ̊	0.103
ʀ	ˈɑː	0.099
ˈʊ	ˈo	0.092
ʀ	ˈæ_ɐ	0.091
t	-	0.09
s	ʃ	0.084
d	z̥	0.083
v	v_ˈi	0.077
ʀ	æ̆	0.074
ˈʊ	v_ˈo	0.06
f	-	0.06
