Eastphalian	Elfdalian	probability
ˈɛə̯	ˈɑː	1.0
ˈœ	-	1.0
ˈøː_ɣ	rː	1.0
ˈøː	-	1.0
ˈyː	ˈʏː	1.0
ˈaː	ˈɑː	1.0
ˈaʊ̯	ˈʉːə̯	1.0
ˈaɪ̯	ˈɛː	1.0
ˈa_l	ˈɔː	1.0
ɣ̊	ɣ	1.0
ɡ	ʥː	1.0
ɒː	ɔ̃	1.0
ɐ_t	r_t	1.0
ŋ_k	kː	1.0
ç	-	1.0
z	s	1.0
x_t	tː	1.0
x	-	1.0
v_ˈʊ	ˈʉ	1.0
v_ˈoː	ˈʉə̯	1.0
s	s	1.0
r	r	1.0
n_n	nː_ɑ	1.0
h	ˈæː	1.0
d̥	ð	1.0
b	b	1.0
ˈʊ	ˈʉ	0.832
f	f	0.782
ŋ	ŋ_ɡ	0.778
m	m	0.764
p	p	0.761
ˈɔʏ̯	ˈyːœ̯	0.741
ˈɪ	ˈɪ	0.716
t	t	0.704
ˈɔ	-	0.701
ˈʏ	-	0.694
v	w	0.642
ɐ	r	0.638
ˈɛː	-	0.624
ˈoː	-	0.621
w	w	0.6
l	ɽ	0.6
ˈuː	ˈɑːu̯	0.582
ˈeo̯	ˈœː	0.577
j	ɡ	0.545
ˈeː	j	0.544
ɣ	ɡ	0.526
ˈa	ˈɑ	0.51
ə	ɑ	0.496
ʃ	s_ʨ	0.484
ˈiː	ˈɑːi̯	0.483
d	d	0.468
j	ɣ	0.455
ʃ	s_k	0.437
n	n	0.42
ˈuː	ˈʉː	0.418
ˈɛ	-	0.414
k	kʰ	0.404
w	-	0.4
d	tʰ	0.399
ˈoː	ˈʉ	0.379
ˈʏ	ˈʏ	0.306
ˈɛ	ˈɛ	0.303
ɣ	-	0.3
ˈɔ	ˈo	0.299
ˈɒː	ˈɔː	0.295
ˈɛɪ̯	j_ˈʉːə̯	0.289
ˈɛ	j	0.283
ˈɒː	-	0.283
ˈiː	ˈɪː	0.272
ˈɔʏ̯	-	0.259
ˈeo̯	ˈoː	0.259
ɐ	ɛ_r	0.24
p	pː	0.239
ˈeː	ˈɪː	0.232
n	ɑ	0.232
ˈɛɪ̯	ˈiːe̯	0.226
ˈeː	-	0.224
ˈa	-	0.223
ŋ	ɣ_ɑ	0.222
f	v	0.218
ˈɒː	ˈɑ	0.215
ˈɒː	ˈɑː	0.206
ˈɛː	ˈɛː	0.188
ˈɛː	ˈyœ̯	0.188
v	v	0.188
t	tː	0.183
ɣ	ɣ	0.174
v	-	0.17
ˈʊ	-	0.168
ə	-	0.165
ˈeo̯	-	0.164
ˈiː	-	0.159
k	k	0.158
ə	ʉ	0.15
ə	ɡː	0.149
ˈɛɪ̯	ˈɛ	0.147
k	ʨ	0.147
k	-	0.146
k	kː	0.145
ˈɪ	-	0.136
d	-	0.133
l	lː	0.13
m	-	0.128
ˈɪ	ˈɪː	0.125
ɐ	-	0.121
ˈɛɪ̯	-	0.115
t	-	0.113
n	n_d	0.113
l	l	0.112
m	ɑ	0.109
ˈa	ˈæ	0.103
ˈa	ˈɑː	0.1
l	ɛ_ɽ	0.092
ˈiː	ˈɪ̃ː	0.086
ˈɛɪ̯	ˈɪː	0.083
ˈɛɪ̯	j	0.083
ʃ	sː	0.079
n	nː	0.074
l	-	0.066
ˈa	ˈɔ	0.064
ˈɛɪ̯	ˈʉːə̯	0.057
n	-	0.053
