l1	phone_l1	l2	phone_l2	surprisal
Aromanian	('-',)	Bellunese	-	4.743
Aromanian	('-',)	Bellunese	ɡ	4.743
Aromanian	('a',)	Bellunese	ˈa	2.816
Aromanian	('a',)	Bellunese	-	3.075
Aromanian	('b',)	Bellunese	b	1.376
Aromanian	('b',)	Bellunese	-	3.921
Aromanian	('d',)	Bellunese	d	1.39
Aromanian	('d',)	Bellunese	-	3.596
Aromanian	('e',)	Bellunese	-	2.468
Aromanian	('e',)	Bellunese	e	3.814
Aromanian	('e̯a',)	Bellunese	ˈe	3.553
Aromanian	('e̯a',)	Bellunese	-	3.812
Aromanian	('e̯ˈa',)	Bellunese	ˈe	1.131
Aromanian	('e̯ˈa',)	Bellunese	ˈɛ	3.663
Aromanian	('f',)	Bellunese	f	1.467
Aromanian	('i',)	Bellunese	-	1.215
Aromanian	('i',)	Bellunese	e	1.829
Aromanian	('j',)	Bellunese	v	2.204
Aromanian	('j',)	Bellunese	-	3.283
Aromanian	('k',)	Bellunese	k	1.412
Aromanian	('k',)	Bellunese	ɡ	2.492
Aromanian	('l',)	Bellunese	l	0.936
Aromanian	('l',)	Bellunese	j	3.621
Aromanian	('m',)	Bellunese	m	1.401
Aromanian	('m',)	Bellunese	ŋ	2.836
Aromanian	('n',)	Bellunese	n	1.168
Aromanian	('n',)	Bellunese	ŋ	1.941
Aromanian	('o',)	Bellunese	-	4.743
Aromanian	('o',)	Bellunese	ɡ	4.743
Aromanian	('o̯ˈa',)	Bellunese	ˈo	2.278
Aromanian	('o̯ˈa',)	Bellunese	ˈɔ	3.103
Aromanian	('p',)	Bellunese	p	1.805
Aromanian	('p',)	Bellunese	-	2.286
Aromanian	('r',)	Bellunese	r	0.845
Aromanian	('r',)	Bellunese	l	2.463
Aromanian	('s',)	Bellunese	s	0.855
Aromanian	('s',)	Bellunese	z	4.145
Aromanian	('t',)	Bellunese	t	0.964
Aromanian	('t',)	Bellunese	-	3.097
Aromanian	('u',)	Bellunese	o	1.26
Aromanian	('u',)	Bellunese	-	2.488
Aromanian	('v',)	Bellunese	v	1.763
Aromanian	('v',)	Bellunese	-	3.735
Aromanian	('w',)	Bellunese	o	3.75
Aromanian	('w',)	Bellunese	l	3.841
Aromanian	('ç',)	Bellunese	f	1.888
Aromanian	('ŋ',)	Bellunese	ŋ	3.352
Aromanian	('ŋ',)	Bellunese	-	3.614
Aromanian	('ə',)	Bellunese	a	0.717
Aromanian	('ə',)	Bellunese	-	3.022
Aromanian	('ɡ',)	Bellunese	ɡ	2.728
Aromanian	('ɡ',)	Bellunese	b	3.285
Aromanian	('ɨ',)	Bellunese	-	4.743
Aromanian	('ɨ',)	Bellunese	ɡ	4.743
Aromanian	('ɲ',)	Bellunese	m	2.35
Aromanian	('ɲ',)	Bellunese	ɲ	4.266
Aromanian	('ʃ',)	Bellunese	s	1.762
Aromanian	('ʃ',)	Bellunese	d	4.016
Aromanian	('ʎ',)	Bellunese	ʧ	1.742
Aromanian	('ʎ',)	Bellunese	j	2.545
Aromanian	('ʣ',)	Bellunese	ð	2.023
Aromanian	('ʣ',)	Bellunese	d	2.32
Aromanian	('ʤ',)	Bellunese	ð	2.039
Aromanian	('ʤ',)	Bellunese	ɡ	3.872
Aromanian	('ʦ',)	Bellunese	θ	1.759
Aromanian	('ʦ',)	Bellunese	s	3.547
Aromanian	('ʧ',)	Bellunese	θ	3.117
Aromanian	('ʧ',)	Bellunese	j	3.812
Aromanian	('ˈa',)	Bellunese	ˈa	1.123
Aromanian	('ˈa',)	Bellunese	ˈɛ	3.162
Aromanian	('ˈe',)	Bellunese	ˈe	1.629
Aromanian	('ˈe',)	Bellunese	ˈɛ	2.092
Aromanian	('ˈi',)	Bellunese	ˈe	2.066
Aromanian	('ˈi',)	Bellunese	ˈi	2.066
Aromanian	('ˈo',)	Bellunese	ˈo	1.599
Aromanian	('ˈo',)	Bellunese	ˈɔ	2.472
Aromanian	('ˈu',)	Bellunese	ˈo	1.798
Aromanian	('ˈu',)	Bellunese	ˈu	2.178
Aromanian	('ˈə',)	Bellunese	a	2.97
Aromanian	('ˈɨ',)	Bellunese	ˈa	1.306
Aromanian	('ˈɨ',)	Bellunese	ˈo	4.078
Aromanian	('-',)	Brazilian Portuguese	ʒ	5.229
Aromanian	('-',)	Brazilian Portuguese	ũ	5.229
Aromanian	('a',)	Brazilian Portuguese	a	2.545
Aromanian	('a',)	Brazilian Portuguese	ɐ	3.653
Aromanian	('b',)	Brazilian Portuguese	v	2.44
Aromanian	('b',)	Brazilian Portuguese	b	2.54
Aromanian	('d',)	Brazilian Portuguese	d	1.601
Aromanian	('d',)	Brazilian Portuguese	-	3.841
Aromanian	('e',)	Brazilian Portuguese	w	3.237
Aromanian	('e',)	Brazilian Portuguese	j̃	3.758
Aromanian	('e̯a',)	Brazilian Portuguese	ˈe	4.074
Aromanian	('e̯a',)	Brazilian Portuguese	-	4.591
Aromanian	('e̯ˈa',)	Brazilian Portuguese	ˈe	1.849
Aromanian	('e̯ˈa',)	Brazilian Portuguese	ˈɛ	2.636
Aromanian	('f',)	Brazilian Portuguese	f	1.626
Aromanian	('f',)	Brazilian Portuguese	-	4.501
Aromanian	('i',)	Brazilian Portuguese	i	2.021
Aromanian	('i',)	Brazilian Portuguese	-	2.318
Aromanian	('j',)	Brazilian Portuguese	v	2.026
Aromanian	('j',)	Brazilian Portuguese	j	2.64
Aromanian	('k',)	Brazilian Portuguese	k	1.866
Aromanian	('k',)	Brazilian Portuguese	ɡ	2.359
Aromanian	('l',)	Brazilian Portuguese	l	1.54
Aromanian	('l',)	Brazilian Portuguese	-	2.976
Aromanian	('m',)	Brazilian Portuguese	m	1.337
Aromanian	('m',)	Brazilian Portuguese	-	2.952
Aromanian	('n',)	Brazilian Portuguese	-	1.465
Aromanian	('n',)	Brazilian Portuguese	n	1.947
Aromanian	('o',)	Brazilian Portuguese	ʒ	5.229
Aromanian	('o',)	Brazilian Portuguese	ũ	5.229
Aromanian	('o̯ˈa',)	Brazilian Portuguese	ˈɔ	2.356
Aromanian	('o̯ˈa',)	Brazilian Portuguese	ˈo	3.449
Aromanian	('p',)	Brazilian Portuguese	p	1.935
Aromanian	('p',)	Brazilian Portuguese	j	3.12
Aromanian	('r',)	Brazilian Portuguese	ɾ	1.78
Aromanian	('r',)	Brazilian Portuguese	-	2.963
Aromanian	('s',)	Brazilian Portuguese	s	1.392
Aromanian	('s',)	Brazilian Portuguese	ʃ	2.364
Aromanian	('t',)	Brazilian Portuguese	t	1.804
Aromanian	('t',)	Brazilian Portuguese	ʧ	2.821
Aromanian	('u',)	Brazilian Portuguese	u	1.026
Aromanian	('u',)	Brazilian Portuguese	o	4.498
Aromanian	('v',)	Brazilian Portuguese	v	1.905
Aromanian	('v',)	Brazilian Portuguese	w	4.628
Aromanian	('w',)	Brazilian Portuguese	v	2.194
Aromanian	('w',)	Brazilian Portuguese	ˈu	3.88
Aromanian	('z',)	Brazilian Portuguese	-	4.025
Aromanian	('z',)	Brazilian Portuguese	ʒ	5.576
Aromanian	('ç',)	Brazilian Portuguese	f	1.874
Aromanian	('ŋ',)	Brazilian Portuguese	ˈĩ	3.826
Aromanian	('ŋ',)	Brazilian Portuguese	j̃	3.826
Aromanian	('ə',)	Brazilian Portuguese	ɐ	1.058
Aromanian	('ə',)	Brazilian Portuguese	-	3.36
Aromanian	('ɡ',)	Brazilian Portuguese	ɡ	2.547
Aromanian	('ɡ',)	Brazilian Portuguese	b	3.164
Aromanian	('ɨ',)	Brazilian Portuguese	ˈɐ̃	3.555
Aromanian	('ɨ',)	Brazilian Portuguese	ˈẽ	4.072
Aromanian	('ɲ',)	Brazilian Portuguese	m	2.117
Aromanian	('ɲ',)	Brazilian Portuguese	j	4.317
Aromanian	('ʃ',)	Brazilian Portuguese	s	2.659
Aromanian	('ʃ',)	Brazilian Portuguese	j	3.927
Aromanian	('ʎ',)	Brazilian Portuguese	ʎ	1.662
Aromanian	('ʎ',)	Brazilian Portuguese	-	3.04
Aromanian	('ʣ',)	Brazilian Portuguese	ʒ	2.589
Aromanian	('ʣ',)	Brazilian Portuguese	d	3.718
Aromanian	('ʤ',)	Brazilian Portuguese	ʒ	2.334
Aromanian	('ʤ',)	Brazilian Portuguese	ɡ	4.566
Aromanian	('ʦ',)	Brazilian Portuguese	s	3.002
Aromanian	('ʦ',)	Brazilian Portuguese	-	3.107
Aromanian	('ʧ',)	Brazilian Portuguese	s	3.069
Aromanian	('ʧ',)	Brazilian Portuguese	-	5.575
Aromanian	('ˈa',)	Brazilian Portuguese	ˈa	1.752
Aromanian	('ˈa',)	Brazilian Portuguese	ˈɛ	2.83
Aromanian	('ˈe',)	Brazilian Portuguese	ˈe	1.71
Aromanian	('ˈe',)	Brazilian Portuguese	ˈɛ	2.366
Aromanian	('ˈi',)	Brazilian Portuguese	ˈi	2.181
Aromanian	('ˈi',)	Brazilian Portuguese	ˈẽ	2.394
Aromanian	('ˈo',)	Brazilian Portuguese	ˈo	1.377
Aromanian	('ˈo',)	Brazilian Portuguese	ˈɔ	2.765
Aromanian	('ˈu',)	Brazilian Portuguese	ˈu	2.559
Aromanian	('ˈu',)	Brazilian Portuguese	ˈo	2.863
Aromanian	('ˈə',)	Brazilian Portuguese	ˈi	4.002
Aromanian	('ˈə',)	Brazilian Portuguese	ɐ	4.002
Aromanian	('ˈɨ',)	Brazilian Portuguese	ˈɐ̃	1.81
Aromanian	('ˈɨ',)	Brazilian Portuguese	-	4.749
Aromanian	('-',)	Campidanese	ʒ	4.758
Aromanian	('-',)	Campidanese	ʣ	4.758
Aromanian	('a',)	Campidanese	a	3.22
Aromanian	('a',)	Campidanese	f	3.486
Aromanian	('b',)	Campidanese	b	1.321
Aromanian	('b',)	Campidanese	v	3.616
Aromanian	('d',)	Campidanese	d	1.625
Aromanian	('d',)	Campidanese	-	3.805
Aromanian	('e',)	Campidanese	i	1.815
Aromanian	('e',)	Campidanese	a	4.42
Aromanian	('e̯a',)	Campidanese	ˈi	3.709
Aromanian	('e̯a',)	Campidanese	-	4.226
Aromanian	('e̯ˈa',)	Campidanese	ˈe	1.631
Aromanian	('e̯ˈa',)	Campidanese	ˈi	1.945
Aromanian	('f',)	Campidanese	f	1.377
Aromanian	('i',)	Campidanese	i	1.078
Aromanian	('i',)	Campidanese	e	3.324
Aromanian	('j',)	Campidanese	j	2.918
Aromanian	('j',)	Campidanese	ˈu	3.396
Aromanian	('k',)	Campidanese	k	1.584
Aromanian	('k',)	Campidanese	ɣ	2.507
Aromanian	('l',)	Campidanese	l	1.533
Aromanian	('l',)	Campidanese	ɖ	2.969
Aromanian	('m',)	Campidanese	m	1.389
Aromanian	('m',)	Campidanese	n	3.288
Aromanian	('n',)	Campidanese	n	0.612
Aromanian	('n',)	Campidanese	-	4.158
Aromanian	('o',)	Campidanese	ʒ	4.758
Aromanian	('o',)	Campidanese	ʣ	4.758
Aromanian	('o̯ˈa',)	Campidanese	ˈo	1.268
Aromanian	('o̯ˈa',)	Campidanese	ˈu	4.782
Aromanian	('p',)	Campidanese	p	1.567
Aromanian	('p',)	Campidanese	-	2.485
Aromanian	('r',)	Campidanese	r	0.922
Aromanian	('r',)	Campidanese	l	2.392
Aromanian	('s',)	Campidanese	s	0.832
Aromanian	('s',)	Campidanese	z	4.981
Aromanian	('t',)	Campidanese	t	1.119
Aromanian	('t',)	Campidanese	k	3.593
Aromanian	('u',)	Campidanese	u	1.072
Aromanian	('u',)	Campidanese	o	3.407
Aromanian	('v',)	Campidanese	b	2.354
