German	Swedish	probability
#>	#>	0.893
<#	<#	1.0
<#_v	<#	1.0
b	b	0.757
b	v	0.165
b	-	0.073
d	tʰ	0.419
d	-	0.154
d	d	0.154
d	ɕ	0.101
d	ɖ	0.069
d	t	0.066
f	f	0.596
f	p	0.188
f	v	0.121
h	h	1.0
j	ˈɵ	0.359
j	-	0.17
k	k	0.324
k	ɡː	0.24
k	j	0.204
k	ɡ	0.178
kʰ	kʰ	0.879
kʰ	ɕ	0.103
l	l	0.854
l	lː	0.102
m	m	0.785
m	mː	0.201
n	n	0.645
n	a	0.121
n	nː	0.107
n	-	0.096
n_#>	#>	1.0
n_d	nː	1.0
p	v	0.805
p	-	0.149
p͡f	pʰ	0.312
p͡f	p	0.148
s	t	0.412
s	s	0.363
s	sː	0.094
s	tː	0.082
t	d	0.63
t	t	0.237
t	-	0.125
t_#>	#>	1.0
t_ɐ	r	0.224
tʰ	d	0.753
tʰ	j	0.146
tʰ	tʰ	0.081
v	v	0.861
v	-	0.127
x	k	0.425
x	-	0.28
x	ɡ	0.28
x_t	tː	1.0
z	s	0.705
z	ɧ	0.164
z	sː	0.061
z	r	0.06
ç	k	0.526
ç	ɡ	0.18
ç	j	0.135
ç	ŋ	0.063
ç_#>	#>	1.0
ç_t	tː	1.0
ŋ	ŋː	0.878
ŋ	ŋ	0.103
ŋ_k	kː	1.0
ɐ	r	0.438
ɐ	ɛ	0.268
ɐ	-	0.064
ɐ	ɳ	0.064
ɐ	rː	0.05
ɐ_#>	#>	1.0
ɐ_n	ɳ	1.0
ɐ_t	ɖ	1.0
ə	a	0.729
ə	-	0.177
ə	ɛ	0.091
ə_#>	#>	1.0
ɡ	ɡ	0.603
ɡ	j	0.204
ɡ	-	0.066
ɡ	jː	0.066
ɡ	ŋ	0.054
ɪ	ŋ	0.401
ɪ	ɪ	0.251
ɪ	ɵ	0.103
ʁ	r	0.907
ʁ	-	0.054
ʃ	s	0.532
ʃ	s_k	0.275
ʃ	ɧ	0.176
ʦ	tʰ	0.642
ʦ	d	0.112
ʦ	tː	0.08
ʦ	ʈː	0.08
ʦ	t	0.06
ˈa	ˈa	0.62
ˈa	ˈɑː	0.16
ˈa	ˈoː	0.067
ˈa	ˈɛ	0.067
ˈaɪ̯	ˈiː	0.433
ˈaɪ̯	ˈeː	0.319
ˈaɪ̯	ˈɛ	0.128
ˈaɪ̯	ˈoː	0.057
ˈaʊ̯	ˈʉː	0.495
ˈaʊ̯	ˈøː	0.294
ˈaʊ̯	ˈuː	0.087
ˈaʊ̯	ˈœ	0.064
ˈaː	ˈoː	0.357
ˈaː	ˈɑː	0.332
ˈaː	ˈa	0.139
ˈaː	ˈɛː	0.092
ˈaː	ˈɛ	0.069
ˈeː	ˈeː	0.329
ˈeː	ˈøː	0.224
ˈeː	ʊ	0.148
ˈeː	ˈɛ	0.103
ˈeː	ˈɛː	0.08
ˈiː	ˈʉː	0.404
ˈiː	ˈyː	0.252
ˈiː	ˈiː	0.162
ˈiː	ˈɛː	0.107
ˈiː	ˈæː	0.058
ˈoː	ˈøː	0.422
ˈoː	ˈoː	0.398
ˈoː	ˈœː	0.09
ˈoː	ˈɵ	0.063
ˈuː	ˈuː	0.739
ˈuː	ˈʉː	0.129
ˈuː	ˈʊ	0.129
ˈyː	ˈøː	0.841
ˈyː	ˈœ	0.097
ˈøː	ˈɵ	0.425
ˈøː	ˈœː	0.231
ˈøː	ˈøː	0.126
ˈœ	ˈɵ	0.66
ˈœ	ˈɔ	0.148
ˈɔ	ˈɵ	0.35
ˈɔ	ˈuː	0.219
ˈɔ	ˈɔ	0.219
ˈɔ	ˈœ	0.13
ˈɔ	ˈʉː	0.066
ˈɔʏ̯	ˈyː	0.34
ˈɔʏ̯	ˈœ	0.16
ˈɔʏ̯	ˈɵ	0.141
ˈɔʏ̯	ˈʏ	0.101
ˈɔʏ̯	ʊ	0.098
ˈɔʏ̯	ˈɛ	0.051
ˈɛ	ˈɛ	0.418
ˈɛ	ˈæː	0.14
ˈɛ	ˈɛː	0.106
ˈɛ	ˈæ	0.081
ˈɛ	ˈʉː	0.064
ˈɛ	j	0.063
ˈɛ	ˈøː	0.059
ˈɛ	ˈʏ	0.051
ˈɛː	ˈoː	0.312
ˈɛː	ˈøː	0.312
ˈɪ	ˈɪ	0.558
ˈɪ	ˈɛ	0.085
ˈɪ	j	0.083
ˈɪ	ˈeː	0.074
ˈʊ	ˈʊ	0.28
ˈʊ	ˈɔ	0.225
ˈʊ	ˈœ	0.149
ˈʊ	ˈɵ	0.116
ˈʊ	-	0.101
ˈʏ	ˈʏ	0.207
ˈʏ	ˈœ	0.164
ˈʏ	ˈɛ	0.157
ˈʏ	ˈɵ	0.089
ˈʏ	ˈɔ	0.085
