German	Swedish	probability
b	b	0.757
b	v	0.165
b	-	0.073
d	tʰ	0.424
d	d	0.162
d	-	0.149
d	ɕ	0.099
d	ɖ	0.067
f	f	0.606
f	p	0.188
f	v	0.121
f	-	0.039
f	ŋ	0.035
h	h	1.0
j	ˈɵ	0.359
j	-	0.17
k	k	0.379
k	j	0.22
k	ɡ	0.191
k	ɡː	0.086
k	rː	0.086
k_ə	ɡː	1.0
kʰ	kʰ	0.879
kʰ	ɕ	0.103
l	l	0.845
l	lː	0.101
l	-	0.053
m	m	0.769
m	mː	0.185
m	ɧ	0.046
n	n	0.513
n	-	0.283
n	a	0.095
n	nː	0.084
n_d	nː	1.0
p	v	0.805
p	-	0.149
p͡f	pʰ	0.312
p͡f	p	0.148
s	t	0.412
s	s	0.363
s	sː	0.094
s	tː	0.082
s	d	0.041
t	d	0.539
t	-	0.22
t	t	0.203
t	ɖ	0.033
t_ɐ	r	0.224
tʰ	d	0.71
tʰ	tʰ	0.138
tʰ	j	0.138
v	v	0.723
v	-	0.272
v_ˈɔ	ˈɵ	0.473
x	k	0.425
x	ɡ	0.28
x	-	0.28
x_t	tː	1.0
z	s	0.696
z	ɧ	0.175
z	sː	0.061
z	r	0.059
ç	k	0.417
ç	ɡ	0.196
ç	-	0.107
ç	j	0.107
ç	ŋ	0.055
ç_t	tː	1.0
ŋ	ŋː	0.878
ŋ	ŋ	0.103
ŋ_k	kː	1.0
ɐ	r	0.408
ɐ	ɛ	0.257
ɐ	-	0.133
ɐ	ɳ	0.059
ɐ	rː	0.052
ɐ_n	ɳ	1.0
ɐ_t	ɖ	1.0
ə	-	0.474
ə	a	0.405
ə	ɛ	0.114
ə_n	a	1.0
ɡ	ɡ	0.603
ɡ	j	0.204
ɡ	-	0.132
ɡ	ŋ	0.054
ɪ	ŋ	0.32
ɪ	ɪ	0.2
ɪ	-	0.151
ɪ	ɵ	0.089
ʁ	r	0.884
ʁ	-	0.08
ʁ	s	0.039
ʃ	s	0.536
ʃ	s_k	0.264
ʃ	ɧ	0.183
ʦ	tʰ	0.546
ʦ	d	0.095
ʦ	tː	0.071
ʦ	ʈː	0.071
ʦ	-	0.07
ˈa	ˈa	0.588
ˈa	ˈɑː	0.164
ˈa	ˈoː	0.064
ˈa	ˈɛ	0.064
ˈa	ˈeː	0.042
ˈaɪ̯	ˈiː	0.46
ˈaɪ̯	ˈeː	0.339
ˈaɪ̯	ˈɛ	0.076
ˈaɪ̯	ˈoː	0.061
ˈaɪ̯	ˈɛː	0.05
ˈaʊ̯	ˈʉː	0.485
ˈaʊ̯	ˈøː	0.288
ˈaʊ̯	ˈuː	0.085
ˈaʊ̯	nː	0.064
ˈaʊ̯	ˈœ	0.064
ˈaː	ˈoː	0.357
ˈaː	ˈɑː	0.332
ˈaː	ˈa	0.139
ˈaː	ˈɛː	0.092
ˈaː	jː	0.069
ˈeː	ˈeː	0.278
ˈeː	ˈøː	0.278
ˈeː	ʊ	0.125
ˈeː	ˈɛ	0.09
ˈeː	ˈɛː	0.083
ˈiː	ˈʉː	0.404
ˈiː	ˈyː	0.252
ˈiː	ˈiː	0.162
ˈiː	ˈɛː	0.107
ˈiː	ˈæː	0.058
ˈoː	ˈøː	0.456
ˈoː	ˈoː	0.43
ˈoː	ˈɵ	0.066
ˈoː	ˈœː	0.034
ˈuː	ˈuː	0.739
ˈuː	ˈʊ	0.129
ˈuː	ˈʉː	0.129
ˈyː	ˈøː	0.841
ˈyː	ˈœ	0.097
ˈøː	ˈɵ	0.425
ˈøː	ˈœː	0.231
ˈøː	ˈøː	0.126
ˈœ	ˈɵ	0.66
ˈœ	ˈɔ	0.148
ˈɔ	ˈɔ	0.285
ˈɔ	ˈɵ	0.254
ˈɔ	ˈuː	0.234
ˈɔ	ɳː	0.092
ˈɔ	ˈʉː	0.069
ˈɔɪ̯	ˈœ	0.473
ˈɔʏ̯	ˈyː	0.38
ˈɔʏ̯	ˈɵ	0.158
ˈɔʏ̯	ˈʏ	0.11
ˈɔʏ̯	ʊ	0.107
ˈɔʏ̯	ˈœ	0.103
ˈɛ	ˈɛ	0.462
ˈɛ	ˈɛː	0.11
ˈɛ	ˈæː	0.083
ˈɛ	ˈæ	0.083
ˈɛ	ˈʉː	0.066
ˈɛ_ɐ	ˈæː	1.0
ˈɛː	ˈøː	0.312
ˈɛː	ˈoː	0.312
ˈɪ	ˈɪ	0.559
ˈɪ	j	0.089
ˈɪ	ˈeː	0.074
ˈɪ	ˈɛ	0.074
ˈɪ	ˈiː	0.049
ˈʊ	ˈʊ	0.272
ˈʊ	ˈɔ	0.218
ˈʊ	ˈɵ	0.165
ˈʊ	ˈœ	0.144
ˈʊ	-	0.098
ˈʏ	ˈʏ	0.198
ˈʏ	ˈɛ	0.157
ˈʏ	ˈœ	0.157
ˈʏ	ˈɔ	0.131
ˈʏ	ˈɵ	0.085
