Portuguese	Portuguese	probability
β_ˈe	ˈi	1.0
ˈo_v	ˈo	1.0
ˈẽ	ˈɛ_n	1.0
ˈe_ɾ	i	1.0
ˈe_w	ˈɛ_u	1.0
ʒ	ʤ	1.0
ɾ_n	r	1.0
ɨ_#>	#>	1.0
ɡ	ɡ	1.0
ɔ	-	1.0
ɐ_#>	#>	1.0
z	ʒ	1.0
ũ	-	1.0
p	p	1.0
õ	u	1.0
o	-	1.0
n_ɐ	n_ˈa	1.0
m	m	1.0
l_ɐ	a	1.0
k	k	1.0
j̃	i	1.0
j_ɐ	n_a	1.0
j_t	t	1.0
ĩ	-	1.0
i_ʃ	s	1.0
i	i	1.0
f	f	1.0
d	d	1.0
b	b	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʒ	<#_ʤ	1.0
<#_ɐ	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_i	<#_i	1.0
<#	<#_a	1.0
ˈu	ˈu	0.9
ˈa	ˈa	0.892
t	t	0.882
ɐ	a	0.865
ˈi	ˈi	0.857
u	u	0.851
ɨ	i	0.816
β	β	0.75
ɾ_ɐ	ɾ_a	0.75
ð	ð	0.737
s_u	s_u	0.714
l	ɖː	0.692
ɣ	ɣ	0.688
ɾ_u	ɾ_u	0.667
ʁ	a_r	0.636
ˈɔ	ˈɔ	0.632
s	s	0.611
v	b	0.606
ˈɐ_j	ˈi	0.6
ˈõ	n	0.6
ˈĩ	ˈi	0.6
ˈɛ	ˈɛ	0.591
ˈe	ˈi	0.526
ˈɐ̃	ˈa	0.5
ɐ̃	a	0.5
ɐ̃	-	0.5
w	-	0.5
n	n	0.5
n	-	0.5
w̃	n_i	0.444
ɫ	l_i	0.429
#>	i_#>	0.417
ˈɐ	ˈɛ	0.412
ˈɐ	ˈa	0.412
ˈɐ_j	ˈe	0.4
ˈõ	ˈo_n	0.4
ˈĩ	ˈi_n	0.4
j	i	0.389
ɾ	ɾ	0.387
ʎ	ɭː	0.385
ʎ	ɣ	0.385
ʁ	r	0.364
ɲ	n_ʤ	0.357
ɲ	n	0.357
ˈo	ˈu	0.343
ˈo	ˈo	0.343
ɾ_u	u	0.333
w̃	n_u	0.333
w	w	0.333
ˈɛ	ˈe	0.318
ˈo	ˈɔ	0.314
ɣ	-	0.312
ɫ	i	0.286
ɫ	-	0.286
s_u	u	0.286
ʃ	z	0.281
ˈe	ˈɛ	0.263
ð	-	0.263
ɾ	i	0.258
β	-	0.25
ɾ_ɐ	a	0.25
ʎ	-	0.231
ˈɐ̃	ˈa_n	0.222
w̃	i	0.222
s	ʧ	0.222
j	j	0.222
ʃ	s	0.219
v	-	0.212
ˈɔ	ˈo	0.211
ɾ	ɾ_i	0.21
#>	u_#>	0.208
ˈɐ	-	0.176
ˈɐ̃	n	0.167
w	u	0.167
j	-	0.167
ˈɔ	ˈu	0.158
ʃ	ʒ_i	0.156
l	l	0.154
l	-	0.154
ˈi	-	0.143
ɲ	nː	0.143
ɲ	-	0.143
#>	ɔ̆_#>	0.125
ˈɐ̃	ˈɔ	0.111
s	-	0.111
j	z	0.111
j	n	0.111
ˈe	i_ɾ	0.105
ˈe	-	0.105
ɨ	-	0.105
ˈu	ɾ	0.1
ʃ	ʃ	0.094
ˈɛ	-	0.091
#>	l_u_#>	0.083
#>	ă_#>	0.083
#>	a_#>	0.083
ɾ	-	0.081
ɐ	-	0.081
ɨ	i_n	0.079
ʃ	ɾ	0.062
ʃ	p	0.062
ʃ	i	0.062
ʃ	f_ɾ	0.062
v	β	0.061
v	u	0.061
v	b_ɾ	0.061
t	ʦ	0.059
t	-	0.059
s	ʃ	0.056
ˈa	ɾ_ˈa	0.054
ˈa	i	0.054
ɐ	n_a	0.054
u	ɔ	0.054
u	-	0.054
