Western Lombard	Western Lombard	probability
ˈɛ_#>	j_r_#>	1.0
ˈɑː_d	ˈɛ	1.0
ˈœ	w	1.0
ˈøː_l	ʎ	1.0
ˈøː_k	ˈɛ_w	1.0
ˈy	-	1.0
ˈoː	ˈɔ	1.0
ˈo	ˈa	1.0
ˈĩ	ˈĩ	1.0
ˈi_#>	#>	1.0
ˈeː_s	ˈi_s	1.0
ˈa_#>	ˈe_r_#>	1.0
ʧ_#>	ʎ_#>	1.0
ʃ	t_ˈi	1.0
ɛ	-	1.0
y	-	1.0
w	w	1.0
ũ	-	1.0
s_ˈɛ	s_ˈɛ	1.0
s_#>	#>	1.0
r_t	r_t	1.0
p	p	1.0
o	-	1.0
n_#>	#>	1.0
m_#>	m_#>	1.0
m	m	1.0
l_a	l_ə	1.0
l_#>	l_#>	1.0
k_r	k_r	1.0
ĩ	-	1.0
f_r	f_r	1.0
f_#>	f_#>	1.0
f	f	1.0
ẽ	ˈẽ	1.0
e_r	r_ə	1.0
b	b	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_ʦ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#_ã	1.0
r	r	0.957
t	t	0.943
v	v	0.885
a	ə	0.784
n	n	0.783
ɲ	ɲ	0.778
ˈɔ	ˈɔ	0.75
ˈøː	w_ˈɛ	0.75
ˈã	ˈã	0.75
s	s	0.737
ˈũ	ˈũ_n	0.727
ʤ	-	0.667
j	l	0.667
ˈɛ	ˈɛ	0.654
ˈa	ˈa	0.647
ɡ	ɡ	0.647
l	l	0.643
ˈẽ	ˈẽ_n	0.625
ʒ	ʤ	0.556
u	u	0.545
ˈu	ˈu	0.5
z	z	0.5
z	-	0.5
k_#>	j_#>	0.5
k_#>	#>	0.5
i	ə	0.5
i	-	0.5
d	d	0.476
ˈyː	ˈy	0.471
ˈi	ˈi_r	0.462
e	ə	0.45
ˈuː	ˈu	0.444
ʧ	t	0.429
k	ʧ	0.425
k	k	0.425
ˈi	ˈi	0.385
ˈiː	ˈɔ_j	0.375
ˈiː	ˈi	0.375
ˈẽ	ˈẽ	0.375
ˈe	ˈɛ	0.375
ˈe	ˈe	0.375
ˈeː	ˈɔ_j	0.364
ˈeː	-	0.364
#>	ə_#>	0.351
#>	n_#>	0.351
ˈuː	-	0.333
ʤ	ɡ_l	0.333
ˈɑː	ˈa	0.32
ʧ	r_ə	0.286
ʧ	k_l	0.286
ˈũ	ˈũ	0.273
ˈeː	ˈẽ	0.273
u	-	0.273
ˈøː	-	0.25
ˈiː	ˈĩ	0.25
ˈe	-	0.25
ˈã	ˈã_n	0.25
d	-	0.238
ˈyː	ˈỹ	0.235
ˈa	ˈã	0.235
ɡ	-	0.235
ˈuː	ˈɔ	0.222
ʒ	z	0.222
ʒ	-	0.222
ɲ	-	0.222
n	-	0.217
l	w	0.214
ˈu	ˈɔ	0.2
ˈu	ˈũ	0.2
j	ʎ	0.2
e	j	0.2
e	-	0.2
ˈɛ	ˈi	0.192
#>	s_#>	0.189
u	ɔ	0.182
ˈyː	-	0.176
ˈɑː	ˈɛ	0.16
ˈɑː	ˈã_j	0.16
ˈɛ	ˈɔ_j	0.154
ˈi	ˈɔ	0.154
e	ɛ	0.15
a	a	0.149
l	l_ə	0.143
j	ˈi	0.133
ˈɔ	ˈy_j	0.125
ˈɔ	ˈũ	0.125
s	e_s	0.123
ˈɑː	ˈe	0.12
ˈyː	ˈu	0.118
ˈa	-	0.118
ɡ	j	0.118
v	-	0.115
s	ʦ	0.105
ˈu	ˈo	0.1
k	ŋ_k	0.1
d	ˈɔ	0.095
d	ʤ	0.095
d	j	0.095
ˈɑː	ˈã	0.08
ˈɑː	j_ˈe	0.08
ˈɑː	j	0.08
a	-	0.068
t	-	0.057
#>	r_#>	0.054
#>	l_#>	0.054
