Afrikaans	Northern Low Saxon	probability
b	b	0.958
b	-	0.05
d	d	0.882
d	-	0.116
f	f	0.932
f	-	0.063
j	ʒ	0.5
k	ɡ	0.476
k	kʰ	0.383
k	k	0.091
k	-	0.04
k	ç	0.038
l	l	1.0
m	m	1.0
n	n	0.945
n	-	0.038
p	b	0.552
p	p	0.223
p	b_m	0.223
r	r	0.414
r	-	0.303
r	ɐ	0.272
r_t	d	1.0
s	s	0.441
s	ʃ	0.302
s	z	0.233
s_k	ʃ	1.0
t	d	0.539
t	tʰ	0.137
t	t	0.125
t	d_n	0.086
t	-	0.075
v	v	0.891
v	f	0.065
v	-	0.053
w	v	0.907
w	-	0.08
ŋ	ŋ	0.67
ŋ	ç	0.159
ŋ	n	0.159
ə	ɐ	0.516
ə	-	0.303
ə	ɪ	0.138
ə	i	0.045
ɦ	h	1.0
ɫ	l	0.92
ɫ	ɡ_l	0.061
ɫ	-	0.034
ˈa	ˈa	0.863
ˈa	-	0.046
ˈa	ˈaʊ̯	0.045
ˈa	ˈeː	0.044
ˈa	ˈaː	0.037
ˈa_r	ˈaː	1.0
ˈi	ˈaɪ̯	0.687
ˈi	ˈiː	0.136
ˈi	ˈeː	0.068
ˈi	ˈʏ	0.057
ˈi	ˈeɪ̯	0.057
ˈoːi̯	ˈaʊ̯	0.5
ˈu	ˈaʊ̯	0.505
ˈu	ˈɔʏ̯	0.366
ˈu	ˈuː	0.099
ˈuː	ˈaʊ̯	0.5
ˈuːi̯	ˈaʊ̯	1.0
ˈyː	ˈyː	1.0
ˈæ	ˈɪ	0.379
ˈæ	ˈaː	0.19
ˈæː	ˈɛɪ̯	0.66
ˈæː	ˈaː	0.165
ˈœ	ˈʏ	0.826
ˈœ	ˈɔː	0.144
ˈœi̯	ˈiː	1.0
ˈœu̯	ˈaʊ̯_l	0.506
ˈœu̯	ˈʊ	0.253
ˈœu̯	ˈuː	0.104
ˈœu̯	ˈɔ	0.069
ˈœɪ̯	ˈuː	0.758
ˈœɪ̯	ˈyː	0.232
ˈɑː	ˈoː	0.797
ˈɑː	ˈœ	0.052
ˈɑː	ˈɛɪ̯	0.05
ˈɑː	ˈa	0.049
ˈɑː	ˈeː	0.044
ˈɔ	ˈʊ	0.576
ˈɔ	ˈɔ	0.281
ˈɔ	ˈaʊ̯	0.063
ˈɔ	-	0.055
ˈɔ	ˈuː	0.04
ˈɔː	ˈɔ	0.574
ˈɔː	ˈoː	0.287
ˈə	ˈɪ	1.0
ˈəɪ̯	ˈiː	0.75
ˈəɪ̯	ˈaɪ̯	0.096
ˈəɪ̯	ˈeɪ̯	0.096
ˈəɪ̯	ˈɪ	0.059
ˈɛ	ˈɛ	0.312
ˈɛ	ˈø	0.213
ˈɛ	ˈʏ	0.122
ˈɛ	ˈœː	0.122
ˈɛ	ˈaː	0.09
ˈɛː	ˈɛ	1.0
ˈɪ	ˈɪ	0.5
ˈɪø̯	ˈøː	0.594
ˈɪø̯	ˈʏ	0.392
ˈɪə̯	ˈeː	0.377
ˈɪə̯	ˈaɪ̯	0.207
ˈɪə̯	ˈeɪ̯	0.133
ˈɪə̯	ˈɛ_l	0.116
ˈɪə̯	ˈoː	0.06
ˈʊə̯	ˈaʊ̯	0.681
ˈʊə̯	ˈɔʏ̯	0.272
ˈʊə̯	ˈoː	0.05
χ	ɡ	0.388
χ	x	0.265
χ	ç	0.229
χ	-	0.107
