Swedish	Dutch	probability
a	ə	0.929
b	b	1.0
d	d̥	0.477
d	d	0.443
d	-	0.063
f	v	0.984
h	ɦ	0.975
j	χ	0.489
j	-	0.354
j	ɫ	0.07
j	ˈɑ	0.054
jː	χ	1.0
k	k	0.788
k	χ	0.155
k	-	0.057
kʰ	k	0.976
kː	k	0.547
kː	ŋ_k	0.453
l	ɫ	0.922
l	-	0.078
lː	ɫ	0.723
lː	d̥	0.277
m	m	0.888
m	f	0.112
mː	m	1.0
n	n	0.896
n	-	0.081
nː	n	0.955
p	p	1.0
pʰ	p	1.0
pː	p	1.0
r	ɾ	0.935
r	-	0.062
rː	ɾ	1.0
s	s	0.523
s	z	0.468
sː	s	0.592
sː	z	0.408
t	t	1.0
tʰ	d	0.645
tʰ	t	0.313
tː	t	0.645
tː	χ_t	0.355
v	ʋ	0.62
v	v̥	0.172
v	v	0.135
v	f	0.055
ŋ	ŋ	0.398
ŋ	n	0.341
ŋ	ə	0.154
ŋ	v	0.107
ŋː	ŋ	1.0
ɔ	i	1.0
ɕ	k	0.836
ɕ	d	0.123
ɖ	ɾ_d̥	0.932
ɖ	d	0.068
ɛ	ə	0.844
ɛ	-	0.156
ɡ	χ	0.914
ɡ	k	0.076
ɡː	χ	0.785
ɡː	-	0.215
ɧ	s	0.63
ɧ	z	0.37
ɪ	ə	0.869
ɪ	-	0.131
ɳ	ɾ	1.0
ɳː	n	1.0
ɵ	ɪ	0.747
ɵ	-	0.253
ʂ	s	1.0
ʈ	t	1.0
ʈː	t	1.0
ʊ	ə	0.679
ʊ	ˈi	0.194
ʊ	-	0.127
ˈa	ˈɑ	0.802
ˈa	ˈaː	0.094
ˈa	ˈɛ	0.058
ˈeː	ˈeː	0.598
ˈeː	ˈɛi̯	0.221
ˈeː	ˈi	0.127
ˈiː	ˈɛi̯	0.824
ˈiː	ˈeː	0.082
ˈiː	ˈɪ	0.072
ˈoː	ˈaː	0.522
ˈoː	ˈoː	0.221
ˈoː	ˈeː	0.148
ˈoː	ˈɑ	0.11
ˈuː	ˈu	0.738
ˈuː	ˈoː	0.229
ˈyː	ˈyː	0.533
ˈyː	ˈi	0.419
ˈæ	ˈɛ	0.66
ˈæ	ɾ	0.34
ˈæː	ˈɛ	0.63
ˈæː	ˈi	0.299
ˈæː	ˈaː	0.071
ˈøː	ˈoː	0.599
ˈøː	ˈu	0.167
ˈøː	ˈeː	0.101
ˈøː	ˈɛ	0.095
ˈœ	ˈoː	0.511
ˈœ	ˈɔ	0.16
ˈœ	ˈɪ	0.078
ˈœ	ˈɛ	0.073
ˈœ	ˈu	0.061
ˈœ	ˈœy̯	0.06
ˈœ	-	0.057
ˈœː	ˈoː	1.0
ˈɑː	ˈaː	0.617
ˈɑː	ˈɑ	0.247
ˈɑː	ˈɪ	0.119
ˈɔ	ˈoː	0.421
ˈɔ	ˈɔ	0.324
ˈɔ	ˈɑ	0.108
ˈɔ	ˈɪ	0.059
ˈɔ	-	0.055
ˈɛ	ˈɛ	0.456
ˈɛ	ˈɑ	0.157
ˈɛ	ˈeː	0.143
ˈɛ	ˈɛi̯	0.108
ˈɛ	ˈi	0.071
ˈɛː	ˈeː	0.457
ˈɛː	ˈi	0.169
ˈɛː	ˈɑ	0.162
ˈɛː	ˈɛ	0.111
ˈɛː	ˈøː	0.054
ˈɪ	ˈɪ	0.797
ˈɪ	ˈɛ	0.137
ˈɪ	-	0.066
ˈɵ	ˈɔ	0.343
ˈɵ	ˈoː	0.193
ˈɵ	ʋ_ˈɔ	0.13
ˈɵ	ˈʏ	0.123
ˈɵ	ˈœy̯	0.114
ˈɵ	ˈɪ	0.078
ˈʉː	ˈi	0.468
ˈʉː	ˈœy̯	0.224
ˈʉː	ˈeː	0.097
ˈʉː	ˈɔ	0.062
ˈʉː	-	0.052
ˈʊ	ˈɔ	0.802
ˈʊ	ˈu	0.198
ˈʏ	ˈʏ	0.537
ˈʏ	ˈœy̯	0.246
ˈʏ	ˈɛ	0.113
ˈʏ	ˈɑu̯	0.104
