Swedish	Dutch	probability
a	ə_n	0.51
a	-	0.427
a	ə	0.055
b	b	1.0
b_j	b	0.519
d	t	0.569
d	d	0.402
d	-	0.038
e	-	1.0
f	v	1.0
h	ɦ	0.94
h	k	0.064
j	-	0.463
j	χ	0.369
j	ʋ	0.089
j	ˈɑ	0.075
j_ˈʉː	ˈi	1.0
jː	χ	0.27
k	k	0.782
k	χ	0.193
k_s	s	0.519
kʰ	k	0.974
kʰ	-	0.048
kː	ŋ_k	0.629
kː	k	0.361
l	ɫ	0.756
l	l	0.122
l	-	0.117
lː	ɫ	0.715
lː	ˈɑu̯	0.208
m	m	0.937
m	f	0.063
mː	m	1.0
n	n	0.892
n	-	0.083
nː	n	0.653
nː	n_d	0.213
nː	ɫ	0.096
nː	ɾ	0.048
p	p	1.0
pʰ	p	0.519
pː	p	1.0
r	ɾ	0.945
r	-	0.054
rː	ˈoː	0.415
rː	ɾ	0.376
s	s	0.522
s	z	0.476
s_k	s	1.0
sː	s	0.85
sː	z	0.09
t	t	0.936
t	d	0.064
tʰ	d	0.638
tʰ	t	0.349
tː	χ_t	0.541
tː	t	0.447
v	ʋ	0.572
v	f	0.169
v	v	0.106
v	p	0.073
v	ə_f	0.06
ŋ	ŋ	0.457
ŋ	ə	0.232
ŋ	n	0.223
ŋː	ŋ	1.0
ɕ	k	0.574
ɕ	d	0.178
ɕ	t	0.063
ɖ	t	0.519
ɛ	ə	0.697
ɛ	-	0.297
ɡ	χ	0.852
ɡ	k	0.089
ɡ	-	0.06
ɡː	χ	0.715
ɡː	-	0.28
ɧ	s_χ	0.407
ɧ	s	0.308
ɧ	z	0.268
ɪ	ə	0.638
ɪ	-	0.33
ɳ	ɾ	1.0
ɳː	n	0.519
ɵ	-	0.608
ɵ	ɪ	0.275
ʈː	t	0.519
ʊ	ə	0.316
ʊ	ˈi	0.316
ʊ	-	0.058
ˈa	ˈɑ	0.759
ˈa	ˈaː	0.094
ˈa	ˈɑu̯	0.056
ˈa	-	0.055
ˈa	ˈɛ	0.054
ˈeː	ˈeː	0.519
ˈeː	ˈɛi̯	0.242
ˈeː	ˈi	0.223
ˈiː	ˈɛi̯	0.767
ˈiː	-	0.08
ˈiː	ˈeː	0.078
ˈiː	ˈɪ	0.078
ˈoː	ˈaː	0.556
ˈoː	ˈoː	0.268
ˈoː	ˈɑ	0.094
ˈoː	ˈeː	0.067
ˈuː	ˈu	0.562
ˈuː	ˈoː	0.257
ˈuː	ˈu_d	0.166
ˈyː	ˈyː	0.389
ˈyː	ˈi	0.258
ˈyː	w	0.223
ˈæ	ɾ	0.343
ˈæ	ˈɛ	0.343
ˈæː	ˈaː	0.189
ˈæː	ˈɛ	0.189
ˈæː	ˈi	0.164
ˈøː	ˈoː	0.646
ˈøː	ˈeː	0.125
ˈøː	ˈu	0.125
ˈøː	w	0.069
ˈøː	ˈɛ	0.046
ˈœ	ˈoː	0.351
ˈœ	ˈɛ	0.26
ˈœ	ˈu	0.149
ˈœ	ˈɔ	0.107
ˈœ	ˈœy̯	0.066
ˈœː	ˈoː	1.0
ˈɑː	ˈaː	0.482
ˈɑː	ˈɑ	0.419
ˈɑː	ˈɪ	0.089
ˈɔ	ˈɔ	0.511
ˈɔ	ɾ	0.131
ˈɔ	ˈɑ	0.131
ˈɔ	ˈoː	0.097
ˈɔ	ˈɪ	0.072
ˈɛ	ˈɛ	0.376
ˈɛ	ˈɛi̯	0.168
ˈɛ	ˈɑ	0.146
ˈɛ	ˈeː	0.118
ˈɛ	ˈɪ	0.115
ˈɛː	ˈeː	0.339
ˈɛː	ˈøː	0.194
ˈɛː	ˈɑ	0.194
ˈɛː	ˈɛ	0.133
ˈɛː	ˈi	0.095
ˈɛː_d	ˈeː	1.0
ˈɪ	ˈɪ	0.855
ˈɪ	ˈɛ	0.082
ˈɪ	-	0.063
ˈɵ	ˈɔ	0.358
ˈɵ	ˈʏ	0.157
ˈɵ	ˈoː	0.119
ˈɵ	ˈœy̯	0.119
ˈɵ	ʋ_ˈɔ	0.103
ˈʉː	ˈi	0.361
ˈʉː	ˈœy̯	0.338
ˈʉː	ˈɔ	0.145
ˈʉː	ˈeː	0.071
ˈʉː	ˈoː	0.061
ˈʊ	ˈɔ	0.734
ˈʊ	ˈu	0.257
ˈʏ	ˈʏ	0.496
ˈʏ	ˈœy̯	0.389
ˈʏ	ˈɛ	0.095
