Neapolitan	Catalan	probability
ˈɛ_tː	ˈi_t	1.0
ˈu_ʃ	ˈɛ	1.0
ˈo_n	ˈo	1.0
ˈi_n	ˈi	1.0
ʧː	-	1.0
ʧ	-	1.0
ʦː_ə	w	1.0
ʦː	ʧ	1.0
ʦ_ə	s_ə	1.0
ʤː	ʒ	1.0
ʎː	ʎ	1.0
ɾ_t	r_t	1.0
ɾ_n	r_n	1.0
ɲː	ɲ	1.0
ɲ	ɲ	1.0
ə_ɾ	ɾ	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
z	z_a	1.0
w_ˈɔ	ˈɔ	1.0
w_ˈa	w_ˈa	1.0
w_ə	w_ə	1.0
v_j	b	1.0
t_ɾ	ɾ	1.0
sː	-	1.0
s_ˈa	s_ˈa	1.0
s_ə	ə	1.0
s	s	1.0
rː	r	1.0
n_ˈo	n	1.0
n_t	n	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
kː_ə	k_ə	1.0
kː_j	ʎ	1.0
k_w	k	1.0
k_j	p_l	1.0
fː	f	1.0
f	f	1.0
e	-	1.0
dː	t	1.0
d_ə	t	1.0
d	d	1.0
b_w	b	1.0
b	b	1.0
a_t	ə_ð	1.0
a	ə	1.0
ˈa	ˈa	0.944
ʃ	s	0.909
k	k	0.873
ə	ə	0.864
n	n	0.832
p	p	0.824
u	u	0.811
tː	t	0.804
ˈe	ˈɛ	0.784
ˈɔ	ˈɔ	0.75
r	ɾ	0.689
w	-	0.655
ɡ	ɡ	0.646
ˈi	ˈi	0.638
v	b	0.634
ˈu	ˈu	0.622
ʤ	ʒ	0.618
ˈo	ˈɔ	0.608
j_ˈɛ	ˈe	0.602
ɾ	ɾ	0.597
ˈɛ	ˈe	0.595
t	t	0.578
nː	n	0.566
ʎː_ə	ʎ	0.565
o	u	0.555
ˈu_n	ˈo	0.522
ˈu_n	ˈu	0.478
j	l	0.466
o	-	0.445
ʎː_ə	ʎ_ə	0.435
nː	ɲ	0.434
t	ð	0.422
ʃː	ʃ	0.412
ˈɛ	ˈɛ	0.405
i	-	0.4
j_ˈɛ	ˈɛ	0.398
ˈo	ˈo	0.392
ʤ	-	0.382
ʃː	s	0.381
ˈu	ˈo	0.378
j	-	0.357
ɡ	ɣ	0.354
w	l	0.345
i	ə	0.322
r	r	0.311
i	i	0.278
ɾ	r	0.232
ˈi	ˈɛ	0.227
ˈe	ˈe	0.216
v	β	0.211
ʃː	-	0.206
tː	j_t	0.196
u	-	0.189
p	β	0.176
j	ʒ	0.176
ɾ	-	0.171
n	-	0.168
v	w	0.155
ˈɔ	ˈu	0.151
ˈi	ˈe	0.135
k	ɣ	0.127
ə	w	0.101
ˈɔ	ˈo	0.098
ʃ	-	0.091
ˈa	ˈe	0.056
