Scots	German	probability
b	b	1.0
d	t	0.514
d	tʰ	0.252
d	d	0.141
e	-	0.361
e	ə	0.361
e	ɐ	0.205
f	f	0.863
f	p	0.131
h	h	0.932
h	ʁ	0.067
i	ɪ	1.0
j	j	0.384
j	ɡ	0.253
j	ˈɛ	0.165
j	ˈɔʏ̯	0.102
k	k	0.326
k	ç_ə	0.183
k	kʰ	0.159
k	k_ə	0.139
k	x	0.105
k	ç	0.072
kʰ	kʰ	0.786
kʰ	ʁ	0.165
l	l	1.0
m	m	0.822
m	m_ə	0.14
n	n	0.93
n	-	0.064
p	f	0.559
p	f_ə	0.267
p	p͡f	0.153
pʰ	p͡f	1.0
r	ɐ	0.366
r	ʁ	0.302
r	-	0.293
s	z	0.352
s	s	0.299
s	ʃ	0.283
s	n_s	0.051
t	t	0.471
t	s	0.278
t	ʦ	0.15
t	s_ə	0.066
tʰ	ʦ	0.874
tʰ	b	0.125
v	b	0.596
v	f	0.384
w	v	0.904
w	-	0.092
x	x	0.585
x	ç	0.406
z	z	0.871
z	ʁ	0.052
ç	k	0.245
ð	d	0.631
ð	t	0.334
ŋ	ŋ	0.775
ŋ	ŋ_ə	0.223
ə	ɐ	0.719
ə	ə	0.171
ə	-	0.054
ə	ˈɛ	0.054
əi̯	ɪ	0.758
əi̯	ə	0.183
ɡ	ɡ	0.655
ɡ	-	0.203
ɡ	k	0.131
ɪ	-	0.758
ɪ	ɐ	0.092
ɫ	l	1.0
ɹ	ˈaɪ̯	0.495
ʃ	ʃ	1.0
ʍ	v	1.0
ʧ	ç	0.375
ʧ	kʰ	0.185
ˈa	ˈœ	0.495
ˈaːɪ̯	ˈʏ	0.326
ˈaːɪ̯	ˈaʊ̯	0.161
ˈe	ˈaɪ̯	0.324
ˈe	ˈaː	0.194
ˈe	ˈa	0.188
ˈe	ˈiː	0.086
ˈe	ˈoː	0.082
ˈei̯	ˈaʊ̯	0.236
ˈei̯	ˈoː	0.221
ˈei̯	ˈøː	0.108
ˈei̯	ˈiː	0.082
ˈei̯	ˈa	0.062
ˈei̯	ˈaː	0.062
ˈei̯	ˈeː	0.062
ˈei̯	ˈɛː	0.062
ˈei̯	-	0.053
ˈeː	ˈaː_ɡ	0.594
ˈeː	ˈaː	0.392
ˈi	ˈiː	0.232
ˈi	ˈeː	0.188
ˈi	ˈaʊ̯	0.158
ˈi	ˈyː	0.158
ˈi	ˈɪ	0.093
ˈiː	ˈiː	0.216
ˈiː	ˈaʊ̯	0.123
ˈiː	ˈaː	0.107
ˈiː	ˈyː	0.088
ˈiː	ˈeː	0.071
ˈiː	ˈøː	0.071
ˈiː	ˈʊ	0.071
ˈiː	ˈaɪ̯	0.06
ˈiː	ˈɔʏ̯	0.058
ˈoe̯	ˈɛ	0.245
ˈø	ˈuː	0.709
ˈø	ˈa	0.112
ˈø	ˈaː	0.076
ˈø	ˈoː	0.06
ˈɑ	ˈa	0.683
ˈɑ	ˈaː	0.114
ˈɑ	ˈɛ	0.114
ˈɑ	ˈaɪ̯	0.083
ˈɑː	ˈa	0.416
ˈɑː	ˈa_l	0.216
ˈɑː	ˈeː	0.169
ˈɑː	ˈaɪ̯	0.097
ˈɑː	ˈaː	0.075
ˈɔ	ˈɔ	0.664
ˈɔ	ˈʊ	0.211
ˈɔ	ˈaː	0.064
ˈɔ	ˈoː	0.061
ˈəi̯	ˈaɪ̯	0.599
ˈəi̯	ˈɔʏ̯	0.12
ˈəi̯	ˈɪ	0.092
ˈəi̯	ˈʏ	0.092
ˈəi̯	ˈeː	0.075
ˈɛ	ˈɛ	0.327
ˈɛ	ˈa	0.169
ˈɛ	ˈaɪ̯	0.136
ˈɛ	ˈaː	0.101
ˈɛ	ˈiː	0.088
ˈɛ	ˈeː	0.066
ˈɛ	ˈɛː	0.054
ˈɪ	ˈɪ	0.452
ˈɪ	ˈa	0.118
ˈɪ	ˈuː	0.063
ˈɪ	ˈɛ	0.063
ˈɪ	ˈʊ	0.063
ˈɪ	-	0.06
ˈɪ	ˈʏ	0.059
ˈɪ	ˈaɪ̯	0.055
ˈʉ	ˈaʊ̯	0.403
ˈʉ	ˈʊ	0.174
ˈʉ	ˈuː	0.139
ˈʉ	ˈoː	0.08
ˈʉ	ˈɔʏ̯	0.08
ˈʉ	ˈɔ	0.066
ˈʉ	-	0.051
ˈʌ	ˈʊ	0.463
ˈʌ	ˈɔ	0.232
ˈʌ	ˈɛ	0.143
ˈʌ	ˈoː	0.093
ˈʌʉ̯	ˈɔ_l	0.517
ˈʌʉ̯	ˈyː	0.194
ˈʌʉ̯	ˈiː	0.13
θ	d	0.574
θ	t	0.245
θ	tʰ	0.057
θ	l	0.057
θ	n	0.054
