East Low German	Swabian	probability
ˈɛː	ˈɛ	1.0
ˈœː	ˈi	1.0
ˈœ	ˈe	1.0
ˈyː	ˈəi̯	1.0
ˈoː	ˈɔː	1.0
ˈae̯_#>	ˈae̯_#>	1.0
ʃ	ʃ	1.0
ɾ	d	1.0
ɪ	ɪ	1.0
ɡ	ɡ	1.0
ŋ_k	ŋ	1.0
z	s	1.0
w	ʋ	1.0
v	ʋ	1.0
tʰ	ʦ	1.0
t_n	s_a	1.0
r	ʁ	1.0
p_n	f_a	1.0
p_#>	f_#>	1.0
p	b̥͡f	1.0
n_#>	#>	1.0
kʰ	kʰ	1.0
h	h	1.0
f_#>	b_#>	1.0
f	f	1.0
d	d	1.0
b	b	1.0
#>	a_#>	1.0
l	l	0.957
ˈuː	ˈao̯	0.857
ˈʊ	ˈo	0.833
æ	ʌ	0.821
ˈiː	ˈəi̯	0.818
ˈa	ˈa	0.818
ˈɛ	ˈɛ	0.75
ç_#>	ɡ_#>	0.75
ˈae̯	ˈɔe̯	0.706
m	m	0.654
x	x	0.625
s	s	0.625
ŋ	ŋ	0.615
æ_n	ʕ_n	0.6
j	ɡ	0.6
ˈɪ	ˈi	0.556
t	d	0.545
ˈɔʏ̯	ˈuə̯	0.5
ˈɔʏ̯	ˈiə̯	0.5
n	n	0.49
ˈʏ	ˈu	0.429
ˈaː	ˈa_ʕ	0.429
æ_n	ʁ_a	0.4
k	ɡ	0.4
j	j	0.4
ˈaʊ̯	ˈuə̯	0.389
ŋ	ɡ_a	0.385
x	ɡ	0.375
n	a	0.333
k	ç	0.333
ˈɔ	ˈɔ	0.3
ˈɔ	ˈo	0.3
ˈae̯	ˈiə̯	0.294
ˈʏ	ˈɛ	0.286
ˈʏ	ˈae̯	0.286
ˈaː	ˈaː	0.286
ˈaː	ʕ	0.286
ˈaʊ̯	ˈoː	0.278
t	s	0.273
ˈɒː	ˈɔː	0.267
ˈɒː	ˈoː	0.267
ˈɒː	ˈa	0.267
k	x	0.267
ˈɛ	ˈɛː	0.25
ç_#>	#>	0.25
s	ʃ	0.25
ˈɪ	ˈɪ	0.222
ˈɪ	ˈe	0.222
ˈaʊ̯	ˈao̯	0.222
ˈɔ	ˈu	0.2
ˈɔ	ˈa	0.2
ˈɒː	ˈaː	0.2
ˈiː	ˈi	0.182
æ	ʕ	0.179
ˈʊ	ˈu	0.167
m	m_a	0.154
ˈuː	ˈɔ	0.143
n	n_d	0.137
s	ɡ_s	0.125
m	a	0.115
t	ʦ	0.114
ˈaʊ̯	ˈuː	0.111
ˈa	ˈɛ	0.091
ˈa	ˈaː	0.091
m	b_a	0.077
t	t	0.068
