Neapolitan	Italian	probability
a	a	1.0
b	b	1.0
d	d	1.0
e	e	1.0
f	f	1.0
kː	kː	1.0
l	l	1.0
m	m	1.0
mː	m	1.0
o	o	1.0
p	p	1.0
s	s	1.0
tː	tː	1.0
ŋ	ŋ	1.0
ɡ	ɡ	1.0
ʎː	ʎː	1.0
ʤ	ʤ	1.0
ʤː	ʤː	1.0
ʦː	ʦː	1.0
ˈɔ	ˈɔ	1.0
i	e	0.321
v	v	0.81
w	w	0.811
ˈa	ˈa_r	0.121
ˈe	ˈe	0.891
j	ʤ	0.062
sː	-	0.572
v	b	0.172
ʃː	ʃː	0.602
lː	l	0.3
nː	n	0.783
t	t	0.943
ʃ	s	0.193
j	-	0.054
j	j	0.884
r	r	0.924
u	u	0.084
ɲː	ɲː	0.914
ʃ	-	0.064
ˈi	ˈe	0.44
k	k	0.835
n	n	0.965
ɾ	r	0.765
ˈo	ˈi	0.075
ˈo	ˈo	0.925
k	p	0.06
r	-	0.076
u	o	0.916
ɲː	j	0.086
ɾ	l	0.06
ˈu	ˈu	0.586
lː	lː	0.7
nː	nː	0.217
t	d	0.057
ə	o	0.407
ɾ	d	0.127
ʃ	ʧ	0.717
k	ɡ	0.078
sː	sː	0.428
ə	e	0.308
ʃː	ʧː	0.398
ˈi	ˈi	0.538
ˈɛ	ˈɛ	0.968
i	i	0.679
w	-	0.189
ə	a	0.259
ˈa	ˈa	0.879
ˈe	ˈɛ	0.109
ˈu	ˈo	0.39
