Proto-Germanic	Proto-Germanic	probability
θ_ɑ̃	d	1.0
θ_i	d	1.0
ˈɔː_t	ˈiː_t	1.0
ˈɑː	ˈiː	1.0
ˈɑu̯_ɣ	ˈaɪ̯	1.0
ˈɑi̯_w	ˈəʊ̯	1.0
ˈɑ_ɣ	ˈeɪ̯	1.0
ˈɑ_x	ˈaɪ̯	1.0
ˈɑ_s	ˈɛ	1.0
ˈɑ_n	ˈuː	1.0
ˈu_ŋ	ˈɐ	1.0
ˈĩː	ˈaɪ̯	1.0
ˈiː_ð	ˈaɪ̯_d	1.0
ˈiː_z	ˈiː	1.0
ˈiː	ˈaɪ̯	1.0
ˈiu̯	ˈɪ	1.0
ˈi_ŋ	ˈɪ	1.0
ˈi_j	ˈiː	1.0
ˈeː	ˈɪ	1.0
ˈeu̯_ɣ	ˈaɪ̯	1.0
ˈe_ɣ	ˈeɪ̯	1.0
ˈe_w	ˈiː	1.0
ɣ_j	ʤ	1.0
ɡʷ	ŋ	1.0
ɛː	ə	1.0
ɔ̃ː	-	1.0
ɔːː	-	1.0
ɔːu̯	-	1.0
ɔː	-	1.0
ɑ̃_#>	#>	1.0
ɑː	-	1.0
ɑi̯	ˈe_n	1.0
ɑ_ɣ	ɪ	1.0
ɑ_z_#>	#>	1.0
ɑ_n_ɑ̃_#>	#>	1.0
ɑ_l	l	1.0
ɑ	-	1.0
ŋ	ŋ	1.0
ð_ɛː	ð	1.0
ð	d	1.0
z_#>	#>	1.0
z	-	1.0
x_t	t	1.0
x_s	k_s	1.0
x_r	ɹ	1.0
x_l	l	1.0
wː	-	1.0
u_n	n	1.0
u	-	1.0
tː	t	1.0
t_s	t	1.0
t	t	1.0
sː	s	1.0
s_w	s	1.0
s_k	ʃ	1.0
s_#>	#>	1.0
r_ɔː	ə	1.0
r_ɑ̃	ə	1.0
r_ɑ	ə	1.0
r_u	ə	1.0
r_i	ə	1.0
nː	n	1.0
n_ɑ̃_#>	#>	1.0
mː	m	1.0
lː	ɫ	1.0
l_ɔː	ɫ	1.0
l_u	ɫ	1.0
k_s	k	1.0
k_i	k	1.0
jː	-	1.0
j_ɑ_z_#>	#>	1.0
j_ɑ_n_ɑ̃_#>	#>	1.0
j	-	1.0
i	-	1.0
e_r	ə	1.0
d	d	1.0
b	b	1.0
<#_ˈu	<#_ˈɐ	1.0
<#_ɣ	<#_ɡ	1.0
<#_t	<#_tʰ	1.0
<#_r	<#_ɹ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#	1.0
<#_j	<#_j	1.0
<#_d	<#_d	1.0
m	m	0.929
s	s	0.92
ɸ	f	0.9
n	n	0.818
r	ɹ	0.808
w	w	0.794
x	h	0.793
θ	θ	0.786
p	p	0.786
ˈɑi̯	ˈəʊ̯	0.733
ˈu_r	ˈɔː	0.667
xʷ	w	0.667
r_ˈi	ɹ	0.667
ˈuː	ˈaʊ̯	0.643
ˈɛː	-	0.6
ˈɑ_r	ˈɑː	0.6
ˈeu̯	ˈiː	0.571
ˈi	ˈɪ	0.565
r_#>	#>	0.556
β	v	0.538
ˈɑu̯	ˈiː	0.538
l	l	0.536
ˈɑ_l	ˈəʊ̯_ɫ	0.5
ˈɑ_l	ˈɑː	0.5
ˈe_r	ˈɔː	0.5
ˈe_r	ˈɑː	0.5
ɣ	-	0.5
ɡ	ŋ	0.5
iː	ɪ	0.5
iː	-	0.5
l	ɫ	0.464
β	f	0.462
ˈɑu̯	ˈe	0.462
r_#>	ə_#>	0.444
ˈeu̯	ˈɪ	0.429
ˈɛː	ˈiː	0.4
ˈɑ_r	ˈɔː	0.4
k	k	0.346
ˈu_r	ˈɜː	0.333
xʷ	-	0.333
r_ˈi	ɜː	0.333
k	kʰ	0.308
ˈu	ˈɐ	0.281
ˈe	ˈe	0.273
k	ʧ	0.269
ˈi	ˈaɪ̯	0.261
ˈɑ	ˈæ	0.256
ˈɔː	ˈuː	0.25
ˈɔː	ˈiː	0.25
ɣ	əʊ̯	0.25
ɣ	j	0.25
ɡ	ɡ	0.25
ɡ	-	0.25
ˈe	ˈɪ	0.227
ˈu	ˈɪ	0.219
ˈuː	ˈɐ	0.214
p	pʰ	0.214
x	-	0.207
w	-	0.206
ˈɑ	ˈeɪ̯	0.205
ˈɑ	ˈe	0.205
ˈɔː	ˈʊ	0.188
ˈɔː	ˈɐ	0.188
ˈe	ˈaɪ̯	0.182
ˈɑ	ˈɑː	0.154
θ	ð	0.143
ˈuː	-	0.143
ˈe	-	0.136
n	-	0.136
ˈɑi̯	ˈe	0.133
ˈɑi̯	-	0.133
ˈɔː	-	0.125
ˈu	ˈɒ	0.125
ˈu	ˈaʊ̯	0.125
r	-	0.115
ɸ	v	0.1
ˈu	ˈʊ	0.094
ˈu	ˈəʊ̯	0.094
ˈe	ˈɛ	0.091
ˈe	ˈiː	0.091
ˈi	ˈiː	0.087
ˈi	-	0.087
s	z	0.08
ˈɑ	ˈɒ	0.077
r	ˈɜː	0.077
k	-	0.077
θ	d	0.071
m	-	0.071
ˈu	ˈɔː	0.062
ˈɑ	ˈɔː	0.051
ˈɑ	-	0.051
