Kashubian	Proto-Slavic	probability
b	b	1.0
d	d	1.0
e	ɛ	1.0
f	v	1.0
m	m	1.0
r	r	1.0
u̯ɛ	o	1.0
v	v	1.0
w	l	1.0
x	x	1.0
z	z	1.0
ŋ	-	1.0
ɔ	o	1.0
ə	ĭ	1.0
ɲ	n_ĭ	1.0
ʂ	r	1.0
ʐ	r	1.0
ʒ	ʒ	1.0
ʣ	d	1.0
ʤ	-	1.0
ˈa	ɛ̂ː	1.0
ˈe	-	1.0
ˈi	ǐ	1.0
ˈu	ô	1.0
i	ŭ_j	0.371
ɛ	-	0.191
ɡ	ĭ_#>	0.051
ʃ	ʒ	0.981
ˈɛ	ĭ̌	0.341
k	ɡ_ŭ	0.092
k	k_ŭ	0.252
p	b_ĭ	0.052
ˈɔ	e	0.342
ˈɛ	e	0.112
a	ǎ	0.783
ˈə	i	0.313
ˈɛ	-	0.143
l	l_ĭ	0.064
s	s_ŭ	0.244
u̯ˈɛ	ô	0.314
ʧ	-	0.514
ˈɔ	ôː	0.484
ˈɛ	ê	0.404
ˈɔ	o	0.175
i	ŭ	0.586
k	k	0.656
l	l	0.936
s	s	0.756
ʦ	ʦ	0.126
ʧ	ʧ	0.486
ˈɞ	ɛː	0.256
a	a	0.217
u̯ˈɛ	ǒ	0.167
ʦ	t_ĭ	0.377
ˈə	ɨ̌	0.687
ˈɞ	ĭ̂	0.187
ˈɞ	aˀ	0.557
t	t_ŭ	0.088
t	t	0.888
ʦ	t_i	0.368
n	n	0.959
p	b_ŭ	0.189
p	p	0.759
u̯ˈɛ	o	0.519
ɛ	e	0.809
ɡ	ɡ	0.949
ʦ	t	0.129
