Alsatian	Alsatian	probability
ˈɛ	ˈeː	1.0
ˈəi̯	ˈɛɪ̯	1.0
ˈɔi̯	-	1.0
ˈœ	ˈeo̯_ɣ	1.0
ˈøi̯	ˈuː	1.0
ˈø	ˈuː	1.0
ˈæ	ˈɛ	1.0
ˈyː	ˈuː	1.0
ˈiː_ʁ	ɐ	1.0
ˈaː	-	1.0
ˈai̯	ˈøː	1.0
ʦ	t	1.0
ə_ʁ	ɐ	1.0
ŋ	ŋ	1.0
w	w	1.0
t_#>	#>	1.0
s_ə	t_n	1.0
p͡f	p	1.0
p	p	1.0
n_d̥	n	1.0
n	n	1.0
m	m	1.0
l	l	1.0
kʰ	k	1.0
i_ʃ	k	1.0
i	ɪ_ç	1.0
h	h	1.0
f_ə	b_m	1.0
f_#>	p_#>	1.0
eː	ɒː	1.0
e	ˈiː	1.0
d̥_ə	n	1.0
d̥_#>	#>	1.0
<#_ʁ	<#_r	1.0
<#_n	<#_n	1.0
f	f	0.92
ʋ	v	0.917
b̥	b	0.9
ə	n	0.8
ɡ̊	ɣ	0.75
x	x	0.714
ˈæː	-	0.667
ˈi	ˈɪ	0.667
ˈɒ	ˈa	0.615
d̥	d	0.615
ˈei̯	ˈɛɪ̯	0.6
z̥	z̥	0.6
j	-	0.6
ˈeː	-	0.571
s	z	0.56
ˈʊː	ˈaʊ̯	0.538
ʁ	r	0.538
ˈo	ˈʊ	0.5
ˈoː	ˈeo̯	0.467
s	t	0.44
ʃ	s	0.433
ˈeː	ˈɛɪ̯	0.429
k	k	0.429
ʁ	ɐ	0.41
ˈoː	ˈɒː	0.4
ˈei̯	ˈiː	0.4
z̥	z_ə	0.4
j	j	0.4
ˈɒː	ˈaː	0.375
ˈɒː	ˈa	0.375
t	d̥	0.368
t	t	0.342
ˈæː	ˈɛɪ̯	0.333
ʃ	ʃ	0.333
d̥	d̥	0.308
ˈiː	ˈɛɪ̯	0.294
ˈu	ˈʊ	0.286
x	k_ə	0.286
k	ɣ	0.286
k	-	0.286
ˈe	ˈɛ	0.273
ˈɒː	ˈɛː	0.25
ˈo	ˈɔ	0.25
ˈo	ˈoː	0.25
ɡ̊	j	0.25
ˈu	ˈʏ	0.238
ˈiː	ˈiː	0.235
ˈʊː	ˈeo̯	0.231
ˈʊː	-	0.231
t	d	0.211
ə	-	0.2
ˈu	ˈɔ	0.19
ˈe	ˈɪ	0.182
ˈe	ˈœ	0.182
ˈe	ˈeː	0.182
ˈe	-	0.182
ˈiː	ˈɪ	0.176
ˈiː	ˈɔʏ̯	0.176
ˈɒ	ˈɒː	0.154
ˈi	ˈʏ	0.148
ˈoː	-	0.133
ʃ	k	0.133
ˈiː	ˈyː	0.118
ˈɒ	ˈɔ	0.115
ˈi	-	0.111
ʃ	ç	0.1
b̥	f	0.1
ˈu	ˈœ	0.095
ˈu	ˈoː	0.095
ˈu	-	0.095
ʋ	j	0.083
f	p	0.08
t	-	0.079
ˈɒ	-	0.077
d̥	-	0.077
ˈi	ˈɛ	0.074
ʁ	-	0.051
