German	Ripuarian	probability
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_h	<#_h	1.0
<#_kʰ	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p͡f	<#_p	1.0
<#_tʰ	<#_d	1.0
<#_v	<#_ʋ	1.0
<#_z	<#_z	1.0
<#_ɡ	<#_j	1.0
<#_ʁ	<#_ʀ	1.0
<#_ʃ	<#_ʃ	1.0
<#_ʦ	<#_ʦ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈaɪ̯	<#_ˈeː	1.0
<#_ˈɛ	<#_ˈɛː	1.0
<#_ˈɪ	<#_ˈɪ	1.0
<#_ˈʊ	<#_ˈʊ	1.0
b	-	1.0
b_n	v_ə	1.0
b_ɐ	v_ɐ	1.0
b̥	v̥_#>	1.0
d	d	1.0
d̥	d̥	1.0
j	j	1.0
k	k_#>	1.0
k_n	k_ə	1.0
l_#>	l_#>	1.0
l_t	l_d̥	1.0
m	m	1.0
m_#>	m_#>	1.0
m_ə	m_#>	1.0
m_ə_n	m_ə	1.0
n_#>	ŋ_#>	1.0
n_d	ŋ	1.0
n_d̥	n_d̥	1.0
n_ə_n	n_ə	1.0
p	p	1.0
p͡f	p	1.0
s_n	s_ə	1.0
t_n	d_ə	1.0
t_ɐ	d_ɐ	1.0
v	ʋ	1.0
x_t_#>	x_#>	1.0
z_ə	s	1.0
ç	ɕ_#>	1.0
ç_t	ɕ_#>	1.0
ŋ	ŋ	1.0
ŋ_#>	ŋ_ɡ̊	1.0
ɐ_n	n	1.0
ɐ_ʦ_#>	ʦ_#>	1.0
ɡ̊	ɕ	1.0
ɪ	ɪ	1.0
ɪ_ç	ə_ɕ	1.0
ʁ	ʀ	1.0
ʁ_ə_n	ʀ_ə	1.0
ʃ_#>	ʃ_#>	1.0
ʦ	ʦ	1.0
ˈa_l	ˈa_l	1.0
ˈa_ɐ	ˈɛː_ɐ	1.0
ˈaɪ̯_#>	ˈeɪ̯_#>	1.0
ˈaʊ̯_#>	ˈaʊ̯_#>	1.0
ˈeː_#>	ˈiː_#>	1.0
ˈiː_ɐ	ˈiː_ɐ	1.0
ˈoː_n	n	1.0
ˈuː	ˈoː	1.0
ˈuː_#>	ˈoː_#>	1.0
ˈøː	ˈyː	1.0
ˈɔ_l	ˈɔ_l	1.0
ˈɔ_ɐ	ˈoː	1.0
ˈɛː	ˈiː	1.0
ˈɪ_n	ˈe_ŋ	1.0
ˈʏ	ˈœ	1.0
n	ŋ	0.071
ˈaɪ̯	ˈɛ	0.111
f_#>	p_#>	0.222
l	l	0.92
t	-	0.12
ɐ	ɐ	0.2
ˈaɪ̯	ˈeɪ̯	0.222
ˈaː	ˈa	0.222
ˈoː	ˈoː	0.222
ˈɔ	-	0.2
ˈɔ	ˈo	0.2
ˈʊ	ˈɔ	0.2
ˈa	ˈaː	0.333
ˈaɪ̯	ˈeː	0.333
ˈaɪ̯	ˈiː	0.333
ˈaː	ˈoː	0.333
ˈyː	ˈʏ	0.333
ˈɛ	ˈɛ	0.643
s	s	0.174
t	t	0.44
t	d̥_#>	0.44
x	x	0.4
ɐ	ɐ_#>	0.714
ˈa_n	ˈa_ŋ	0.4
ˈaː	ˈaː	0.444
ˈɪ	ˈe	0.524
d̥_#>	t_#>	0.25
d̥_#>	ɡ̊_#>	0.75
n	n_#>	0.405
ɡ_n	n	0.25
ɡ_n	ɣ_ə	0.375
ɡ_n	j_ə	0.375
ˈaʊ̯	ˈoː	0.125
ˈaʊ̯	ˈaʊ̯	0.375
ˈaʊ̯	ˈuː	0.5
ˈeː	ˈɛ	0.25
ˈeː	ˈeː	0.375
ˈeː	ˈɛː	0.375
ˈɔʏ̯	ˈøː	0.25
ˈɔʏ̯	ˈʏ	0.25
ˈɔʏ̯	ˈyː	0.5
ˈɪ	ˈɛ	0.095
ˈɪ	ˈeː	0.095
n	ə_#>	0.286
s	s_#>	0.826
x	x_#>	0.6
ɐ	-	0.086
ə	-	0.826
ˈa_n	ˈa_n	0.6
ˈɔ	ˈɔ	0.6
ˈɪ	ˈɪ	0.286
ə	ə	0.087
ə	ɕ	0.087
ˈa	ˈa	0.667
ˈiː	ˈeː_#>	0.167
ˈiː	ˈɪ	0.167
ˈiː	ˈeː	0.667
ˈyː	ˈøː	0.667
ˈɛ	ˈɛː	0.357
f_#>	f_#>	0.778
l	l_ə	0.08
ˈoː	ˈuː	0.778
ˈʊ	ˈo	0.8
n	n	0.19
