Pennsylvania German	Pennsylvania German	probability
ˈʊ_m	ˈɔ_m	1.0
ˈuː	ˈuː	1.0
ˈaʊ̯	ˈaʊ̯	1.0
ʦ	ʦ	1.0
ʋ_ə	b_n	1.0
ʋ	v	1.0
ʃ_t	s_t	1.0
ʃ	ʃ	1.0
ɾ_ɪ	ɐ	1.0
ɾ_ə	ɐ	1.0
ɾ	ʁ	1.0
ɣ	ɡ	1.0
ɡ̊	ɡ̊	1.0
ɡ	ɡ	1.0
ɑ_d̥	ɐ_t	1.0
ɑ	ɐ	1.0
ŋ	ŋ	1.0
x	x	1.0
t	t	1.0
s_ə	s_n	1.0
p	-	1.0
n_ˈɔː	n_ˈaː	1.0
n_ʃ	n_ʃ	1.0
m	m	1.0
l	l	1.0
h	h	1.0
f	f	1.0
eː	eː	1.0
d_ə	t_n	1.0
d_ɑ	t_ɐ	1.0
b	b	1.0
#>	n_#>	1.0
n	n	0.938
ç	ç	0.889
ˈʊ	ˈʊ	0.867
ˈa	ˈa	0.853
ˈɔ	ˈɔ	0.833
b̥	b̥	0.75
ˈɛ	ˈɛ	0.737
ˈɪ	ˈɪ	0.727
ɪ	ɪ	0.714
ˈiː	ˈiː	0.688
ˈoː	ˈoː	0.667
ˈaɪ̯	ˈaɪ̯	0.652
j	ɡ	0.6
ə	n	0.538
d̥	d̥	0.531
d	d	0.528
ˈɔː	ˈaː	0.526
s	z	0.511
ˈeː	ˈaɪ̯	0.5
k	kʰ	0.5
k	k	0.5
d	tʰ	0.472
d̥	t	0.469
ˈɛː	ˈɛ	0.455
j	j	0.4
ˈɛː	ˈɛː	0.364
ˈaɪ̯	ˈɔʏ̯	0.348
ˈoː	ˈaː	0.333
ˈaː	ˈʊ	0.333
ˈaː	ˈɔ_ɐ	0.333
ˈaː	ˈa_ɐ	0.333
ə	ə	0.333
s	s	0.333
ˈɔː	ˈaʊ̯	0.316
ˈiː	ˈyː	0.312
ˈeː	ˈeː	0.286
ɪ	-	0.286
b̥	-	0.25
ˈɪ	ˈʏ	0.212
ˈɛː	-	0.182
ˈɔ	-	0.167
ˈɛ	ˈeː	0.158
ˈɔː	ˈa	0.158
s	z̥	0.156
ˈeː	ˈøː	0.143
ˈʊ	ˈɔ	0.133
ç	-	0.111
ˈɛ	ˈœ	0.105
ˈa	ˈaː	0.088
ˈeː	-	0.071
n	n_d	0.062
ˈɪ	-	0.061
ˈa	ˈɔ_ɐ	0.059
ə	d_n	0.051
ə	-	0.051
