Old English	American English	probability
a	-	1.0
b	b	0.99
bː	v	1.0
d	d	0.875
d	ð	0.101
dː	d	1.0
e	ɚ	0.466
e	ˈaɪ̯	0.402
e	-	0.087
eo̯	ˈɛ	1.0
f	f	0.956
h	h	1.0
i	-	0.496
i	i	0.476
iː	i	1.0
iːy̯	i	1.0
j	j	0.691
j	-	0.309
k	k	0.679
k	kʰ	0.286
kː	k	1.0
l	l	0.667
l	ɫ	0.325
lː	ɫ	1.0
l̥	l	1.0
m	m	0.978
mː	m	1.0
n	n	0.957
nː	n	1.0
o	ɚ	0.781
o	-	0.118
o	ə	0.08
p	p	0.817
p	pʰ	0.183
pː	p	1.0
r	ɹ	0.58
r	ɚ	0.255
r	-	0.165
rː	ɹ	1.0
r̥	ɹ	1.0
s	s	1.0
t	t	0.69
t	tʰ	0.195
t	ɾ	0.068
tː	t	1.0
u	oʊ̯	1.0
v	v	0.857
v	-	0.143
w	w	0.842
w	-	0.102
w	ˈɔ	0.056
x	-	0.69
x	f	0.31
z	z	1.0
ç	-	1.0
ð	ð	0.796
ð	θ	0.204
ŋ	ŋ	1.0
ɑ	-	0.966
ɡ	ɡ	0.891
ɡ	-	0.109
ɣ	-	0.845
ɣ	f	0.111
ɫ	ɫ	0.809
ɫ	-	0.191
ʃ	ʃ	1.0
ʃː	ʃ	1.0
ʍ	w	1.0
ʤ	ʤ	1.0
ʤː	-	1.0
ʧ	ʧ	0.685
ʧ	kʰ	0.163
ʧ	k	0.152
ʧː	ʧ	1.0
ˈe	ˈɛ	0.64
ˈe	ˈi	0.173
ˈe	ə	0.154
ˈeo̯	ˈɔ	0.313
ˈeo̯	ˈɑ	0.313
ˈeo̯	ˈɛ	0.127
ˈeo̯	ˈæ	0.12
ˈeo̯	ˈɪ	0.071
ˈeo̯	ˈɝ	0.056
ˈeː	ˈi	0.596
ˈeː	ˈɛ	0.222
ˈeː	ˈu	0.181
ˈeːo̯	ˈi	0.481
ˈeːo̯	ˈaɪ̯	0.152
ˈeːo̯	ˈɛ	0.129
ˈeːo̯	ˈɪ	0.068
ˈeːo̯	-	0.065
ˈeːo̯	ˈu	0.054
ˈeːo̯	ˈɝ	0.051
ˈi	ˈɪ	0.63
ˈi	ˈaɪ̯	0.279
ˈi	ˈɝ	0.063
ˈiy̯	ˈi	0.5
ˈiy̯	ˈæ	0.5
ˈiː	ˈaɪ̯	0.785
ˈiː	ˈɪ	0.14
ˈiː	ˈi	0.076
ˈiːy̯	ˈi	0.815
ˈiːy̯	ˈɛ	0.158
ˈo	ˈɔ	0.654
ˈo	ˈoʊ̯	0.145
ˈo	ˈɑ	0.104
ˈo	ˈɝ	0.061
ˈoː	ˈʌ	0.439
ˈoː	ˈu	0.396
ˈoː	ˈʊ	0.164
ˈu	ˈʌ	0.818
ˈu	ˈaʊ̯	0.119
ˈu	ˈʊ	0.063
ˈuː	ˈaʊ̯	0.769
ˈuː	ˈʌ	0.231
ˈy	ˈɪ	0.656
ˈy	-	0.151
ˈy	ˈɝ	0.151
ˈyː	ˈaɪ̯	0.734
ˈyː	ˈɪ	0.266
ˈæ	ˈæ	0.457
ˈæ	ˈeɪ̯	0.411
ˈæ	ˈɑ	0.097
ˈæɑ̯	ˈɑ	0.469
ˈæɑ̯	ˈɔ	0.269
ˈæɑ̯	ˈoʊ̯	0.133
ˈæɑ̯	ˈæ	0.085
ˈæː	ˈɛ	0.568
ˈæː	ˈi	0.42
ˈæːɑ̯	ˈi	0.557
ˈæːɑ̯	ˈɛ	0.23
ˈæːɑ̯	ˈeɪ̯	0.123
ˈæːɑ̯	ˈaɪ̯	0.089
ˈɑ	ˈæ	0.548
ˈɑ	ˈeɪ̯	0.269
ˈɑ	ˈɑ	0.123
ˈɑ	ˈɛ	0.06
ˈɑː	ˈoʊ̯	0.805
ˈɑː	ˈu	0.085
ˈɑː	ˈʌ	0.056
ˈɑː	ˈɑ	0.054
ˈɛ	ˈɛ	1.0
θ	θ	0.922
θ	d	0.061
