Western Lombard	Western Lombard	probability
ˈɑː_t	ˈa_t	1.0
ˈɑː_n	ˈa_ŋ	1.0
ˈɑː	ˈa	1.0
ˈœ	w_ˈe	1.0
ˈøː_l	ʎ	1.0
ˈy	-	1.0
ˈoː	ˈa_w	1.0
ˈo	w	1.0
ˈẽ_t	ˈe_n	1.0
ˈẽ	ˈe_ŋ	1.0
ˈa_#>	ˈa_#>	1.0
ʃ	t	1.0
ɲ	ɲ	1.0
ɛ	-	1.0
z	-	1.0
u_l	l	1.0
s_#>	#>	1.0
r_t	r_t	1.0
r_n_#>	r_#>	1.0
p_#>	s_#>	1.0
p	p	1.0
o	-	1.0
n_ˈøː	n_ˈa	1.0
n_a	ɔ	1.0
k_r	k_ɾ	1.0
k	k	1.0
f	h	1.0
ẽ	ˈe_ŋ	1.0
d_e	j	1.0
ã	-	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_r	<#_a_r	1.0
<#_l	<#_l	1.0
<#_ĩ	<#	1.0
<#_a	<#_a	1.0
<#	<#_a	1.0
m	m	0.871
k_#>	k_#>	0.846
ˈiː	ˈi	0.833
n	n	0.833
r_#>	#>	0.818
ˈa	ˈa	0.8
b	b	0.789
ˈyː	ˈy	0.765
a	ɔ	0.765
f_#>	w_#>	0.75
ˈu	ˈu	0.727
e	e	0.722
t	t	0.714
ˈuː	ˈu	0.667
ˈeː	ˈe	0.667
ˈã	ˈa_ŋ	0.667
u	u	0.667
e_r	e	0.667
ˈũ	ˈu_ŋ	0.625
ˈi_#>	ˈi_#>	0.625
s	s	0.623
ˈĩ	ˈi_ŋ	0.6
ʒ	ʒ	0.6
y	u	0.6
w	w	0.6
t_#>	n_#>	0.6
ˈøː	ˈɔ	0.571
ʧ	s	0.562
v	b	0.552
r	ɾ	0.543
l	l	0.533
ˈɛ	ˈɛ	0.531
ɡ	ɣ	0.529
d	d	0.519
ˈɔ	ˈɔ	0.5
ˈe	ˈɛ	0.5
ˈe	ˈe	0.5
ʧ_#>	t_#>	0.5
ʧ_#>	#>	0.5
j	l	0.5
i	e	0.5
i	-	0.5
ɡ	ɡ	0.471
l_#>	t_#>	0.45
ˈøː	w_ˈe	0.429
ʤ	ʒ	0.429
ˈĩ	ˈi	0.4
y	y	0.4
w	-	0.4
t_#>	#>	0.4
ˈũ	ˈu	0.375
ˈi_#>	#>	0.375
r	r	0.371
d	ð	0.37
l_#>	w_#>	0.35
v	β	0.345
ˈuː	-	0.333
ˈi	ˈy	0.333
ˈi	ˈi_z	0.333
ˈi	ˈi	0.333
ˈã	ˈa	0.333
u	a_w	0.333
l	w	0.333
e_r	ɾ_e	0.333
ʧ	ʎ	0.312
#>	ɔ_#>	0.312
#>	e_#>	0.312
ʤ	ɡ_l	0.286
ʤ	-	0.286
j	ʎ	0.278
ˈu	-	0.273
ˈɛ	ˈe	0.25
f_#>	#>	0.25
#>	s_#>	0.25
ˈyː	-	0.235
ˈeː	ˈɛ	0.222
b	β	0.211
a	a	0.206
ˈa	ˈɛ_j	0.2
ʒ	z	0.2
ʒ	-	0.2
l_#>	#>	0.2
r_#>	e_#>	0.182
ˈɔ	ˈu	0.167
ˈiː	-	0.167
n	-	0.167
e	-	0.167
ˈɛ	ˈe_j	0.156
k_#>	#>	0.154
s	ʦ	0.148
l	-	0.133
s	e_s	0.131
m	-	0.129
ʧ	k_l	0.125
#>	t_#>	0.125
ˈɔ	ˈa_w	0.111
ˈɔ	ˈa	0.111
ˈɔ	w	0.111
ˈeː	ɾ	0.111
j	ˈi	0.111
j	j	0.111
e	nː	0.111
d	ʤ	0.111
t	n_t	0.107
t	j_t	0.107
v	-	0.103
s	ʃ	0.098
r	-	0.086
t	-	0.071
ˈɛ	e	0.062
