West Flemish	Dutch	probability
b	b	0.962
d	d	0.983
d̥	d̥	0.93
d̥	-	0.07
h	χ	1.0
iə̯	i	1.0
j	j	0.762
j	ˈɛi̯	0.238
k	k	0.972
l	ɫ	1.0
m	m	0.969
n	n	0.994
p	p	1.0
s	s	0.971
t	t	1.0
v	v	0.969
v̥	v̥	0.967
w	ɫ	0.953
z	z	0.912
z̥	z̥	1.0
ç	χ	1.0
ŋ	ŋ	1.0
ə	ə	0.98
ɦ	χ	0.905
ɦ	j	0.062
ɦ̥	χ	0.931
ɦ̥	-	0.069
ɪ	ɪ	1.0
ɾ	ɾ	0.985
ʃ	s	1.0
ʋ	ʋ	0.904
ʋ	w	0.057
ˈeː	ˈeː	1.0
ˈi	ˈɛi̯	1.0
ˈiə̯	ˈi	0.735
ˈiə̯	ˈɪ	0.104
ˈiə̯	ˈyː	0.093
ˈoː	ˈoː	0.844
ˈoː	ɦ_ˈoː	0.101
ˈu	ˈɔ	0.324
ˈu	ˈɑu̯	0.305
ˈu	ɦ_ˈɔ	0.268
ˈu	ˈœy̯	0.103
ˈuə̯	ˈu	1.0
ˈyː	ˈœy̯	0.755
ˈyː	ˈyː	0.134
ˈyː	ˈɛi̯	0.111
ˈæ	ˈɛ	0.925
ˈæ	ˈɑ	0.075
ˈøː	ˈoː	0.859
ˈøː	ˈøː	0.141
ˈœ	ˈʏ	0.465
ˈœ	ˈɔ	0.342
ˈœ	ˈɪ	0.11
ˈœ	ˈɛi̯	0.084
ˈɑ	ˈɑ	0.93
ˈɑ	ɦ_ˈɑ	0.07
ˈɒː	ˈaː	0.74
ˈɒː	ɦ_ˈaː	0.155
ˈɒː	ˈɑ	0.105
ˈɔ	ˈɔ	0.847
ˈɔ	ˈɑ	0.086
ˈɔ	ˈaː	0.067
ˈɛ	ˈɪ	0.52
ˈɛ	ˈɛ	0.393
ˈɛ	ˈɛi̯	0.087
ˈɛː	ˈeː	0.708
ˈɛː	ˈaː	0.143
ˈɛː	ˈɛi̯	0.089
ˈɛː	ˈoː	0.06
ˈɪ	ˈɪ	0.788
ˈɪ	ˈɛ	0.09
ˈɪ	ˈʏ	0.079
