Polish	Standard Serbian	probability
ʦ	ʦ	1.0
ʥ	d	1.0
ʑ	z	1.0
ʂ	-	1.0
ɡ̊	ɡ	1.0
ɛ_ɲ	eː	1.0
ɛ_r	r̩	1.0
ɕ	s	1.0
ɔ_w̃	uː	1.0
ɔ_m	uː	1.0
ŋ	-	1.0
z̥	z	1.0
z	z	1.0
x	x	1.0
w̃	-	1.0
w_ɔ	l_aː	1.0
w_a	l_a	1.0
v_j	ʋ	1.0
v_a	ʋ_a	1.0
t_ɔ	t_o	1.0
t_a	t_a	1.0
t	t	1.0
s	s	1.0
r_ɨ	a_r	1.0
r	r	1.0
p	p	1.0
n_ɨ	a_n	1.0
m_j	m	1.0
m	m	1.0
k_i	a_k	1.0
j_a	e_̂	1.0
f	ʋ	1.0
d_w	l	1.0
d	d	1.0
b	b	1.0
a_r	r̩ː	1.0
v	ʋ	0.955
k	k	0.937
ɡ	ɡ	0.933
n	n	0.887
a	a	0.706
ʐ̊	r	0.639
ʐ	r	0.631
l	l	0.628
ʈ͡ʂ	ʧ	0.614
i	i_̂	0.605
ɲ	n	0.585
j_ɛ	a	0.569
w	l	0.531
ʨ	t_i	0.504
j	eː_̂	0.5
j	eː	0.5
ʨ	t	0.496
ɔ	o	0.486
w	-	0.469
ɨ	iː	0.463
j_ɛ	eː_̂	0.431
i	-	0.395
ʈ͡ʂ	-	0.386
ʐ	ʒ	0.369
ʐ̊	-	0.361
ɛ	e	0.336
ɨ	i_̂	0.288
u	uː	0.274
ɲ	-	0.251
l	ʎ	0.24
u	o	0.18
u	oː	0.175
ɲ	ɲ	0.164
ɔ	e	0.153
ɨ	i	0.139
l	uː	0.132
ɛ	eː	0.115
ɛ	a	0.115
n	-	0.113
ɛ	-	0.112
u	eː	0.112
ɨ	iː_̌	0.111
a	aː	0.102
a	-	0.102
ɔ	uː	0.1
u	u	0.099
ɔ	-	0.097
u	-	0.097
ɛ	a_̂	0.086
ɔ	oː	0.084
ɡ	-	0.067
ɛ	i	0.067
u	aː	0.063
k	ʦ	0.063
ɛ	eː_̌	0.062
ɛ	eː_̂	0.057
a	e	0.052
