Alsatian	Gothic	probability
ˈɛ	ˈa	1.0
ˈəi̯	ˈɛː	1.0
ˈɔi̯	n_oː	1.0
ˈɒː	ˈa	1.0
ˈɒ	ˈa	1.0
ˈøi̯	ˈuː	1.0
ˈø	ˈu	1.0
ˈæː	-	1.0
ˈæ	ˈi	1.0
ˈyː	ˈuː	1.0
ˈeː_ʁ	s	1.0
ʦ	t	1.0
ʃ_t	s_t	1.0
ʁ_n	r_n	1.0
ɡ̊	-	1.0
ə_ʁ	r_u	1.0
x	h	1.0
w	w	1.0
n_d̥	n	1.0
m	m	1.0
k	-	1.0
h	h	1.0
e	m	1.0
d̥_ə	θ_a	1.0
b̥	b	1.0
l	l	0.943
ˈi	ˈi	0.86
ʁ	r	0.828
d̥	d	0.803
f	f	0.781
ˈʊː	ˈoː	0.736
ʋ	w	0.722
n	n	0.722
ˈeː	ˈɔː	0.701
s	t	0.684
ə	a	0.638
ˈo	ˈɔ	0.603
ˈu	ˈu	0.573
i	u	0.553
ˈoː	ˈeː	0.536
ŋ	ŋ_ɡ	0.516
i	-	0.447
ˈe	ˈa	0.432
ˈiː	-	0.412
j	ɣ	0.41
ˈe	-	0.407
ʃ	s_k	0.405
ˈo	ˈu	0.397
j	ɡ	0.388
t	d	0.381
ˈoː	ˈɔː	0.347
ʃ	s	0.342
ˈei̯	ˈɛː	0.333
ˈei̯	ˈiː_s	0.333
ˈei̯	ˈiu̯	0.333
s	s	0.316
ˈiː	ˈiː	0.315
ˈeː	ˈɛː_w	0.299
ˈiː	ˈiu̯	0.273
ŋ	ŋ	0.269
ˈʊː	-	0.264
ʃ	k	0.253
ˈu	-	0.24
t	t	0.234
f	p	0.219
ŋ	-	0.215
t	θ	0.214
j	j	0.202
ə	-	0.201
d̥	θ	0.197
ˈu	ˈɔ	0.186
ʋ	-	0.176
t	θ_s	0.171
ˈe	ˈi	0.161
n	nː	0.14
ʁ	s	0.125
ˈoː	ˈɔ	0.117
ˈi	ˈiː	0.117
ə	oː	0.105
ʋ	ʍ	0.102
n	-	0.102
l	lː	0.057
ə	j_a	0.056
