Mainland North Frisian	Bokmål Norwegian	probability
ˈɛi̯	-	1.0
ˈɒ	ˈɑ	1.0
ˈœi̯	-	1.0
ˈœ_dʲ	ˈuː	1.0
ˈyː_dʲ	ˈøː	1.0
ˈu	ˈɪ	1.0
ˈai̯	-	1.0
ʀ_n	ɳ	1.0
ʀ_d̥	ˈuː_ɾ	1.0
ɣ̥	j	1.0
ɛi̯	ə	1.0
ç	-	1.0
z̥	nː	1.0
z_ə	s_ə	1.0
z	t	1.0
x_t	tː	1.0
x	k	1.0
w	ʋ	1.0
lʲ	-	1.0
j_ə	ɡ_ə	1.0
b	b	1.0
ʀ	ɾ	0.93
f	f	0.927
s	s	0.9
h	h	0.842
v	ʋ	0.832
l	l	0.831
ˈɛː	-	0.775
tʲ	t	0.75
ə	ə	0.732
ˈɔu̯	ˈoː	0.726
ɡ	ɡ	0.726
p	p	0.716
d	d	0.707
ʃ	s_k	0.669
ʀ_t	ʈː	0.648
ˈɛ	-	0.634
l_ə	lː	0.615
m	m	0.608
ˈɔ	ˈuː	0.6
nʲ	nː	0.6
ˈaː	-	0.577
n	n	0.566
ŋ	ŋː	0.557
ˈa	-	0.544
ˈɒː	-	0.54
j	-	0.536
i	ɪ	0.531
ˈʊ	ˈʉ	0.528
ˈœː	-	0.506
ˈœː	ˈʉː	0.494
i	i	0.469
ˈɒː	ˈɑː	0.46
ˈi	ˈiː	0.46
ˈʏ	ˈʉː	0.443
ŋ	-	0.443
t	t	0.437
k	k	0.433
ˈaː	ˈœ	0.423
ˈeː	-	0.413
t	tʰ	0.407
ˈɔ	ˈɔ	0.4
nʲ	n	0.4
k	kʰ	0.399
ˈɔː	-	0.388
l_ə	l_ʋ	0.385
ˈɛ	ˈøː	0.366
ʀ_t	ʈ	0.352
ˈœ	ˈɑ	0.349
ˈeː	ˈɛ	0.349
n	nː	0.338
ʃ	ʂ	0.331
m	mː	0.31
d	-	0.293
ˈi	ˈɪ	0.286
ˈuː	ˈoː	0.276
ˈuː	ˈɑ	0.275
ˈɔu̯	ˈuː	0.274
ɡ	j	0.274
ˈɔː	ˈɑ	0.273
j	ɡ	0.268
ˈiː	ˈyː	0.256
ˈi	-	0.255
tʲ	tː_ə	0.25
ˈiː	ˈæɪ̯	0.238
ˈeː	ˈʏ	0.238
ˈœ	ˈuː	0.236
ə	-	0.231
ˈɛː	ˈeː	0.225
ˈuː	-	0.225
ˈuː	ˈøː	0.224
ˈʊ	-	0.208
ˈʏ	ˈʉ	0.207
ˈœ	ˈʊ	0.207
ˈœ	-	0.207
ˈʏ	-	0.202
j	d	0.196
ˈʊ	ˈɑ	0.175
ˈɔː	ˈʉː	0.173
l	lː	0.169
v	-	0.168
ˈɔː	ˈuː	0.165
ˈa	ˈɛ	0.164
h	j	0.158
ˈʏ	ˈœ	0.149
ˈiː	ˈɛ	0.145
p	pː	0.143
ˈiː	-	0.141
p	pʰ	0.14
ˈa	ˈeː	0.13
t	tː	0.116
ˈiː	ˈøː	0.114
ˈa	ˈɪ	0.104
k	kː	0.091
ˈʊ	ˈʏ	0.09
ˈiː	ˈeː	0.082
m	-	0.082
k	-	0.077
f	-	0.073
s	ʂ	0.065
ˈa	ˈɔ	0.059
n	nː_ə	0.053
