Logudorese	Franco-Provençal	probability
a	a	0.639
a	ə	0.189
a	-	0.097
ă	-	1.0
b	v	0.579
b	b	0.194
b	k	0.077
b	-	0.054
bː	ɡ	0.8
bː	v	0.107
bː	b	0.093
d	d	0.739
d	ʒ	0.145
d	-	0.116
e	-	0.652
e	ə	0.172
e	o	0.11
ĕ	ˈeː	1.0
f	f	1.0
i	-	0.643
i	e	0.154
i	ɛ	0.065
i	ə	0.063
j	j	0.415
j	ʒ	0.317
j	i	0.092
j	ʃ	0.091
j	-	0.086
k	ʃ	0.326
k	k	0.224
k	-	0.194
k	s	0.181
l	l	0.796
l	-	0.14
l	w	0.063
lː	l	1.0
m	m	0.612
m	-	0.279
m	ĩ	0.084
mː	m	1.0
n	n	0.481
n	-	0.445
nː	m	0.573
nː	-	0.293
nː	ˈɑ̃	0.084
nː	d	0.051
o	-	0.307
o	ɔ	0.26
o	ˈɛ	0.193
o	o	0.12
o	u	0.091
ŏ	o	1.0
p	p	0.879
p	-	0.121
r	ʁ	0.39
r	-	0.328
r	ð	0.182
r	l	0.052
rː	ʁ	0.656
rː	-	0.181
rː	ð	0.162
s	s	0.702
s	-	0.27
sː	s	0.537
sː	-	0.36
sː	d	0.103
t	t	0.564
t	-	0.427
tː	-	1.0
u	-	0.838
u	o	0.083
u	ʎ	0.055
ŭ	o	1.0
v	b	1.0
w	-	1.0
z	-	0.71
z	ʃ	0.264
ð	-	0.623
ð	ð	0.253
ð	j	0.096
ŋ	ɛ̃	0.477
ŋ	-	0.396
ŋ	ˈɛ̃	0.086
ɖ	-	0.596
ɖ	ʒ	0.404
ɖː	l	0.991
ɡ	ð	0.42
ɡ	-	0.231
ɡ	s	0.18
ɡ	ɡ	0.082
ɡ	ʃ	0.054
ɣ	-	0.502
ɣ	z	0.188
ɣ	ʃ	0.159
ɣ	s	0.094
ɲː	n	1.0
ʃː	j	1.0
ʣ	ʎ	0.702
ʣ	ɲ	0.203
ʣ	-	0.094
ʦ	s	0.6
ʦ	ʦ	0.256
ʦ	-	0.144
ˈa	ˈa	0.328
ˈa	ˈɑ̃	0.223
ˈa	ˈɛ	0.121
ˈa	ˈɔ	0.118
ˈa	-	0.073
ˈa	j	0.055
ˈe	ˈɛ	0.353
ˈe	ˈɛ̃	0.259
ˈe	ˈi	0.137
ˈe	ˈeː	0.088
ˈi	ˈi	0.25
ˈi	ˈeː	0.224
ˈi	ˈĩ	0.151
ˈi	ˈe	0.101
ˈi	ˈɛ	0.095
ˈi	-	0.092
ˈo	ˈɔ̃	0.21
ˈo	ˈoː	0.185
ˈo	ˈo	0.144
ˈo	ˈɔ	0.114
ˈo	w	0.108
ˈo	ˈø	0.106
ˈo	ˈu	0.075
ˈu	ˈɔ̃	0.23
ˈu	ˈu	0.22
ˈu	ˈo	0.144
ˈu	w	0.14
ˈu	ˈoː	0.1
ˈu	-	0.069
β	v	0.722
β	-	0.179
β	l	0.075
