Friulian	Ligurian	probability
b	b	1.0
c	k	1.0
p	p	1.0
u	u	1.0
z	ʒ	1.0
ŋ	ŋ	1.0
ɡ	ɡ	1.0
ʤ	z	1.0
ˈaː	ˈaː	1.0
ˈe	ˈe	1.0
ˈeː	ˈe_j	1.0
ˈoː	ˈuː	1.0
ˈu	ˈy	1.0
ˈɔ	ˈø	1.0
d	t	0.061
i	e	0.351
n	n	0.351
s	ʃ	0.121
v	-	0.11
ˈɛ	ˈe	0.251
r	u_#>	0.052
r	-	0.212
ɲ	n	0.382
i	u	0.293
k	k_u	0.083
k	ɡ_u	0.123
l	ʤ	0.123
m	m	0.983
s	-	0.053
s	ʒ_e	0.073
t	t_u	0.243
ˈiː	ˈiː	0.483
ˈuː	ˈøː	0.683
e	e	0.124
f	v_e	0.094
j	-	0.634
k	k	0.794
l	l	0.444
o	w	0.524
t	d	0.054
ʧ	-	0.14
a	-	0.125
e	a	0.845
s	s	0.615
t	t	0.545
w	-	0.455
ˈi	ˈe	0.115
a	j	0.166
j	ʤ	0.366
l	l_u	0.246
o	u	0.476
ɲ	ɲ_u	0.36
ʧ	s	0.86
ˈa	ˈa	0.816
ˈi	ˈi	0.696
ˈo	ˈuː	0.136
ˈo	ˈu	0.776
i	ˈɛː	0.057
n	ŋ	0.647
s	s_u	0.137
w	w	0.487
ˈa	ˈaː	0.147
ˈiː	ˈeː	0.517
ˈuː	ˈyː	0.317
d	d	0.648
i	i	0.298
l	-	0.188
t	t_e	0.148
w	u	0.058
ɲ	ɲ	0.258
ˈo	w	0.088
a	a	0.709
d	-	0.29
f	f	0.869
r	r	0.69
v	v	0.89
ˈi	ˈiː	0.189
ˈɛ	ˈeː	0.749
