Franco-Provençal	Franco-Provençal	probability
ˈɑː	ˈa	1.0
ˈĩ	ˈi	1.0
ˈi	e̯ˈa	1.0
ˈaː_ð	ˈa_t	1.0
ˈa_#>	k_#>	1.0
ʒ	-	1.0
ɲ	ɲ	1.0
ɔ̃	t_i	1.0
ɔ	o̯ˈa	1.0
z	ʃ_k	1.0
u	u	1.0
n	n	1.0
m	m	1.0
l_#>	r_#>	1.0
k	k	1.0
i	-	1.0
e	-	1.0
d	d	1.0
b	b	1.0
a_#>	#>	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_f	<#	1.0
<#_b	<#_b	1.0
<#	<#_w	1.0
ʁ	r	0.931
<#_l	<#_l	0.818
ʎ	ʎ	0.8
j	-	0.8
ˈa	ˈa	0.75
t	t	0.75
v	v	0.727
a	ə	0.722
ɡ	ɡ	0.714
o	u	0.714
ʃ	k	0.692
ˈɛ̃	ˈi_n	0.667
ˈo	ˈo	0.667
p	p	0.667
ˈɑ̃	ˈɔ_n	0.6
l	l	0.583
ð	r	0.571
ə	ə	0.538
#>	i_#>	0.538
ˈɔ̃	ˈu_ŋ	0.5
ˈɔ̃	ˈu_n	0.5
ˈø	ˈu	0.5
ˈø	-	0.5
ˈu	ˈo	0.5
ˈu	-	0.5
s	s	0.5
f	f	0.5
w	ˈu	0.417
w	ˈo	0.417
ˈɑ̃	-	0.4
ˈe	-	0.381
ˈɛ̃	ˈi	0.333
ˈɛ	ˈa	0.333
ˈɛ	e̯ˈa	0.333
ˈɛ	-	0.333
ˈoː	ˈo_s	0.333
ˈoː	ˈa_l	0.333
ˈoː	o̯ˈa	0.333
ˈo	-	0.333
ˈe	ˈa	0.333
s	ʦ	0.312
ʃ	-	0.308
ə	i	0.308
ˈɛː	ˈe	0.286
ˈɛː	ˈa	0.286
ˈɛː	-	0.286
ɡ	m	0.286
ð	ʒ	0.286
o	-	0.286
a	-	0.278
v	p	0.273
ˈa	ˈɔ	0.25
t	ʦ	0.25
l	r	0.25
f	ˈi	0.25
f	w_ə	0.25
p	-	0.222
ʎ	u	0.2
j	ˈa	0.2
ˈe	ˈe	0.19
s	ʃ	0.188
<#_l	<#	0.182
#>	ə_#>	0.179
w	-	0.167
l	-	0.167
ə	-	0.154
ˈɛː	i	0.143
ð	ʤ	0.143
#>	u_#>	0.128
p	kʲ	0.111
ˈe	ˈo	0.095
#>	p_#>	0.077
#>	k_#>	0.077
ʁ	-	0.069
