Franco-Provençal	Franco-Provençal	probability
ˈy	p_r	1.0
ˈu	ˈu	1.0
ˈi_#>	ˈi_#>	1.0
ˈaː	ˈa	1.0
ˈa_#>	ˈa_#>	1.0
ʦ	ʦː	1.0
ʒ	-	1.0
ɛ̃	i	1.0
ɛ	-	1.0
ə_n	ə_n	1.0
ə	ə	1.0
ɔ̃	-	1.0
ɔ	o	1.0
ɑ̃	a_n	1.0
ɑː	a_s	1.0
y	-	1.0
w_ˈɛː	ˈu	1.0
u	u	1.0
t_ʁ	tː	1.0
p_l	k_j	1.0
p	p	1.0
n_a	n_ə	1.0
j_ˈe	ˈa	1.0
f_l	ʃ	1.0
<#_ʒ	<#_j	1.0
<#_ʁ	<#_r	1.0
<#_w	<#_ˈɔ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#_a	1.0
#>	ə_#>	1.0
m	m	0.864
f	f	0.857
k	k	0.85
d	d	0.833
ˈi	ˈi	0.8
ˈa	ˈa	0.75
ɡ	ɡ	0.75
ˈoː	ˈɔ	0.692
o	ə	0.688
ɲ	ɲː	0.667
z	-	0.667
n	n	0.667
i	ə	0.667
v	v	0.654
ˈɑ̃	ˈa_n	0.6
ʁ	ɾ	0.596
ʃ	k	0.577
e	ʃ	0.571
a	ə	0.571
ˈɑː	ˈa_ɾ	0.5
ˈɑː	ˈa	0.5
ˈo	ˈu	0.5
ˈĩ	ˈi_ŋ	0.5
ˈĩ	ˈi_n	0.5
<#	<#_l	0.5
<#	<#_a	0.5
s	s	0.483
ˈɛː	ˈe	0.474
t	t	0.471
ˈɛ̃	ˈɛ_n	0.455
l	lː	0.455
l	l	0.455
j	-	0.455
ˈø	ˈɔ	0.444
ˈɔ	w_ˈɔ	0.429
e	-	0.429
ˈɔ̃	ˈu_n	0.4
ˈɑ̃	ˈa	0.4
b	v	0.385
w	w	0.381
ð	ɾ	0.35
ˈø	ˈɛ	0.333
ʎ	ʎː	0.333
ʎ	kː_j	0.333
ɲ	ɲ	0.333
z	z	0.333
n	ə_n	0.333
i	-	0.333
j	j	0.318
ˈɛ	ˈɛ	0.312
b	b	0.308
ˈɔ	ˈɔ	0.286
ˈɔ	ˈo	0.286
w	ˈu	0.286
s	ʃ	0.276
ˈɛ̃	ɲː	0.273
ˈɛ̃	n	0.273
ˈɛː	-	0.263
a	a	0.257
ˈo	ˈɔ	0.25
ˈo	ˈu_j	0.25
ɡ	-	0.25
ð	ʤ	0.25
w	ˈo	0.238
ˈø	-	0.222
ˈe	ˈɛ	0.219
ˈɔ̃	ˈɔ_n	0.2
ˈɔ̃	ˈo_n	0.2
ˈɔ̃	ˈo	0.2
ˈi	-	0.2
ð	-	0.2
ʁ	r	0.192
ˈɛ	ˈi	0.188
ˈɛ	ˈe	0.188
ˈɛ	ə	0.188
ˈe	j_ˈɛ	0.188
o	u	0.188
t	s_t	0.176
ʎ	ʎː_ə	0.167
ʎ	j	0.167
d	-	0.167
ˈɛː	ˈa	0.158
ˈe	ˈi	0.156
ˈe	ˈa	0.156
ˈoː	ˈu	0.154
ˈoː	ˈa_w	0.154
v	p	0.154
b	bː	0.154
b	b_w	0.154
k	k_w	0.15
s	ʃː	0.138
m	mː	0.136
j	ɾ	0.136
ˈɛ	-	0.125
ˈe	ə	0.125
ˈa	ˈɔ_k	0.125
ˈa	ˈa_tː	0.125
o	-	0.125
t	tː	0.118
t	kː	0.118
t	-	0.118
ʃ	ʃ_ə	0.115
v	-	0.115
ˈɛː	ˈi	0.105
s	-	0.103
ð	t_ɾ	0.1
ð	t	0.1
w	-	0.095
f	v_ə	0.095
ˈe	-	0.094
l	u_l	0.091
j	ʃː	0.091
ʃ	ʃ	0.077
ʃ	ə	0.077
ʃ	kː	0.077
ʃ	j_ə	0.077
ʁ	ə_ɾ	0.077
ʁ	-	0.077
v	v_j	0.077
ˈe	ˈɔ_k	0.062
ʁ	ɾ_t	0.058
a	ˈa	0.057
a	w_ə	0.057
a	t_ə	0.057
