Bokmål Norwegian	Swiss German	probability
b	b̥	1.0
f	f	1.0
h	h	1.0
i	i	1.0
k	χ	1.0
kʰ	χ	1.0
kː	ŋ_k	1.0
m	m	1.0
pʰ	p͡f	1.0
sː	s	1.0
ŋ	i	1.0
ɡ	ɡ̊	1.0
ɳ	r_n	1.0
ˈæɪ̯	ˈæi̯	1.0
ˈæː	ˈæ	1.0
ˈɪ	ˈi	1.0
j	ˈæ	0.051
lː	l_d̥	0.391
s	s	0.521
tʰ	ʦ	0.271
ɡː	ɡ̊ː_ə	0.131
ʋ	-	0.051
ˈeː	ˈɒ	0.141
ˈiː	ˈi	0.1
ˈuː	ˈuə̯	0.341
ˈuː	ˈo	0.381
ˈøː	ˈøː	0.051
ˈœ	ˈyə̯	0.571
ˈɑ	ə_#>	0.081
mː	m	0.782
t	t	0.422
ə	-	0.222
ˈeː	ˈæi̯	0.122
ˈiː	ˈiː_t	0.122
ˈoː	ˈɒː	0.92
ˈøː	ˈeː	0.092
ˈøː	ˈoː_t	0.172
ˈœ	ˈy	0.242
ˈʉ	ˈo	0.082
d	t	0.913
j	-	0.173
l	l	0.983
lː	lː	0.133
p	p͡f	0.183
ˈiː	ˈiː	0.683
ˈɛ	ˈæi̯	0.203
tː	ʦ	0.384
ŋː	ŋ	0.914
ʂ	ʃ	0.914
ʋ	ʋ	0.734
ˈyː	ˈiə̯	0.394
ˈøː	ˈyə̯	0.074
ˈøː	ˈoː	0.194
ˈɑ	ˈɒ	0.594
ˈɛ	ˈe	0.14
ˈʏ	ˈu	0.444
nː	nː	0.215
nː	n_d̥	0.365
ɾ	r	0.895
ʋ	b̥	0.215
ˈeː	ˈæ	0.165
ˈeː	ˈi	0.255
ˈiː	ˈæː	0.095
ˈɑː	ˈɒː	0.375
ˈɑː	ˈɒ	0.625
ˈɔ	ˈu	0.445
lː	l	0.476
tʰ	d̥	0.696
tː	χ_t	0.616
ŋː	ŋ_ɡ̊	0.086
ɾ	-	0.066
ʂ	s	0.086
ˈyː	ˈyː	0.606
ˈʉː	ˈyː	0.136
ˈʉː	ˈuː	0.66
ˈʏ	ˈy	0.556
j	ɡ̊	0.777
nː	n	0.27
p	f	0.427
ˈeː	ˈyː	0.317
ˈœ	ˈu	0.187
ˈɑ	ˈæ	0.067
ˈɔ	ˈɒ	0.497
ˈɛ	ˈæ	0.657
ˈʉː	ˈu	0.107
mː	mː	0.218
n	n	0.98
t	sː	0.578
ə	ə	0.778
ˈoː	ˈoː	0.08
ˈuː	ˈuə̯_t	0.278
ˈøː	ˈau̯	0.218
ˈɑ	ˈɒː	0.078
ˈʉ	ˈu	0.918
ˈʉː	ˈo	0.098
d	d̥	0.059
nː	ŋ	0.119
p	fː	0.39
s	ʃ	0.479
ɡː	ɡ̊ː	0.869
ˈøː	ˈoː_d̥	0.199
ˈɔ	ˈoː	0.059
