Bokmål Norwegian	Swiss German	probability
b	b̥	1.0
d	t	0.737
d	d̥	0.082
d	ʦ	0.065
d	p͡f	0.056
d	sː	0.056
d_ə	d̥	1.0
e	ˈau̯	1.0
f	f	1.0
h	h	0.943
h	χ	0.059
i	i	1.0
j	ɡ̊	0.488
j	-	0.242
j	ˈæ	0.169
j	ˈæː	0.083
k	χ	0.768
k	k	0.127
k	ʃː	0.092
kʰ	χ	0.728
kʰ	f	0.271
kː	ŋ_k	0.74
kː	k	0.135
l	l	0.941
l	ɡ̊_l	0.055
lː	l	0.861
lː	χ	0.116
m	m	0.94
m	-	0.06
mː	mː	0.574
mː	m	0.282
n	n	0.603
n	-	0.178
n	r	0.095
n	t	0.047
n	m	0.042
nː	n	0.303
nː	n_d̥	0.201
nː	ŋ	0.158
nː	-	0.153
nː	l	0.063
p	f	0.413
p	fː	0.351
p	p͡f	0.202
pʰ	p͡f	0.491
s	s	0.506
s	ʃ	0.416
s	-	0.042
s	χ	0.035
s_k	ʃ	1.0
sː	s	1.0
t	t	0.452
t	sː	0.329
t	s	0.16
t	ʦ	0.056
tʰ	d̥	0.472
tʰ	ʦ	0.407
tʰ	t	0.101
tː	χ_t	0.718
tː	ʦ	0.118
tː	sː	0.118
ç	χ	0.784
ç	d̥	0.125
ŋ	ɡ̊	0.392
ŋ	-	0.221
ŋ	n	0.221
ŋː	ŋ	0.677
ŋː	ŋ_ɡ̊	0.312
ə	ə	0.632
ə	-	0.331
ə	i	0.04
ɡ	ɡ̊	1.0
ɡː	ɡ̊	0.776
ɡː	-	0.171
ɪ	i	0.574
ɪ	ə	0.282
ɳ	n	0.548
ɳ	rː	0.192
ɳ	r_n	0.118
ɾ	r	0.901
ɾ	-	0.077
ʂ	s	1.0
ʃ	ʃ	0.241
ʈ	ʦ	1.0
ʈː	ʦ	0.491
ʋ	ʋ	0.527
ʋ	-	0.264
ʋ	f	0.155
ʋ	r	0.047
ˈeː	ˈæ	0.193
ˈeː	ˈyː	0.144
ˈeː	ˈɒ	0.095
ˈeː	ˈæi̯	0.095
ˈeː	ˈi	0.09
ˈiː	ˈiː	0.49
ˈiː	ˈæː	0.159
ˈiː	ˈi	0.13
ˈiː	ˈyː	0.091
ˈiː	ˈy	0.072
ˈoː	ˈɒː	0.703
ˈoː	ˈo	0.087
ˈoː	ˈɒ	0.085
ˈoː	ˈy	0.065
ˈoː	-	0.048
ˈuː	ˈuə̯	0.232
ˈuː	ˈuə̯_t	0.209
ˈuː	ˈo_r	0.143
ˈuː	ˈo	0.095
ˈuː	-	0.082
ˈyː	ˈyː	0.484
ˈyː	ˈiə̯	0.288
ˈyː	ˈøi̯	0.122
ˈyː	ˈy	0.089
ˈæ	ˈi	0.574
ˈæ	ˈæ	0.282
ˈæɪ̯	ˈæi̯	0.331
ˈæɪ̯	ˈi	0.19
ˈæɪ̯	ˈɒ	0.082
ˈæɪ̯	ˈæː	0.075
ˈæɪ̯	ˈæ	0.075
ˈæː	ˈæ	0.488
ˈæː	ə	0.197
ˈæː	ˈiə̯	0.182
ˈøː	ˈoː	0.201
ˈøː	ˈøː	0.137
ˈøː	ˈoː_t	0.119
ˈøː	ˈeː	0.104
ˈøː	ˈau̯	0.091
ˈœ	ˈyə̯	0.231
ˈœ	ˈy	0.231
ˈœ	ˈø	0.133
ˈœ	ˈøi̯	0.096
ˈœ	ˈoː	0.093
ˈœʏ̯	ˈou̯	0.491
ˈɑ	ˈɒ	0.531
ˈɑ	ˈa	0.215
ˈɑ	ˈɒː	0.126
ˈɑ	ˈæ	0.074
ˈɑ	ˈo	0.043
ˈɑː	ˈɒ	0.547
ˈɑː	ˈɒː	0.45
ˈɔ	ˈɒ	0.242
ˈɔ	ˈøi̯	0.242
ˈɔ	ˈoː	0.157
ˈɔ	ˈu	0.148
ˈɔ	ˈø	0.096
ˈɛ	ˈæ	0.237
ˈɛ	ˈe	0.18
ˈɛ	ˈyː	0.071
ˈɛ	ˈɒ	0.071
ˈɛ	ˈiə̯	0.071
ˈɛː	ˈe	0.241
ˈɪ	ˈi	0.781
ˈɪ	ˈau̯	0.109
ˈɪ	ˈy	0.109
ˈʉ	ˈo	0.289
ˈʉ	ˈu	0.251
ˈʉ	ˈuː	0.226
ˈʉ	ˈø	0.097
ˈʉ	ˈi	0.072
ˈʉː	ˈuː	0.438
ˈʉː	ˈo	0.168
ˈʉː	ˈyː	0.111
ˈʉː	ˈæ	0.097
ˈʉː	ˈi	0.097
ˈʊ	ˈu	0.32
ˈʊ	ˈo	0.242
ˈʊ	j	0.242
ˈʊ	ˈøː	0.148
ˈʏ	ˈu	0.4
ˈʏ	ˈyː	0.273
ˈʏ	ˈi	0.157
ˈʏ	ˈy	0.157
