Brazilian Portuguese	Gascon	probability
f	h	1.0
ĩ	i	1.0
n	n	1.0
õ	u	1.0
w̃	ŋ	1.0
z	z	1.0
ʎ	ʎ	1.0
ʤ	d	1.0
ʧ	-	1.0
ˈa	ˈa	1.0
ˈũ	ˈy	1.0
ˈɛ	ˈɛ	1.0
b	p	0.051
j	w	0.061
m	m	0.741
u	u	0.051
ɡ	k	0.181
ɾ	ɾ	0.751
ˈi	ˈe	0.051
ˈi	ˈi	0.891
ˈo	w_ˈe	0.261
ˈɔ	ˈu	0.421
a	ˈa	0.142
h	n_d	0.112
i	e	0.422
m	-	0.102
ʒ	ʒ	0.672
b	β	0.463
d	ð	0.373
j	j	0.513
k	k_ɾ	0.093
s	s	0.93
t	n_t	0.253
u	-	0.63
ɾ	l	0.103
ʃ	ʃ	0.073
ˈo	ˈy	0.083
ˈo	ˈa	0.163
ˈɐ̃	ˈa	0.833
a	-	0.234
v	β	0.344
w	-	0.124
ɐ	a	0.054
ɡ	ɡ	0.274
ɦ	r	0.914
ɾ	-	0.104
ˈe	ˈɛ	0.094
ˈẽ	ˈi	0.174
ˈõ	ˈu	0.684
ˈɔ	ˈa	0.274
u	e	0.155
u	w	0.165
ɐ	ɔ	0.855
ˈo	ˈɔ	0.175
ˈu	ˈu	0.465
ˈu	ˈy	0.535
ˈɔ	ˈɔ	0.305
a	a	0.536
b	b	0.486
d	d	0.46
j	-	0.426
j̃	j	0.196
j̃	ɲ	0.696
l	ʎ	0.06
l	ɾ	0.176
l	l	0.576
o	a	0.066
w	w	0.876
ɦ	-	0.086
ˈe	ˈi	0.06
ˈẽ	ˈe	0.826
ˈo	ˈu	0.286
d	-	0.07
d	t	0.097
e	e	0.917
i	i	0.17
i	-	0.407
k	k	0.907
l	-	0.187
o	-	0.427
o	u	0.507
s	ʃ	0.07
t	t	0.747
v	w	0.127
ɡ	ɣ	0.517
ˈõ	ˈɔ	0.187
ˈɐ̃	ˈa_ŋ	0.077
a	a_r	0.088
h	-	0.888
j̃	ŋ	0.108
m	m_j	0.128
p	p	0.978
v	b	0.508
ɐ	-	0.058
ˈe	-	0.058
ˈi	-	0.058
ˈĩ	ˈi	0.908
ˈɐ̃	ˈu	0.068
ʃ	s	0.879
ʒ	-	0.309
ˈe	ˈe	0.759
ˈõ	ˈu_ŋ	0.129
