Romansch	Romansch	probability
ˈɛː_r	ˈe_r	1.0
ˈo	-	1.0
ˈiə̯	j	1.0
ˈe	ˈe	1.0
ˈa_j	ˈe	1.0
ʨ_#>	j_#>	1.0
ʦ	-	1.0
ʒ	-	1.0
ʎ	ʎ	1.0
ʃ_#>	θ_#>	1.0
ŋ	ŋ	1.0
z	-	1.0
u_r	o_ɾ	1.0
t_ə	t_ɾ	1.0
p	p	1.0
o	o	1.0
n_t	ˈe_n	1.0
n_s	z	1.0
l_ə	ʎ_a	1.0
k	k	1.0
f	f	1.0
a	a	1.0
<#_ˈɔ	<#_w	1.0
<#_ˈe	<#_ˈe	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_θ	1.0
<#_ʥ	<#	1.0
<#_ʎ	<#_l	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
r	ɾ	0.934
l	l	0.926
ˈaː	ˈa	0.913
n	n	0.878
ʨ	k	0.862
ə	a	0.816
m	m	0.815
b	b	0.786
ˈeː	ˈe	0.75
ˈa_w	ˈa	0.727
t	t	0.72
ˈɔː	w_ˈe	0.714
#>	o_#>	0.713
s	s	0.696
ˈiː	ˈi	0.667
ˈi	ˈi	0.667
r_ə	ɾ_a	0.667
ɲ	ɲ	0.625
ˈɔ	ˈa	0.615
ˈɛː	ˈe_ʎ	0.6
ˈuː	ˈo	0.6
ˈa	ˈa	0.593
v	b	0.586
u	-	0.571
i	-	0.571
ʧ	θ	0.5
ʧ	-	0.5
ɡ	ɡ	0.5
ə_r	ˈe_ɾ	0.5
ə_r	ɾ	0.5
f_#>	w_#>	0.5
f_#>	#>	0.5
d	d	0.5
<#	<#_w	0.5
<#	<#_a	0.5
ˈu	ˈo	0.481
w	-	0.455
ˈɛ	ˈe	0.435
u	o	0.429
i	e	0.429
v	β	0.414
ˈɛː	ˈe	0.4
ˈɔ	w_ˈe	0.385
ʥ	ʧ	0.375
ʥ	j	0.375
ɲ	-	0.375
ʃ	e_s	0.368
ˈɛ	j_ˈe	0.348
d	ð	0.346
ˈi	ˈu	0.333
r_ə	a	0.333
e	i	0.333
e	e	0.333
e	-	0.333
ˈu	ˈu	0.296
ˈɔː	ˈo	0.286
j	ˈe	0.278
ˈa_w	ˈo	0.273
w	ˈo	0.273
w	ɣ_o	0.273
ˈeː	-	0.25
ʥ	-	0.25
ɡ	ɣ	0.25
ɡ	-	0.25
ˈiː	ˈu	0.238
j	w	0.222
j	-	0.222
b	-	0.214
ˈuː	w_ˈe	0.2
ˈuː	-	0.2
m	m_b	0.185
j	j	0.167
ʃ	θ	0.158
ʃ	ʃ	0.158
d	-	0.154
#>	e_#>	0.15
ˈu	w_ˈe	0.148
ˈɛ	j	0.13
s	ʃ	0.13
t	ð	0.12
ə	e	0.118
ˈa	ˈe	0.111
ˈa	ʝ	0.111
ˈa	j	0.111
j	ɣ	0.111
ʃ	ʧ	0.105
ʃ	s	0.105
ʃ	-	0.105
ˈiː	-	0.095
#>	a_#>	0.088
ˈɛ	-	0.087
ˈaː	-	0.087
s	θ	0.087
s	s_ˈa	0.087
n	-	0.082
t	ð_o	0.08
t	d_o	0.08
ˈu	u	0.074
ˈa	ɾ	0.074
l	ʎ	0.074
ʨ	t_o	0.069
ʨ	j_t	0.069
