Dutch	Bokmål Norwegian	probability
#>	#>	0.847
#>	ə_#>	0.153
<#	<#	1.0
<#_ʋ	<#	1.0
b	b	0.961
d	d	0.508
d	tʰ	0.281
d	-	0.201
f	ʋ	0.582
f	-	0.22
f	m	0.147
f_#>	#>	1.0
j	ˈʊ	0.574
j	-	0.277
k	kʰ	0.47
k	k	0.375
k	ç	0.066
k	-	0.065
m	m	0.804
m	mː	0.141
n	n	0.573
n	nː	0.314
n	-	0.097
n_#>	#>	1.0
n_d	nː	1.0
p	p	0.636
p	-	0.236
p	pʰ	0.118
s	s	0.623
s	s_k	0.184
s	sː	0.067
t	t	0.408
t	d	0.199
t	tʰ	0.18
t	-	0.073
t_#>	#>	1.0
v	f	0.734
v	ʋ	0.163
v	-	0.088
w	-	0.574
w	ˈøː	0.277
z	s	0.882
z	ʂ	0.114
ŋ	ŋː	0.816
ŋ	ə	0.102
ŋ	ŋ	0.077
ŋ_k	kː	1.0
ə	ə	0.603
ə	-	0.341
ɦ	h	0.932
ɦ	-	0.068
ɪ	ŋ	0.574
ɪ	ɪ	0.277
ɫ	l	0.804
ɫ	lː	0.153
ɾ	ɾ	0.854
ɾ	ɳ	0.057
ʋ	ʋ	0.822
ʋ	-	0.176
ˈaː	ˈoː	0.555
ˈaː	ˈɑː	0.124
ˈaː	ˈɑ	0.073
ˈaː	ˈɔ	0.07
ˈaː	ˈɛː	0.07
ˈaː	ˈuː	0.057
ˈeː	ˈeː	0.27
ˈeː	j	0.163
ˈeː	ˈæɪ̯	0.121
ˈeː	ˈiː	0.111
ˈeː	ˈʉː	0.089
ˈeː	ˈuː	0.059
ˈeː	ˈæː	0.059
ˈeː	ˈøː	0.059
ˈi	ˈyː	0.477
ˈi	ˈiː	0.154
ˈi	ˈeː	0.149
ˈi	ˈɛ	0.077
ˈi	ˈʉː	0.077
ˈi	ˈæː	0.051
ˈoː	ˈøː	0.377
ˈoː	ˈuː	0.224
ˈoː	ˈœ	0.111
ˈoː	ˈʊ	0.082
ˈoː	ˈoː	0.072
ˈu	ˈuː	0.662
ˈu	ˈœ	0.17
ˈu	ˈʉː	0.092
ˈu_d	ˈuː	1.0
ˈyː	ˈyː	0.365
ˈyː	ˈɪ	0.085
ˈøː	ˈeː	0.482
ˈœy̯	ˈʉː	0.752
ˈœy̯	ˈʊ	0.094
ˈœy̯	ˈʏ	0.068
ˈœy̯	ˈʉ	0.053
ˈɑ	ˈɑ	0.64
ˈɑ	ˈɛ	0.16
ˈɑ	ˈɑː	0.106
ˈɑu̯	ˈɑ	0.392
ˈɑu̯	ˈʉ	0.392
ˈɑu̯	lː	0.12
ˈɔ	ˈʉ	0.422
ˈɔ	-	0.123
ˈɔ	ˈʊ	0.123
ˈɔ	ˈœ	0.107
ˈɔ	ˈɔ	0.093
ˈɔ	ˈʉː	0.071
ˈɛ	ˈɛ	0.403
ˈɛ	ˈœ	0.127
ˈɛ	ˈɑ	0.073
ˈɛ	ˈæɪ̯	0.059
ˈɛ	ˈɪ	0.059
ˈɛ	-	0.059
ˈɛ	ˈiː	0.059
ˈɛ	ˈæ	0.059
ˈɛ	ˈøː	0.059
ˈɛi̯	ˈiː	0.607
ˈɛi̯	ˈɛ	0.207
ˈɛi̯	ˈæɪ̯	0.166
ˈɪ	ˈɪ	0.547
ˈɪ	ˈiː	0.192
ˈɪ	ˈʏ	0.063
ˈɪ	ˈeː	0.061
ˈʏ	ˈʏ	0.57
ˈʏ	ˈʉ	0.163
ˈʏ	ˈœ	0.154
χ	ɡ	0.348
χ	-	0.294
χ	j	0.17
χ	ɡː	0.107
χ	k	0.078
χ_#>	#>	1.0
χ_t	tː	1.0
