Neapolitan	Walloon	probability
kː	-	1.0
lː	-	1.0
nː	-	1.0
o	-	1.0
sː	-	1.0
tː	t	1.0
ŋ	-	1.0
ɲː	-	1.0
ʃː	s	1.0
ʎː	-	1.0
ʤ	ʤ	1.0
ʤː	-	1.0
ʦː	-	1.0
ʧː	t	1.0
l	l	0.841
r	-	0.101
w	ˈoː	0.111
ə	j	0.101
ˈi	ˈiː	0.211
ˈu	ˈøː	0.071
ˈɔ	ˈɔː	0.051
ˈɔ	-	0.131
a	ɛ	0.272
d	d	0.732
ɾ	ʀ	0.402
ˈe	ˈɛ	0.852
ˈɛ	ˈɛː	0.072
ˈɛ	ˈɛ̃	0.142
f	f	0.943
k	k	0.213
k	-	0.353
t	t	0.313
u	-	0.783
w	w	0.493
ɡ	-	0.153
ʃ	ʃ	0.073
ˈa	ˈɑ̃	0.053
ˈa	ˈe	0.33
ˈi	ˈi	0.473
ˈu	ˈɔ	0.263
ˈɔ	ˈɔ	0.103
ˈɛ	ˈi	0.063
i	i	0.094
k	p	0.144
m	m	0.984
n	n	0.294
p	p	0.955
v	-	0.265
ə	-	0.775
ˈo	-	0.15
ˈu	-	0.105
ˈɛ	ˈɛ	0.085
ˈɛ	ˈiː	0.145
i	-	0.906
j	-	0.606
n	-	0.706
s	s	0.956
v	b	0.066
w	-	0.396
ˈo	ˈuː	0.216
ˈɔ	ˈa	0.116
ˈɛ	j_ˈɛ	0.056
a	a	0.57
f	f_w	0.057
t	-	0.687
u	ɔ	0.217
ɡ	ɡ	0.847
ˈi	ˈɛ	0.317
ˈo	ˈøː	0.177
ˈu	ˈy	0.217
ˈu	ˈuː	0.257
a	-	0.158
d	-	0.268
ɾ	-	0.598
ʃ	f_l	0.058
ˈa	ˈiː	0.088
ˈa	ˈɔː	0.138
ˈe	w_ˈɛ	0.148
ˈo	ˈɔ̃	0.358
ˈu	ˈu	0.088
j	l	0.349
k	ʧ	0.289
l	-	0.159
r	ʀ	0.899
v	v	0.669
ʃ	s	0.829
ˈa	ˈa	0.289
ˈo	ˈɔ	0.099
ˈɔ	ˈuː	0.559
ˈɛ	-	0.429
