Old Frisian	Middle English	probability
θ	θ	1.0
ˈoː	ˈoː	1.0
ˈi̯aː_ɣ	ˈiː	1.0
ˈi_n	ˈiː_n	1.0
ˈe_j	ˈæi̯	1.0
ˈa_n	ɛ	1.0
ʦ	ʧ	1.0
ʣ	-	1.0
ɡː	ʤ	1.0
ɡ	ɡ	1.0
ə_x	iː	1.0
ð	ð	1.0
z	z	1.0
v	v	1.0
tː	t	1.0
t	t	1.0
s_k	ʃ	1.0
s	s	1.0
r_ə	r_ə	1.0
r_t	r_t	1.0
r_n	r_n	1.0
pː	p	1.0
p	p	1.0
nː	n	1.0
n_ə	n_ə	1.0
mː	m	1.0
m	m	1.0
kː	-	1.0
j_ə	ə_n	1.0
j	j	1.0
iː	eː	1.0
i	ˈi	1.0
h_w	ʍ	1.0
h_l	l	1.0
h	h	1.0
dː	d	1.0
d	d	1.0
bː	v	1.0
b	b	1.0
a	ə	1.0
r	r	0.969
w	w	0.918
f	f	0.912
n	n	0.875
ŋ	ŋ	0.869
ˈiː	ˈiː	0.854
ˈu	ˈu	0.804
ˈaː	ˈɛː	0.786
ˈi	ˈi	0.785
ˈuː	ˈuː	0.779
k	k	0.737
ˈi̯aː	ˈeː	0.721
ˈɛː	ˈɔː	0.672
ə	ə	0.652
ˈo	ˈɔ	0.632
l	l	0.625
x	ç	0.623
ˈi̯uː	-	0.62
e	ə	0.574
ˈa	ˈa	0.536
ɣ	-	0.48
ˈe	ˈɛ	0.468
e	-	0.426
ˈeː	ˈeː	0.395
ˈeː	ˈɛː	0.393
ˈi̯uː	ˈeː	0.38
x	x	0.377
l	ɫ	0.375
ˈɔː	ˈɔ	0.296
ɣ	ˈiː	0.286
ˈi̯aː	-	0.279
ə	ə_n	0.267
ɣ	ə	0.235
ˈɛː	ˈeː	0.233
ˈe	ˈi	0.226
ˈɔː	ˈɔː	0.222
ˈuː	-	0.221
ˈo	-	0.213
ˈeː	ˈa	0.211
ˈu	-	0.196
ˈɔː	ˈoː	0.191
ˈa	ˈɔː	0.186
ˈa	ˈaː	0.183
ˈo	ˈu	0.156
ˈɔː	ˈa	0.146
ˈiː	ˈiu̯	0.146
ˈɔː	ˈu	0.145
k	ʧ	0.141
ŋ	-	0.131
ˈi	ˈiː	0.125
n	-	0.125
ˈe	-	0.122
ˈaː	ˈɔː	0.107
ˈaː	ˈæi̯	0.106
ˈɛː	ˈɔu̯	0.094
ˈi	ˈeː	0.09
f	-	0.088
w	-	0.082
ə	-	0.081
ˈe	ˈaː	0.069
ˈe	ˈɛː	0.066
k	ˈi_k	0.064
ˈa	ˈi	0.063
k	-	0.059
