Campidanese	Occitan	probability
bː	-	1.0
f	f	1.0
l	l	1.0
m	m	1.0
nː	n	1.0
s	s	1.0
ŋ	ŋ	1.0
ɖː	l	1.0
ɲː	ɲ	1.0
ʃː	s	1.0
ʣ	ʎ	1.0
ʤ	ʒ	1.0
ʧ	s	1.0
β	β	1.0
b	-	0.081
j	ɥ	0.11
j	ʒ	0.411
n	n	0.791
r	l	0.091
r	-	0.161
u	w	0.111
z	ʧ	0.1
ɣ	ʤ	0.11
b	b	0.272
d	-	0.2
e	e	0.492
p	p	0.982
z	-	0.442
ð	ð	0.512
ˈo	u	0.062
ˈo	ˈɔ	0.462
u	-	0.313
ˈe	j_ˈɛ	0.073
ˈi	ˈe	0.393
ˈu	ˈy	0.503
e	-	0.134
j	w	0.344
o	u	0.664
rː	r	0.84
ˈa	ˈa	0.974
ˈe	ˈe	0.244
ˈo	ˈu	0.224
e	w	0.095
e	ˈi	0.095
e	j	0.145
i	ˈi	0.085
j	j	0.135
r	r	0.215
r	ɾ	0.435
sː	-	0.35
sː	s	0.65
u	e	0.575
ɡ	k	0.095
ɡ	ɡ	0.905
ɣ	k	0.475
b	v	0.596
k	-	0.086
o	a	0.06
o	-	0.276
rː	-	0.16
t	-	0.056
ˈo	ɥ_ˈɔ	0.056
ˈo	ɥ_ˈɛ	0.066
a	a	0.207
k	k	0.887
r	l_#>	0.097
t	t	0.627
ɣ	-	0.197
ˈe	ˈɛ	0.607
ˈo	-	0.087
ˈu	ˈu	0.457
a	ɔ	0.688
d	d	0.8
t	w_t	0.188
ð	-	0.488
ɣ	ɣ	0.218
i	-	0.169
i	e	0.729
n	-	0.209
t	ʧ	0.129
z	s	0.459
ˈi	ˈi	0.579
